target_task,target_dataset,stack_kind,protocol,train_task_count,allowed_policy_count,selected_policy,selected_source_task,selected_source_dataset,selected_train_mean_delta_ap_vs_width,width_ap,selected_ap,selected_delta_ap_vs_width,target_equal_ap,ap_gap_to_target_equal,oracle_best_candidate,oracle_best_ap,ap_gap_to_oracle_candidate,selected_first_positive_work,selected_delta_first_positive_work_vs_width
agentreward_looping,agent-reward-bench,semantic,leave_task,5,6,source_equal_satraj_unsafe,satraj_unsafe,satraj-os-safety,0.0718,0.7653,0.8302,0.0649,0.8509,0.0207,global_equal,0.8647,0.0345,0.0645,-0.1413
agentreward_looping,agent-reward-bench,semantic,leave_dataset,4,5,source_equal_satraj_unsafe,satraj_unsafe,satraj-os-safety,0.1044,0.7653,0.8302,0.0649,0.8509,0.0207,global_equal,0.8647,0.0345,0.0645,-0.1413
agentreward_looping,agent-reward-bench,coarse,leave_task,5,6,source_equal_satraj_unsafe,satraj_unsafe,satraj-os-safety,0.0868,0.6633,0.7521,0.0888,0.7864,0.0343,global_equal,0.8151,0.063,0.0398,-0.3141
agentreward_looping,agent-reward-bench,coarse,leave_dataset,4,5,source_equal_satraj_unsafe,satraj_unsafe,satraj-os-safety,0.1306,0.6633,0.7521,0.0888,0.7864,0.0343,global_equal,0.8151,0.063,0.0398,-0.3141
agentreward_side_effect,agent-reward-bench,semantic,leave_task,5,6,source_equal_satraj_unsafe,satraj_unsafe,satraj-os-safety,0.0965,0.3661,0.3075,-0.0586,0.3141,0.0066,source_equal_osworld_group_start,0.3626,0.0551,0.0645,-0.1413
agentreward_side_effect,agent-reward-bench,semantic,leave_dataset,4,5,source_equal_satraj_unsafe,satraj_unsafe,satraj-os-safety,0.1044,0.3661,0.3075,-0.0586,0.3141,0.0066,source_equal_osworld_group_start,0.3626,0.0551,0.0645,-0.1413
agentreward_side_effect,agent-reward-bench,coarse,leave_task,5,6,source_equal_satraj_unsafe,satraj_unsafe,satraj-os-safety,0.1222,0.3909,0.3024,-0.0885,0.3601,0.0577,source_equal_osworld_group_start,0.3867,0.0843,0.1509,-0.203
agentreward_side_effect,agent-reward-bench,coarse,leave_dataset,4,5,source_equal_satraj_unsafe,satraj_unsafe,satraj-os-safety,0.1306,0.3909,0.3024,-0.0885,0.3601,0.0577,source_equal_osworld_group_start,0.3867,0.0843,0.1509,-0.203
satraj_unsafe,satraj-os-safety,semantic,leave_task,5,6,source_equal_agentnet_incorrect_step,agentnet_incorrect_step,agentnet,0.0029,0.1,0.0877,-0.0123,0.4897,0.402,global_equal,0.1087,0.021,0.0705,-0.5661
satraj_unsafe,satraj-os-safety,semantic,leave_dataset,5,6,source_equal_agentnet_incorrect_step,agentnet_incorrect_step,agentnet,0.0029,0.1,0.0877,-0.0123,0.4897,0.402,global_equal,0.1087,0.021,0.0705,-0.5661
satraj_unsafe,satraj-os-safety,coarse,leave_task,5,6,global_equal,,global-visible-feature-bank,0.0043,0.0995,0.1338,0.0343,0.6084,0.4746,source_equal_osworld_group_start,0.2129,0.0791,0.3277,-0.4984
satraj_unsafe,satraj-os-safety,coarse,leave_dataset,5,6,global_equal,,global-visible-feature-bank,0.0043,0.0995,0.1338,0.0343,0.6084,0.4746,source_equal_osworld_group_start,0.2129,0.0791,0.3277,-0.4984
agentnet_incorrect_step,agentnet,semantic,leave_task,5,6,source_equal_satraj_unsafe,satraj_unsafe,satraj-os-safety,0.0797,0.0687,0.0941,0.0254,0.0999,0.0058,global_equal,0.0992,0.0051,0.0135,-0.0686
agentnet_incorrect_step,agentnet,semantic,leave_dataset,4,5,source_equal_satraj_unsafe,satraj_unsafe,satraj-os-safety,0.099,0.0687,0.0941,0.0254,0.0999,0.0058,global_equal,0.0992,0.0051,0.0135,-0.0686
agentnet_incorrect_step,agentnet,coarse,leave_task,5,6,source_equal_satraj_unsafe,satraj_unsafe,satraj-os-safety,0.1014,0.065,0.0809,0.0159,0.0842,0.0033,global_equal,0.0867,0.0058,0.0317,-0.1013
agentnet_incorrect_step,agentnet,coarse,leave_dataset,4,5,source_equal_satraj_unsafe,satraj_unsafe,satraj-os-safety,0.1261,0.065,0.0809,0.0159,0.0842,0.0033,global_equal,0.0867,0.0058,0.0317,-0.1013
agentnet_redundant_step,agentnet,semantic,leave_task,5,6,source_equal_satraj_unsafe,satraj_unsafe,satraj-os-safety,0.0843,0.0863,0.0886,0.0023,0.0894,0.0008,source_equal_agentnet_incorrect_step,0.0976,0.009,0.0197,-0.0751
agentnet_redundant_step,agentnet,semantic,leave_dataset,4,5,source_equal_satraj_unsafe,satraj_unsafe,satraj-os-safety,0.099,0.0863,0.0886,0.0023,0.0894,0.0008,global_equal,0.0942,0.0056,0.0197,-0.0751
agentnet_redundant_step,agentnet,coarse,leave_task,5,6,source_equal_satraj_unsafe,satraj_unsafe,satraj-os-safety,0.1041,0.0773,0.0797,0.0024,0.0768,-0.0029,source_equal_agentnet_incorrect_step,0.0874,0.0077,0.0463,-0.1275
agentnet_redundant_step,agentnet,coarse,leave_dataset,4,5,source_equal_satraj_unsafe,satraj_unsafe,satraj-os-safety,0.1261,0.0773,0.0797,0.0024,0.0768,-0.0029,global_equal,0.0854,0.0057,0.0463,-0.1275
osworld_group_start,osworld-human,semantic,leave_task,5,6,source_equal_satraj_unsafe,satraj_unsafe,satraj-os-safety,0.0847,0.2218,0.2219,0.0001,0.2051,-0.0168,source_equal_agentreward_side_effect,0.2246,0.0027,0.0045,-0.1286
osworld_group_start,osworld-human,semantic,leave_dataset,5,6,source_equal_satraj_unsafe,satraj_unsafe,satraj-os-safety,0.0847,0.2218,0.2219,0.0001,0.2051,-0.0168,source_equal_agentreward_side_effect,0.2246,0.0027,0.0045,-0.1286
osworld_group_start,osworld-human,coarse,leave_task,5,6,source_equal_satraj_unsafe,satraj_unsafe,satraj-os-safety,0.1055,0.1945,0.1897,-0.0048,0.1988,0.0091,source_equal_agentnet_redundant_step,0.2101,0.0204,0.0145,-0.3879
osworld_group_start,osworld-human,coarse,leave_dataset,5,6,source_equal_satraj_unsafe,satraj_unsafe,satraj-os-safety,0.1055,0.1945,0.1897,-0.0048,0.1988,0.0091,source_equal_agentnet_redundant_step,0.2101,0.0204,0.0145,-0.3879
