task,dataset,preferred_by_ap,semantic_ap,coarse_ap,coarse_minus_semantic_ap,semantic_groups,coarse_groups,group_reduction
agentreward_looping,agent-reward-bench,semantic,0.8808,0.8174,-0.0634,40,16,24
agentreward_side_effect,agent-reward-bench,coarse,0.3947,0.4252,0.0305,40,16,24
satraj_unsafe,satraj-os-safety,coarse,0.4772,0.6081,0.1309,142,22,120
agentnet_incorrect_step,agentnet,semantic,0.0847,0.077,-0.0077,289,43,246
agentnet_redundant_step,agentnet,semantic,0.0874,0.0772,-0.0102,260,42,218
osworld_group_start,osworld-human,semantic,0.2214,0.186,-0.0354,173,32,141
