task,dataset,stack_kind,policy,policy_kind,dropped_feature,groups,ap,delta_ap_vs_width,delta_ap_vs_all_features,top5_lift,delta_top5_lift_vs_all_features,first_positive_work,delta_first_positive_work_vs_all_features
agentreward_looping,agent-reward-bench,semantic,width,baseline,,40,0.7653,0.0,-0.1155,1.0359,-0.282,0.2058,0.0
agentreward_looping,agent-reward-bench,semantic,all_features,all,,40,0.8808,0.1155,0.0,1.3179,0.0,0.2058,0.0
agentreward_looping,agent-reward-bench,semantic,drop_loop-like,drop_one,loop-like,40,0.7625,-0.0028,-0.1183,1.0618,-0.2561,0.2058,0.0
agentreward_looping,agent-reward-bench,semantic,drop_failure,drop_one,failure,40,0.8806,0.1153,-0.0002,1.3179,0.0,0.2058,0.0
agentreward_looping,agent-reward-bench,semantic,drop_navigation,drop_one,navigation,40,0.8821,0.1168,0.0013,1.2756,-0.0423,0.2058,0.0
agentreward_looping,agent-reward-bench,coarse,width,baseline,,16,0.6633,0.0,-0.1541,1.0075,-0.1934,0.3539,0.214
agentreward_looping,agent-reward-bench,coarse,all_features,all,,16,0.8174,0.1541,0.0,1.2009,0.0,0.1399,0.0
agentreward_looping,agent-reward-bench,coarse,drop_loop-like,drop_one,loop-like,16,0.6811,0.0178,-0.1363,1.0075,-0.1934,0.3539,0.214
agentreward_looping,agent-reward-bench,coarse,drop_failure,drop_one,failure,16,0.8173,0.154,-0.0001,1.2009,0.0,0.1399,0.0
agentreward_looping,agent-reward-bench,coarse,drop_navigation,drop_one,navigation,16,0.834,0.1707,0.0166,1.4464,0.2455,0.1399,0.0
agentreward_side_effect,agent-reward-bench,semantic,width,baseline,,40,0.3661,0.0,-0.0286,1.0559,0.2728,0.2058,0.1413
agentreward_side_effect,agent-reward-bench,semantic,all_features,all,,40,0.3947,0.0286,0.0,0.7831,0.0,0.0645,0.0
agentreward_side_effect,agent-reward-bench,semantic,drop_write-action,drop_one,write-action,40,0.3123,-0.0538,-0.0824,0.7831,0.0,0.0645,0.0
agentreward_side_effect,agent-reward-bench,semantic,drop_input-phase,drop_one,input-phase,40,0.3994,0.0333,0.0047,1.4135,0.6304,0.0645,0.0
