task,dataset,stack_kind,feature,classification,drop_delta_ap_vs_all,drop_delta_top5_lift_vs_all,drop_delta_first_positive_work_vs_all
satraj_unsafe,satraj-os-safety,coarse,success,critical,-0.3948,0.0,0.0946
satraj_unsafe,satraj-os-safety,semantic,success,critical,-0.2682,-4.5872,0.0604
agentreward_looping,agent-reward-bench,coarse,loop-like,critical,-0.1363,-0.1934,0.214
agentreward_looping,agent-reward-bench,semantic,loop-like,critical,-0.1183,-0.2561,0.0
agentreward_side_effect,agent-reward-bench,semantic,write-action,critical,-0.0824,0.0,0.0
agentreward_side_effect,agent-reward-bench,coarse,write-action,critical,-0.0754,0.1741,0.0
agentnet_redundant_step,agentnet,semantic,failure,critical,-0.0008,-0.5705,0.0554
osworld_group_start,osworld-human,semantic,input-phase,misleading,-0.0136,-0.914,-0.1017
osworld_group_start,osworld-human,coarse,input-phase,misleading,0.0225,0.2363,-0.3261
satraj_unsafe,satraj-os-safety,semantic,loop-like,misleading,0.1734,0.6507,0.0
