project,project_type,vendor_profile,dominant_vendor,vendor_action_composition,attributed_actions,recognized_attempts,recognized_success,recognized_fail,recognized_observed_unknown,attempts_per_1000_attributed_actions,complete_inter_success_intervals,zero_mutation_intervals_pct,inter_success_mutation_rows_median,inter_success_mutation_rows_p90,inter_success_mutation_rows_max,success_same_outcome_gap_events_median,success_same_outcome_gap_hours_median,success_adjacent_pre_mutation_rows_median,success_adjacent_post_mutation_rows_median,success_paired_post_minus_pre_mutation_rows_median,success_mutation_rows_since_previous_success_median,success_mutation_rows_until_next_success_median,success_next_mutation_gap_events_median,success_next_attempt_gap_events_median,success_mutation_first_share_pct,success_mutation_first_comparable_n,success_paired_post_gt_pre_n,success_paired_post_eq_pre_n,success_paired_post_lt_pre_n,fail_same_outcome_gap_events_median,fail_same_outcome_gap_hours_median,fail_adjacent_pre_mutation_rows_median,fail_adjacent_post_mutation_rows_median,fail_paired_post_minus_pre_mutation_rows_median,fail_mutation_rows_since_previous_success_median,fail_mutation_rows_until_next_success_median,fail_next_mutation_gap_events_median,fail_next_attempt_gap_events_median,fail_mutation_first_share_pct,fail_mutation_first_comparable_n,fail_paired_post_gt_pre_n,fail_paired_post_eq_pre_n,fail_paired_post_lt_pre_n
agentsight,systems/research,mixed_codex_dominant,codex,codex:81621/94031(86.8%);claude:12383/94031(13.2%);gemini:27/94031(0.0%),94031,3863,3288,373,202,41.082,3285,74.703,0.000,4.000,291,5.000,0.013,0.000,0.000,0.000,0.000,0.000,74.000,4.000,24.779,3285,536,2222,524,41.000,0.084,0.000,0.000,0.000,0.000,0.000,318.000,1.000,4.290,373,12,343,18
ActPlane,systems/research,mixed_codex_dominant,codex,codex:47992/65334(73.5%);claude:17342/65334(26.5%),65334,3012,2576,277,159,46.102,2574,84.382,0.000,1.000,817,3.000,0.010,0.000,0.000,0.000,0.000,0.000,418.500,2.000,14.547,2571,254,2050,270,35.500,0.077,0.000,0.000,0.000,0.000,0.000,907.000,1.000,7.220,277,16,237,24
bpf-developer-tutorial,tutorial/code/docs,mixed_claude_dominant,claude,claude:1051/1661(63.3%);codex:593/1661(35.7%);gemini:17/1661(1.0%),1661,22,22,0,0,13.245,21,47.619,2.000,43.000,69,24.000,0.170,2.000,2.000,0.000,2.000,2.000,23.500,24.000,52.381,21,6,8,6,,,,,,,,,,,0,0,0,0
eunomia.dev,content/software,mixed_codex_dominant,codex,codex:10190/13393(76.1%);claude:3203/13393(23.9%),13393,150,52,3,95,11.200,51,56.863,0.000,21.000,361,103.000,0.454,0.000,0.000,0.000,0.000,0.000,211.500,40.000,33.333,51,10,24,16,0.000,0.001,0.000,0.000,0.000,0.000,0.000,424.000,0.000,0.000,3,0,3,0
agentskill-observability-paper,auto research,pure_claude,claude,claude:990/990(100.0%),990,4,1,3,0,4.040,0,,,,,,,25.000,,,,,1.000,,,0,0,0,0,76.000,0.086,11.000,16.000,9.500,,41.000,1.000,69.000,100.000,3,2,0,0
academic-writing-skills,skill/harness development,pure_claude,claude,claude:879/879(100.0%),879,9,9,0,0,10.239,8,62.500,0.000,49.000,140,1.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000,1.000,100.000,3,2,3,2,,,,,,,,,,,0,0,0,0
