project,project_type,status,attempt_count,attempt_share_pct,attempts_per_1000_attributed_actions,previous_attempt_gap_n,previous_attempt_gap_events_median,previous_attempt_gap_events_p90,previous_same_status_gap_n,previous_same_status_gap_events_median,previous_same_status_gap_hours_median,adjacent_pre_mutation_rows_n,adjacent_pre_mutation_rows_median,adjacent_pre_mutation_rows_p90,adjacent_post_mutation_rows_n,adjacent_post_mutation_rows_median,adjacent_post_mutation_rows_p90,paired_post_minus_pre_n,paired_post_minus_pre_mutation_rows_median,paired_post_gt_pre_n,paired_post_eq_pre_n,paired_post_lt_pre_n,paired_post_gt_pre_pct,paired_post_lt_pre_pct,mutation_rows_since_previous_success_n,mutation_rows_since_previous_success_median,mutation_rows_until_next_success_n,mutation_rows_until_next_success_median,next_mutation_observed_n,next_mutation_gap_events_median,next_mutation_gap_events_p90,next_attempt_observed_n,next_attempt_gap_events_median,next_success_observed_n,next_success_gap_events_median,next_order_mutation_first_n,next_order_validation_first_n,next_order_co_observed_n,next_order_only_mutation_n,next_order_only_validation_n,next_order_no_relevant_n,mutation_first_comparable_n,mutation_first_share_of_distinct_observed_order_pct
agentsight,systems/research,ok,3288,85.115,34.967,3285,3.000,53.000,3285,5.000,0.013,3285,0.000,4.000,3285,0.000,4.000,3282,0.000,536,2222,524,16.332,15.966,3285,0.000,3285,0.000,3287,74.000,803.400,3285,4.000,3285,5.000,814,2471,0,2,0,1,3285,24.779
agentsight,systems/research,fail,373,9.656,3.967,373,5.000,88.800,371,41.000,0.084,373,0.000,0.000,373,0.000,0.000,373,0.000,12,343,18,3.217,4.826,373,0.000,373,0.000,373,318.000,1203.800,373,1.000,373,3.000,16,357,0,0,0,0,373,4.290
agentsight,systems/research,observed,202,5.229,2.148,202,4.000,49.900,200,22.500,0.070,202,0.000,3.000,202,0.000,3.000,202,0.000,30,140,32,14.851,15.842,202,0.000,202,0.000,202,111.000,1346.000,202,4.000,202,34.000,45,157,0,0,0,0,202,22.277
ActPlane,systems/research,ok,2576,85.525,39.428,2575,2.000,40.000,2574,3.000,0.010,2575,0.000,1.000,2574,0.000,1.000,2574,0.000,254,2050,270,9.868,10.490,2574,0.000,2574,0.000,2576,418.500,3406.000,2574,2.000,2574,3.000,374,2197,3,2,0,0,2571,14.547
ActPlane,systems/research,fail,277,9.197,4.240,277,4.000,64.000,276,35.500,0.077,277,0.000,1.000,277,0.000,0.000,277,0.000,16,237,24,5.776,8.664,277,0.000,277,0.000,277,907.000,3043.200,277,1.000,277,2.000,20,257,0,0,0,0,277,7.220
ActPlane,systems/research,observed,159,5.279,2.434,158,3.000,50.500,158,29.500,0.089,158,0.000,0.000,159,0.000,1.000,158,0.000,19,130,9,12.025,5.696,158,0.000,159,0.000,159,463.000,3580.600,159,9.000,159,18.000,21,138,0,0,0,0,159,13.208
bpf-developer-tutorial,tutorial/code/docs,ok,22,100.000,13.245,21,24.000,121.000,21,24.000,0.170,21,2.000,43.000,21,2.000,43.000,20,0.000,6,8,6,30.000,30.000,21,2.000,21,2.000,22,23.500,69.600,21,24.000,21,24.000,11,10,0,1,0,0,21,52.381
bpf-developer-tutorial,tutorial/code/docs,fail,0,0.000,0.000,0,,,0,,,0,,,0,,,0,,0,0,0,,,0,,0,,0,,,0,,0,,0,0,0,0,0,0,0,
bpf-developer-tutorial,tutorial/code/docs,observed,0,0.000,0.000,0,,,0,,,0,,,0,,,0,,0,0,0,,,0,,0,,0,,,0,,0,,0,0,0,0,0,0,0,
eunomia.dev,content/software,ok,52,34.667,3.883,51,46.000,224.000,51,103.000,0.454,51,0.000,19.000,51,0.000,12.000,50,0.000,10,24,16,20.000,32.000,51,0.000,51,0.000,52,211.500,2845.900,51,40.000,51,103.000,17,34,0,1,0,0,51,33.333
eunomia.dev,content/software,fail,3,2.000,0.224,3,0.000,36.000,2,0.000,0.001,3,0.000,0.000,3,0.000,0.000,3,0.000,0,3,0,0.000,0.000,3,0.000,3,0.000,3,424.000,424.800,3,0.000,3,69.000,0,3,0,0,0,0,3,0.000
eunomia.dev,content/software,observed,95,63.333,7.093,95,24.000,100.000,94,24.500,0.063,95,0.000,0.000,95,0.000,0.600,95,0.000,6,84,5,6.316,5.263,95,0.000,95,0.000,95,1672.000,3334.600,95,24.000,95,204.000,10,85,0,0,0,0,95,10.526
