project,project_type,worktree_id,lane_events,home_events,mutation_rows,recognized_success,recognized_fail,recognized_observed_unknown,complete_inter_success_intervals,zero_mutation_intervals_pct,inter_success_mutation_rows_median,inter_success_mutation_rows_p90,inter_success_mutation_rows_max,success_same_outcome_gap_events_median,success_next_mutation_gap_events_median,success_next_attempt_gap_events_median,success_mutation_first_share_pct,success_mutation_first_comparable_n,fail_same_outcome_gap_events_median,fail_next_mutation_gap_events_median,fail_next_attempt_gap_events_median,fail_mutation_first_share_pct,fail_mutation_first_comparable_n
agentsight,systems/research,b5bc34dabe6a,24192,20331,5153,660,8,59,659,29.287,2.000,17.000,291,10.000,3.000,9.000,69.651,659,130.000,27.000,7.500,37.500,8
agentsight,systems/research,e58fce112c6e,73465,73448,1430,2624,365,143,2623,86.123,0.000,1.000,95,4.000,161.000,3.000,13.496,2623,41.000,322.000,1.000,3.562,365
agentsight,systems/research,f2407a7d66d5,256,252,5,4,0,0,3,66.667,0.000,0.800,1,2.000,3.500,2.000,33.333,3,,,,,0
ActPlane,systems/research,3dae89cd06ae,65239,65232,5789,2575,277,159,2574,84.382,0.000,1.000,817,3.000,419.000,2.000,14.547,2571,35.500,907.000,1.000,7.220,277
ActPlane,systems/research,8cdcec3acc9e,102,102,60,1,0,0,0,,,,,,5.000,,,0,,,,,0
bpf-developer-tutorial,tutorial/code/docs,a192f642f3ee,1663,1661,283,22,0,0,21,47.619,2.000,43.000,69,24.000,23.500,24.000,52.381,21,,,,,0
eunomia.dev,content/software,30e8a01e495d,13393,13393,738,52,3,95,51,56.863,0.000,21.000,361,103.000,211.500,40.000,33.333,51,0.000,424.000,0.000,0.000,3
eunomia.dev,content/software,da5c4a85644b,1,0,1,0,0,0,0,,,,,,,,,0,,,,,0
agentskill-observability-paper,auto research,4cfc7c676cf9,990,990,196,1,3,0,0,,,,,,1.000,,,0,76.000,1.000,69.000,100.000,3
academic-writing-skills,skill/harness development,4725c74bf420,879,879,251,9,0,0,8,62.500,0.000,49.000,140,1.000,0.000,1.000,100.000,3,,,,,0
