prompt_tag,duration_rank,effect_rank,duration_ms,duration_h,duration_share_pct,effect_weight,effect_share_pct,abs_share_delta_pct
review,2,2,352410467,97.892,11.396,33267,18.108,6.712
docs,6,8,159611889,44.337,5.161,3477,1.893,3.268
design,4,3,170991418,47.498,5.529,15705,8.549,3.02
network,8,93,87744339,24.373,2.837,74,0.04,2.797
refactor,1,1,1155475526,320.965,37.364,73162,39.824,2.46
compare,9,20,74429146,20.675,2.407,535,0.291,2.116
benchmark,34,7,6131060,1.703,0.198,4033,2.195,1.997
source,10,259,59845425,16.624,1.935,2,0.001,1.934
test,3,5,171302867,47.584,5.539,8012,4.361,1.178
question,14,85,35957586,9.988,1.163,82,0.045,1.118
docupdate,13,25,41766597,11.602,1.351,446,0.243,1.108
visdesign,16,108,31224296,8.673,1.01,64,0.035,0.975
analyze,5,4,164345260,45.651,5.314,11457,6.236,0.922
tag,15,35,32679733,9.078,1.057,259,0.141,0.916
testcodex,12,15,44542924,12.373,1.44,982,0.535,0.905
trace,11,11,50671577,14.075,1.639,1401,0.763,0.876
parse,17,263,26355881,7.321,0.852,1,0.001,0.851
ignored,259,13,47333,0.013,0.002,1221,0.665,0.663
designcodex,42,14,3764108,1.046,0.122,1074,0.585,0.463
evaluate,19,33,18045665,5.013,0.584,274,0.149,0.435
