agent,session_id_hash,session_tag,prompt_index,prompt_tag,start_ts_ms,end_ts_ms,duration_ms,duration_s,tool_events,llm_events,end_source,span_stack
codex,d8b5065370c9,analyze,0,trace,1781375082442,1781375405940,323498,323.498,7,12,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:trace;span:prompt
codex,d8b5065370c9,analyze,1,impact,1781375405940,1781375622129,216189,216.189,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:impact;span:prompt
codex,d8b5065370c9,analyze,2,optimize,1781375622129,1781375761954,139825,139.825,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:optimize;span:prompt
codex,d8b5065370c9,analyze,3,research,1781375761954,1781379254735,3492781,3492.781,0,4,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:research;span:prompt
codex,d8b5065370c9,analyze,4,evaluate,1781379254735,1781393489025,14234290,14234.29,60,41,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:evaluate;span:prompt
codex,d8b5065370c9,analyze,5,analyze,1781393489025,1781393506518,17493,17.493,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:analyze;span:prompt
codex,d8b5065370c9,analyze,6,analyze,1781393506518,1781398064180,4557662,4557.662,18,21,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:analyze;span:prompt
codex,d8b5065370c9,analyze,7,analyze,1781398064180,1781398602180,538000,538.0,2182,3195,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:analyze;span:prompt
codex,d8b5065370c9,analyze,8,design,1781398602180,1781398845433,243253,243.253,1,6,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:design;span:prompt
codex,d8b5065370c9,analyze,9,test,1781398845433,1781401189058,2343625,2343.625,0,4,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:test;span:prompt
codex,d8b5065370c9,analyze,10,analyze,1781401189058,1781401413890,224832,224.832,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:analyze;span:prompt
codex,d8b5065370c9,analyze,11,trace,1781401413890,1781402623932,1210042,1210.042,53,89,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:trace;span:prompt
codex,d8b5065370c9,analyze,12,analyze,1781402623932,1781402964031,340099,340.099,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:analyze;span:prompt
codex,d8b5065370c9,analyze,13,check,1781402964031,1781402981512,17481,17.481,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:check;span:prompt
codex,d8b5065370c9,analyze,14,design,1781402981512,1781403097871,116359,116.359,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:design;span:prompt
codex,d8b5065370c9,analyze,15,test,1781403097871,1781403114437,16566,16.566,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:test;span:prompt
codex,d8b5065370c9,analyze,16,validate,1781403114437,1781403138435,23998,23.998,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:validate;span:prompt
codex,d8b5065370c9,analyze,17,analyze,1781403138435,1781403217347,78912,78.912,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:analyze;span:prompt
codex,d8b5065370c9,analyze,18,example,1781403217347,1781403725148,507801,507.801,4,5,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:example;span:prompt
codex,d8b5065370c9,analyze,19,analyze,1781403725148,1781404200584,475436,475.436,0,3,next_prompt,project:agentsight;agent:codex;session:analyze;prompt:analyze;span:prompt
