task,dataset,groups,positives,width_ap,width_boost_ap,rule_score_ap,delta_rule_vs_boost_ap,width_boost_top5_lift,rule_score_top5_lift,delta_rule_vs_boost_top5_lift,width_boost_first_positive_work,rule_score_first_positive_work,delta_rule_vs_boost_first_positive_work
agentreward_looping,agent-reward-bench,40,504,0.7653,0.8242,0.8808,0.0566,1.0359,1.3179,0.282,0.2058,0.2058,0.0
agentreward_side_effect,agent-reward-bench,40,202,0.3661,0.3459,0.3549,0.009,1.4722,0.7831,-0.6891,0.0645,0.0645,0.0
satraj_unsafe,satraj-os-safety,142,622,0.1,0.0962,0.1748,0.0786,0.0,1.4301,1.4301,0.6376,0.0842,-0.5534
agentnet_incorrect_step,agentnet,289,874,0.0687,0.0748,0.0826,0.0078,1.1518,3.6085,2.4567,0.0435,0.0001,-0.0434
agentnet_redundant_step,agentnet,260,733,0.0863,0.09,0.087,-0.003,1.2727,1.9838,0.7111,0.0605,0.0051,-0.0554
osworld_group_start,osworld-human,173,764,0.2218,0.2308,0.2222,-0.0086,1.0417,0.951,-0.0907,0.1311,0.1311,0.0
