project,worktree_id,interval_type,start_event_id,end_event_id,start_action_rank,end_action_rank,action_length,duration_ms,distinct_sessions,mutation_rows,mutated_artifacts,failed_attempts,observed_unknown_attempts,ending_co_observed_mutation_rows
agentsight,e58fce112c6e,left_censored,0630761f9a0109ed,9706fecc824f7f88,1,20,20,209313,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,9706fecc824f7f88,3b4f7a2cec825645,20,30,10,88283,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,3b4f7a2cec825645,c4e01a4c45bd6f06,30,31,1,4,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,c4e01a4c45bd6f06,68a95cc5223bcf33,31,32,1,181,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,68a95cc5223bcf33,9064e6f986b78694,32,33,1,4609,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,9064e6f986b78694,28379fa2051746ad,33,282,249,7073933516,2,0,0,4,10,0
agentsight,e58fce112c6e,complete,28379fa2051746ad,d167d67a39667995,282,293,11,71296,1,0,0,0,1,0
agentsight,e58fce112c6e,complete,d167d67a39667995,bc6e88ccb6b0f875,293,341,48,287605,1,0,0,1,1,0
agentsight,e58fce112c6e,complete,bc6e88ccb6b0f875,3d53bd60875825c8,341,352,11,47215,1,0,0,0,1,0
agentsight,e58fce112c6e,complete,3d53bd60875825c8,2c77dce7f6df343c,352,363,11,53379,1,0,0,0,1,0
agentsight,e58fce112c6e,complete,2c77dce7f6df343c,fc0f54a4566d08ec,363,364,1,5453,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,fc0f54a4566d08ec,9c25b9bc294f679e,364,393,29,160724,1,0,0,0,1,0
agentsight,e58fce112c6e,complete,9c25b9bc294f679e,e9e63bb14f1857c0,393,488,95,2492366,1,0,0,1,2,0
agentsight,e58fce112c6e,complete,e9e63bb14f1857c0,4b51e9a3e98eca18,488,550,62,378210,1,0,0,1,2,0
agentsight,e58fce112c6e,complete,4b51e9a3e98eca18,218bb346521e7ae4,550,608,58,195058,1,0,0,0,1,0
agentsight,e58fce112c6e,complete,218bb346521e7ae4,1b264c4ee36ab2ec,608,609,1,42,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,1b264c4ee36ab2ec,4433076d27811cb1,609,630,21,127625,1,0,0,1,0,0
agentsight,e58fce112c6e,complete,4433076d27811cb1,ff0c8f9d56e33aea,630,684,54,362904,1,0,0,1,3,0
agentsight,e58fce112c6e,complete,ff0c8f9d56e33aea,09be6e3670d447c4,684,685,1,36,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,09be6e3670d447c4,4a2c6c340af4fc85,685,686,1,0,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,4a2c6c340af4fc85,c838f04e855db6b2,686,688,2,5302,1,0,0,1,0,0
agentsight,e58fce112c6e,complete,c838f04e855db6b2,946f75c3a77aae1b,688,755,67,3068878,1,0,0,1,4,0
agentsight,e58fce112c6e,complete,946f75c3a77aae1b,4229b001a986a7c0,755,761,6,13738,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,4229b001a986a7c0,d562e4eb4435f554,761,782,21,525594,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,d562e4eb4435f554,058348c700113c17,782,783,1,6436,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,058348c700113c17,6541354e4d036873,783,933,150,1033430,1,0,0,1,6,0
agentsight,e58fce112c6e,complete,6541354e4d036873,228e4de2f9cb03b0,933,935,2,4138,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,228e4de2f9cb03b0,ffe4c9ad25510233,935,1000,65,530532,1,0,0,1,8,0
agentsight,e58fce112c6e,complete,ffe4c9ad25510233,83e4095586e09757,1000,1193,193,5864077,1,0,0,3,9,0
agentsight,e58fce112c6e,complete,83e4095586e09757,4c440d9b64ff9ca9,1193,1225,32,301412,1,0,0,1,2,0
agentsight,e58fce112c6e,complete,4c440d9b64ff9ca9,2bfd6a963675eed2,1225,1226,1,0,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,2bfd6a963675eed2,838beead7b8a9945,1226,1245,19,177602,1,0,0,0,2,0
agentsight,e58fce112c6e,complete,838beead7b8a9945,ecaa05c497b1d90f,1245,1689,444,447066664,4,0,0,3,16,0
agentsight,e58fce112c6e,complete,ecaa05c497b1d90f,306303197d3e56f0,1689,1720,31,227747,1,3,2,0,0,0
agentsight,e58fce112c6e,complete,306303197d3e56f0,ca9cfb0e55397dc0,1720,1721,1,13506,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,ca9cfb0e55397dc0,1e4bb8bf833b0f88,1721,1722,1,729,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,1e4bb8bf833b0f88,228251949b0a86e4,1722,1728,6,46488,1,1,1,0,0,0
agentsight,e58fce112c6e,complete,228251949b0a86e4,2c7016c95f65adc3,1728,1730,2,13236,1,1,1,0,0,0
agentsight,e58fce112c6e,complete,2c7016c95f65adc3,4f807065fe1c2d25,1730,1731,1,10324,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,4f807065fe1c2d25,014b97caf319e0e8,1731,1737,6,40748,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,014b97caf319e0e8,9f1d9e35d2d58799,1737,1762,25,497662,1,3,3,0,0,0
agentsight,e58fce112c6e,complete,9f1d9e35d2d58799,3d065d7bff8e21be,1762,1769,7,45678,1,3,1,0,0,0
agentsight,e58fce112c6e,complete,3d065d7bff8e21be,9cc4ee9b0ece9aca,1769,1771,2,8951,1,1,1,0,0,0
agentsight,e58fce112c6e,complete,9cc4ee9b0ece9aca,e1696dde2af657e4,1771,1772,1,5425,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,e1696dde2af657e4,65385550617a439a,1772,1776,4,88276,1,1,1,0,0,0
agentsight,e58fce112c6e,complete,65385550617a439a,c46e8b116266fc15,1776,1785,9,411357,1,1,1,0,0,0
agentsight,e58fce112c6e,complete,c46e8b116266fc15,11a58ff51f71103d,1785,1791,6,49306,1,1,1,0,0,0
agentsight,e58fce112c6e,complete,11a58ff51f71103d,9595edf13f7e730b,1791,1938,147,1395091,1,2,2,0,0,0
agentsight,e58fce112c6e,complete,9595edf13f7e730b,c8f13da24abd2d56,1938,1939,1,5423,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,c8f13da24abd2d56,107aa68a3e824d2c,1939,1940,1,6847,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,107aa68a3e824d2c,b21b7d862558e825,1940,1950,10,75536,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,b21b7d862558e825,f2431d5c7328dca6,1950,1978,28,1428786,1,4,1,0,0,0
agentsight,e58fce112c6e,complete,f2431d5c7328dca6,27e13379c6028faf,1978,1982,4,20143,1,2,1,1,0,0
agentsight,e58fce112c6e,complete,27e13379c6028faf,85351c2193dc91eb,1982,1983,1,5695,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,85351c2193dc91eb,06d191a01e31ac3f,1983,2021,38,397253,1,8,1,0,0,0
agentsight,e58fce112c6e,complete,06d191a01e31ac3f,1f1e011e174560e2,2021,2026,5,26234,1,2,1,1,0,0
agentsight,e58fce112c6e,complete,1f1e011e174560e2,a4cb3a324fd715b2,2026,2027,1,4820,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,a4cb3a324fd715b2,282c3c3c9aa1f4cf,2027,2033,6,22530,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,282c3c3c9aa1f4cf,51937574bff43781,2033,2035,2,26508,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,51937574bff43781,03b38c5660203979,2035,2083,48,1297233,1,10,1,0,0,0
agentsight,e58fce112c6e,complete,03b38c5660203979,8a3de9756a977fce,2083,2095,12,981606,1,2,1,0,0,0
agentsight,e58fce112c6e,complete,8a3de9756a977fce,f35941688936102f,2095,2102,7,27487,1,2,1,0,0,0
agentsight,e58fce112c6e,complete,f35941688936102f,f4f646e2fac1d5c7,2102,2105,3,13655,1,1,1,0,0,0
agentsight,e58fce112c6e,complete,f4f646e2fac1d5c7,bc4c5c148f025571,2105,2106,1,17224,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,bc4c5c148f025571,31c472e2364c69c4,2106,2107,1,6411,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,31c472e2364c69c4,e8b0cbb2e6076b9b,2107,2108,1,5737,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,e8b0cbb2e6076b9b,ee04dd6a1b8206f3,2108,2109,1,5929,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,ee04dd6a1b8206f3,c7fe645daf7dc676,2109,2114,5,22359,1,2,1,0,0,0
agentsight,e58fce112c6e,complete,c7fe645daf7dc676,9b88891404241748,2114,2115,1,7004,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,9b88891404241748,347a7653432bfe19,2115,2150,35,477370,1,9,4,1,0,0
agentsight,e58fce112c6e,complete,347a7653432bfe19,0c9b579c629b64eb,2150,2151,1,6804,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,0c9b579c629b64eb,3b0a938f3f084295,2151,2152,1,5669,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,3b0a938f3f084295,b2390a74adfc57db,2152,2153,1,6884,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,b2390a74adfc57db,d38280f418b78dd3,2153,2154,1,10141,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,d38280f418b78dd3,052b4d993787ebcf,2154,2163,9,41765,1,6,1,0,0,0
agentsight,e58fce112c6e,complete,052b4d993787ebcf,b98d8956ec62effa,2163,2164,1,6915,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,b98d8956ec62effa,c950580a676e86e9,2164,2166,2,18731,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,c950580a676e86e9,75370bc3289fb7d3,2166,2172,6,1712833,1,2,1,0,0,0
agentsight,e58fce112c6e,complete,75370bc3289fb7d3,d399a257f3b71c82,2172,2173,1,7210,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,d399a257f3b71c82,f01bbf5a6d5cf38b,2173,2174,1,5969,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,f01bbf5a6d5cf38b,dc079f6c484c6145,2174,2181,7,34824,1,3,1,0,0,0
agentsight,e58fce112c6e,complete,dc079f6c484c6145,c11e845e7317d1f8,2181,2184,3,21049,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,c11e845e7317d1f8,7a98d377e8dcf32e,2184,2185,1,7021,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,7a98d377e8dcf32e,219fd76c8be568ec,2185,2186,1,7105,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,219fd76c8be568ec,fb3e24f8b7b1bd01,2186,2190,4,23135,1,3,1,0,0,0
agentsight,e58fce112c6e,complete,fb3e24f8b7b1bd01,4ccad7637e9e33fb,2190,2203,13,361450,1,3,2,0,0,0
agentsight,e58fce112c6e,complete,4ccad7637e9e33fb,564a739342002a82,2203,2204,1,5466,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,564a739342002a82,97d6d469fee7d88c,2204,2206,2,12762,1,1,1,0,0,0
agentsight,e58fce112c6e,complete,97d6d469fee7d88c,635c1e939bcf8ef1,2206,2211,5,39561,1,1,1,0,0,0
agentsight,e58fce112c6e,complete,635c1e939bcf8ef1,9f7e02482e644503,2211,2213,2,14778,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,9f7e02482e644503,32def772bf9f8a8a,2213,2270,57,1260128,1,11,5,1,0,0
agentsight,e58fce112c6e,complete,32def772bf9f8a8a,7da7bd5b5a1aacec,2270,2271,1,6182,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,7da7bd5b5a1aacec,4bf88c0b00b65055,2271,2272,1,6525,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,4bf88c0b00b65055,9a1a9c966bbe7b90,2272,2273,1,11464,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,9a1a9c966bbe7b90,cf6954ca440729b4,2273,2280,7,64686,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,cf6954ca440729b4,ab72f0e6efb44748,2280,2291,11,52377,1,1,1,0,0,0
agentsight,e58fce112c6e,complete,ab72f0e6efb44748,f03e325404548e22,2291,2301,10,55616,1,2,2,0,0,0
agentsight,e58fce112c6e,complete,f03e325404548e22,f093f883061564eb,2301,2315,14,72983,1,2,2,0,0,0
agentsight,e58fce112c6e,complete,f093f883061564eb,72a893d2a5092e91,2315,2316,1,8290,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,72a893d2a5092e91,af729984ad7ef79c,2316,2319,3,191307,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,af729984ad7ef79c,77b7879747492918,2319,2329,10,51611,1,3,1,0,0,0
agentsight,e58fce112c6e,complete,77b7879747492918,53fa6ac97ff563bd,2329,2358,29,29196544,2,0,0,0,0,0
agentsight,e58fce112c6e,complete,53fa6ac97ff563bd,07dfda3a0ec92e77,2358,2580,222,30333118,8,0,0,0,0,0
agentsight,e58fce112c6e,complete,07dfda3a0ec92e77,7d4a236a6551c423,2580,2598,18,189391,5,0,0,0,0,0
agentsight,e58fce112c6e,complete,7d4a236a6551c423,84690bcc911bcaaf,2598,2631,33,218458,5,0,0,0,0,0
agentsight,e58fce112c6e,complete,84690bcc911bcaaf,dca45dc6c2af08a4,2631,2843,212,11653930,5,0,0,0,0,0
agentsight,e58fce112c6e,complete,dca45dc6c2af08a4,090a19caf4d0ca2c,2843,2932,89,532939,2,0,0,0,0,0
agentsight,e58fce112c6e,complete,090a19caf4d0ca2c,e4e092ee53672e5b,2932,2979,47,409162,2,0,0,6,0,0
agentsight,e58fce112c6e,complete,e4e092ee53672e5b,947824072cd50e9f,2979,2982,3,9486,1,0,0,2,0,0
agentsight,e58fce112c6e,complete,947824072cd50e9f,895eddb36079aa75,2982,2984,2,14735,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,895eddb36079aa75,3ab291e7464052ff,2984,2985,1,10,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,3ab291e7464052ff,f04f60a33ea8a8ce,2985,2986,1,20309,1,0,0,0,0,0
agentsight,e58fce112c6e,complete,f04f60a33ea8a8ce,d554bf5b95eb86d1,2986,2987,1,0,1,0,0,0,0,0
