project,worktree_id,previous_component,next_component,previous_sessions,next_sessions,gap_ms,next_action_count,no_observed_mutation,first_mutation_action_step,first_mutation_delay_ms,prefix_actions,predecessor_artifact_count,predecessor_module_count,next_mutated_artifact_count,next_mutated_module_count,artifact_overlap,module_overlap,prefix_predecessor_artifact,prefix_predecessor_module,prefix_other_resolved_artifact,prefix_other_resolved_scope,prefix_no_resolved_path,first_predecessor_mutated,first_predecessor_accessed,first_earlier_history,first_confirmed_create,first_first_observed_existing,first_unknown_lineage
ActPlane,3dae89cd06ae,10,11,23,20,81696491,8791,False,1179,44250439,1178,17,4,27,4,0.0,0.25,15,197,498,12,456,0,0,0,0,3,0
ActPlane,3dae89cd06ae,11,12,20,2,97052853,527,False,13,461645,12,157,11,18,3,0.4444444444444444,0.6666666666666666,7,2,0,0,3,0,0,0,0,1,0
ActPlane,3dae89cd06ae,12,13,2,2,603291,155,False,19,173136,18,25,4,9,3,0.5555555555555556,1.0,1,1,0,0,16,1,0,0,0,0,0
ActPlane,3dae89cd06ae,13,14,2,1,65393846,11,False,5,437595,4,12,3,1,1,1.0,1.0,2,0,0,0,2,1,0,0,0,0,0
ActPlane,3dae89cd06ae,14,15,1,2,106378,227,False,4,155390,3,1,1,5,1,0.2,1.0,2,0,0,0,1,1,0,0,0,0,0
ActPlane,3dae89cd06ae,15,16,2,13,2468764,2724,False,17,273129,16,5,2,14,3,0.35714285714285715,0.6666666666666666,14,0,0,0,2,1,0,0,0,0,0
ActPlane,3dae89cd06ae,16,17,13,2,7994987,74,True,,,0,87,9,0,0,,,0,0,0,0,0,0,0,0,0,0,0
ActPlane,3dae89cd06ae,17,18,2,7,173484768,979,False,111,1618130,110,13,7,1,1,0.0,1.0,23,66,1,0,20,0,0,0,0,1,0
ActPlane,3dae89cd06ae,18,19,7,5,314091340,1401,True,,,0,34,8,0,0,,,0,0,0,0,0,0,0,0,0,0,0
ActPlane,3dae89cd06ae,19,20,5,1,172108949,24,True,,,0,38,4,0,0,,,0,0,0,0,0,0,0,0,0,0,0
ActPlane,3dae89cd06ae,20,21,1,8,69022951,1804,True,,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0
ActPlane,3dae89cd06ae,21,22,8,32,779227885,4107,False,40,796260,39,34,5,25,5,0.48,0.8,14,1,0,0,24,0,5,0,0,0,0
bpf-developer-tutorial,a192f642f3ee,0,1,1,2,4733198964,385,True,,,0,11,2,0,0,,,0,0,0,0,0,0,0,0,0,0,0
bpf-developer-tutorial,a192f642f3ee,1,2,2,1,11490888554,11,False,9,79043,8,71,3,2,1,0.0,1.0,1,6,0,0,1,0,0,0,0,1,0
