project,worktree_id,component_index,start_ms,end_ms,session_count,session_ids,action_count,mutation_rows
agentsight,e58fce112c6e,0,1772761744423,1772762331845,1,codex:rollout-2026-03-05T17-48-25-019cc0d4-edae-7e81-92e2-239691fed904,71,0
agentsight,e58fce112c6e,1,1779831124838,1779936706202,5,codex:rollout-2026-05-26T14-31-06-019e6632-cfcb-7dd3-878d-3ce797b571f4;codex:rollout-2026-05-26T16-41-36-019e66aa-4a9e-7533-beb9-de02099486a6;codex:rollout-2026-05-26T16-52-43-019e66b4-75a7-7211-9174-76d8ad2a08de;codex:rollout-2026-05-26T18-19-14-019e6703-abba-7da1-984b-d28152b3c96c;codex:rollout-2026-05-27T08-49-38-019e6a20-8dd3-7de2-a313-bb57c5bb3d6b,1589,0
agentsight,e58fce112c6e,2,1780339768198,1780340936381,1,codex:rollout-2026-06-01T11-48-58-019e8484-8844-7e21-9550-05074a58c4fc,49,0
agentsight,e58fce112c6e,3,1780367961217,1780423790645,10,claude:agent-ab12a7da6621b0b86;claude:c05dad0c-e868-4c47-8cfe-9ba20260eae0;codex:rollout-2026-06-01T19-45-17-019e8638-9b48-71d1-b01a-88363db4413e;codex:rollout-2026-06-01T19-53-16-019e863f-e962-7051-a33c-cc708da4e49d;codex:rollout-2026-06-01T20-15-35-019e8654-5a96-79f2-acdf-e9903d935394;codex:rollout-2026-06-01T20-15-35-019e8654-5b1e-7d30-ae8a-0f1ccdc1cd50;codex:rollout-2026-06-01T20-15-35-019e8654-5b71-7630-bb97-ddfeaba7fb93;codex:rollout-2026-06-01T20-15-36-019e8654-5c03-7711-9b43-e0321887e2a2;codex:rollout-2026-06-01T23-43-59-019e8713-2449-71e3-8358-d3310df82456;codex:rollout-2026-06-02T00-18-29-019e8732-bb63-74c3-bb16-80c7899de248,1191,0
agentsight,e58fce112c6e,4,1780424274189,1780424405391,1,codex:rollout-2026-06-02T11-17-45-019e898e-4f1d-74e2-aed5-0b765abeb25c,40,0
agentsight,e58fce112c6e,5,1780424460211,1780533741591,47,claude:04e5e953-5127-4e95-b90b-df7698898541;claude:0796efe9-9a09-4b20-9851-99186e85b086;claude:2ecd6fa9-3d86-4ad2-8367-24466e57efae;claude:2f7b5041-46aa-4858-800e-50d8a37a79a0;claude:46db4cd4-541a-4ac9-80b8-5adaaca37455;claude:64208586-89d5-41bf-b984-43b3279bed2d;claude:81d7b9b6-ad41-4188-a5e7-60929528cfeb;claude:agent-a01a483152abca9f8;claude:agent-a0af244742a627d61;claude:agent-a1197cf0412eb0f7d;claude:agent-a2fcad79cd2f2477c;claude:agent-a36e2dc9396ccb560;claude:agent-a43ad16a8d06dad9b;claude:agent-a450b6e788c71511e;claude:agent-a46128b23a9f8fcd3;claude:agent-a52a8b596b49b6608;claude:agent-a54b4f934659c99f4;claude:agent-a5f6d1cd4ee7ee86e;claude:agent-a61fd621f2a9641d7;claude:agent-a627cc9fba95bd35c;claude:agent-a81921cfbfe7ffc3c;claude:agent-a96417349d96eb396;claude:agent-a984a8b83fad8b5f7;claude:agent-aa4e67a5402af0f9b;claude:agent-aae1fdece89c7ac05;claude:agent-abe6f2a92d8c0dda1;claude:agent-acebc490e66aa719c;claude:agent-acebc8871539eb78c;claude:agent-acf1a34890905c6fc;claude:agent-aee3ddfe633a8f982;claude:agent-af3614790770f23b2;claude:agent-af6bcbce893e1f46c;claude:agent-af98be6012553eaf7;claude:agent-afbd182fdee8f91eb;claude:agent-afda6d55fcffbd2ef;claude:c84b3339-55dc-4e91-8136-b1f5d4da7857;claude:d673ad35-b129-4e1e-a3ff-ed71deeedff9;claude:f88b54dc-0be7-45a8-8e44-86c344d1cd96;codex:rollout-2026-06-02T11-20-36-019e8990-ece7-70d0-b469-b8d10527ef86;codex:rollout-2026-06-02T11-33-47-019e899c-fc11-7d20-bc8d-8706747e90ab;codex:rollout-2026-06-02T15-03-06-019e8a5c-9f7a-74c1-933b-5cd21c1646ad;codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5;codex:rollout-2026-06-03T11-21-42-019e8eb8-4aa8-74b0-af35-f251ed73079b;codex:rollout-2026-06-03T11-44-58-019e8ecd-957e-7ba1-8c84-3b0003581645;codex:rollout-2026-06-03T14-46-03-019e8f73-5e06-7751-9ee2-e0aadedc0755;codex:rollout-2026-06-03T16-00-24-019e8fb7-7101-7252-a326-594a3daabb00;codex:rollout-2026-06-03T16-37-47-019e8fd9-a945-7290-85e1-5adc35c8fb2c,6351,72
agentsight,e58fce112c6e,6,1780533821459,1780637288263,62,claude:047ce1aa-9d25-4596-9aaa-f3562206109b;claude:18cf8818-865b-44a4-8f5d-92c5d97a2c6d;claude:20f60818-1348-4e39-853d-2e6899dca7d0;claude:27edce40-cb64-4bb7-b352-e45966d4de5c;claude:34934785-8ee2-4f9c-be78-794bce7e1361;claude:5db7e4bd-3d95-46c0-8827-40cef1cf9f44;claude:5fe659c0-2292-4289-a994-f430779708b6;claude:7ad7c67d-e6e3-4e64-afa1-4327e4497858;claude:agent-a0108bbe8e69938b4;claude:agent-a098cf2a30b409156;claude:agent-a09b7b53318197e4c;claude:agent-a0f8c76542d2c471a;claude:agent-a101a87292130caa3;claude:agent-a11a3284306a58f84;claude:agent-a1432437a1b0dc3ac;claude:agent-a1911fc2dd5b8f41b;claude:agent-a19e5f4dcf44f2931;claude:agent-a4b57ebb495e73daf;claude:agent-a4c7581865f21f3b0;claude:agent-a4e1249678c1f8d4c;claude:agent-a4ea5c3f931f80d72;claude:agent-a4eb1046518e20002;claude:agent-a5218d3dffddc6e6b;claude:agent-a539118e32122bcf0;claude:agent-a541b62c98e49f66e;claude:agent-a56d22833f50fa21f;claude:agent-a56e5fff3203d7f3a;claude:agent-a6693aac3ec4bd120;claude:agent-a66e1f1dbd0e019f1;claude:agent-a8a0c52b27da57044;claude:agent-a9a23e394ba7ae4b5;claude:agent-aa5561ad22479799a;claude:agent-aaef7af343550f9c4;claude:agent-aafa44484a7611e7e;claude:agent-ab5aa18ecdac88994;claude:agent-ac2552aeced2d2f4b;claude:agent-ac2f6d8e9f6a18868;claude:agent-ac805e8de7c191493;claude:agent-ac86c1dd53a7a49db;claude:agent-ad77c07c6701d6c3d;claude:agent-ad7e6f7cf059d0529;claude:agent-adabcc8d50c844d5f;claude:agent-add72c377fbfb393a;claude:agent-ade89e4312f42596b;claude:agent-ae099680faa7f43f8;claude:agent-ae3d12cc8767c2891;claude:agent-ae49b99196ce40c18;claude:agent-ae980b41ac91ae52a;claude:agent-aeefc05b2f0560ca4;claude:agent-af27bdbd91e0a6ea7;claude:agent-af7528da4ee33e8df;codex:rollout-2026-06-03T17-42-04-019e9014-8640-79d3-a482-8cf585a5c3db;codex:rollout-2026-06-03T20-41-37-019e90b8-e67a-7dd0-abd3-36234483a7a8;codex:rollout-2026-06-03T21-42-16-019e90f0-6eb0-7591-afdb-e401e736a7e7;codex:rollout-2026-06-03T22-39-32-019e9124-dcca-7f93-8e21-0304362f59ac;codex:rollout-2026-06-03T23-04-44-019e913b-eeb3-78a1-ba15-cad42eddf411;codex:rollout-2026-06-04T00-31-14-019e918b-1f49-71d1-9677-3b7e73e80303;codex:rollout-2026-06-04T01-09-06-019e91ad-cc38-7c23-a47a-f5e71fb1d14a;codex:rollout-2026-06-04T13-50-45-019e9467-1ae0-7511-b8f1-1cc8570c039c;codex:rollout-2026-06-04T14-14-28-019e947c-cf1f-7c80-8c0d-4cb00fb86461;codex:rollout-2026-06-04T16-17-05-019e94ed-12cf-7050-8589-46c3af0df88e;codex:rollout-2026-06-04T17-43-54-019e953c-903e-71e1-b7d2-1ca9b4f952f0,7246,282
agentsight,e58fce112c6e,7,1780703571390,1780735228836,1,codex:rollout-2026-06-05T16-52-13-019e9a33-98ff-7dc1-99e7-46f58bdc0542,75,3
agentsight,e58fce112c6e,8,1780979350106,1781082374457,11,claude:0a0d52ca-1337-4bdb-8012-b4499aa3d3ae;claude:173a3d33-be1e-476b-980b-0378f533443a;claude:4522c52e-85e9-480f-9765-5223d84a46a5;claude:836a5458-492e-4510-a424-823362c705bf;claude:982e9a35-19e8-4318-9e3e-8385d0a22abf;claude:b46d1ef7-d4c4-4727-8f6a-3db7a973dbeb;claude:b69f7036-2f76-46ce-898d-82959967642f;codex:rollout-2026-06-08T21-27-31-019eaaa2-bac4-7502-a803-46f93a3de4f9;codex:rollout-2026-06-08T23-51-19-019eab26-60ac-78e0-9862-6274ae5e39bd;codex:rollout-2026-06-09T02-33-07-019eabba-827c-7cf0-b3bc-38965c553d04;codex:rollout-2026-06-09T14-04-56-019eae33-e256-7b03-aed5-a6fdceb78ed9,1566,0
agentsight,e58fce112c6e,9,1781082492047,1781119735057,6,claude:aa27b1bd-8e29-4074-a1a7-7b7d4b444620;claude:agent-a2a427bbeea643ec4;claude:agent-a399cc79a6659db15;claude:agent-a3f84db1861048124;claude:agent-a69172bdbd6399d7b;claude:agent-ace9bc5ddff54921e,521,163
agentsight,e58fce112c6e,10,1781328041010,1781367127103,1,codex:rollout-2026-06-12T22-20-31-019ebf6c-ae8e-78c1-a49e-9e005f5abecd,710,9
