experiment,spec,format,view,stack_depth,where_rules,rank_rules,rank_op_rules,operation_rows,samples,unique_stacks,median_runtime_ms,p95_runtime_ms,max_runtime_ms,output_bytes,deterministic_hash,stable_samples,stable_unique_stacks,deterministic_semantic_hash,deterministic_raw_hash,hash,raw_hash
r300_views,docs/visexp/out/operation-query-utility-r300/fixed_session-profile-spec.json,folded,operations,3,0,0,0,34539,34539,2012,2653.4662,2699.8168,2699.8168,207442,True,True,True,True,True,2fc689a4d49c260316df3efb67fd90d29bf9750cfdf0b506ccb4c246b78cc3ee,2fc689a4d49c260316df3efb67fd90d29bf9750cfdf0b506ccb4c246b78cc3ee
r300_views,docs/visexp/out/operation-query-utility-r300/flat-profile-spec.json,folded,operations,2,0,0,0,34539,34539,6,2235.4031,2240.4226,2240.4226,375,True,True,True,True,True,f8d0ec6986fbb467ed70e49b0fd6d78b6159e8f7f7cc4f93e7864e68397be491,f8d0ec6986fbb467ed70e49b0fd6d78b6159e8f7f7cc4f93e7864e68397be491
r300_views,docs/visexp/out/operation-query-utility-r300/label_drilldown-profile-spec.json,folded,operations,8,0,0,0,34539,34539,318,4242.5738,4280.2118,4280.2118,55839,True,True,True,True,True,1a542ab041188e1c9b87172dd9d033a06d87a722a8ffb3a28223a9c5207de92a,1a542ab041188e1c9b87172dd9d033a06d87a722a8ffb3a28223a9c5207de92a
r300_views,docs/visexp/out/operation-query-utility-r300/operation_stack-profile-spec.json,folded,operations,8,0,0,0,34539,34539,944,4272.6763,4300.8645,4300.8645,162759,True,True,True,True,True,b6e54ac6227e388f9788800a66126d43aeba8928608baf712b7ceefb8ed8cbde,b6e54ac6227e388f9788800a66126d43aeba8928608baf712b7ceefb8ed8cbde
r324_rank_features,docs/visexp/out/operation-rank-feature-r324/agentnet_incorrect_step-coarse-op-features-profile-spec.json,json,operations,4,1,0,4,34539,14718,43,2239.3043,2240.1725,2240.1725,35132,True,True,True,True,False,145a70a443de9c4535501a91ee14dbf218be169da73ad10ebf58aea8664f2901,2166ae86f6e369d390d2220ee9d4d437566c3d40be11f5849bec0c62d6f1cf24
r324_rank_features,docs/visexp/out/operation-rank-feature-r324/agentnet_incorrect_step-semantic-op-features-profile-spec.json,json,operations,7,1,0,4,34539,14718,289,2691.5278,2734.742,2734.742,197500,True,True,True,True,False,b49d0d8adb1663d77ac170b968b9920d6d5f7895f33b3d519cf03905f8ef3a29,a2ce564f9ded02fd43e5701d69337cbaedbeb25814c9b0060d2c71066da503d8
r324_rank_features,docs/visexp/out/operation-rank-feature-r324/agentnet_redundant_step-coarse-op-features-profile-spec.json,json,operations,4,1,0,3,34539,10067,42,1804.9379,1827.6491,1827.6491,31489,True,True,True,True,False,65cb19a21ef58d4522109fbd802269afbbc6987bd64d3304d57ec48630a51403,d57f35deb0e748c70723752b2848f69d04d5ffa61a12b39e84435e4aa843917a
r324_rank_features,docs/visexp/out/operation-rank-feature-r324/agentnet_redundant_step-semantic-op-features-profile-spec.json,json,operations,7,1,0,3,34539,10067,260,2087.1082,2110.0846,2110.0846,174785,True,True,True,True,False,be79dbfbe7d58a1854495e5e1a45c165ab6282c684f541379e040278837ebd21,7e9bbcf88aabb9bc296bfecbed07b9100544c4924271971deede7917665bb5ed
r324_rank_features,docs/visexp/out/operation-rank-feature-r324/agentreward_looping-coarse-op-features-profile-spec.json,json,operations,4,1,0,3,34539,729,16,1254.5969,1268.2659,1268.2659,15728,True,True,True,True,False,57ee9b47e574c0a834533e1068f34cae13b1b0655caea919475f588d996dc221,c761c35de13f79ba6e679ef2d5cdadf188defbbc7fc825d2bcc24b9e27e9aaca
r324_rank_features,docs/visexp/out/operation-rank-feature-r324/agentreward_looping-semantic-op-features-profile-spec.json,json,operations,7,1,0,3,34539,729,40,1272.2328,1279.9407,1279.9407,37546,True,True,True,True,False,38cb478beb3caa3084721001718c1b37fb0c6aba143040cbbccd097943668cd5,5553a9ea4e7ea7bb19ab4cf50897877a58e1893be4c0fc366f1e577030fd216f
