check,passed
uses_tracked_r300_source,True
uses_tracked_r320_baselines,True
covers_all_six_tasks,True
covers_all_depths,True
all_rust_profiles_use_induction,True
all_rust_depth_caps_match,True
rust_stack_reconstruction_matches,True
no_oracle_source_fields_selected,True
hidden_labels_used_only_for_visible_rows,True
