project,worktree_id,call_rank,event_id,leaders,cumulative_call_count
ActPlane,3dae89cd06ae,1,0369788d2540f666,repo-root-files,1
ActPlane,3dae89cd06ae,9,0d73b827a0dae0e6,bpf;repo-root-files,3
ActPlane,3dae89cd06ae,10,687f81dddd3f2463,bpf,4
ActPlane,3dae89cd06ae,16,f2888fdd6d2ff6f1,bpf;collector,6
ActPlane,3dae89cd06ae,17,668e7359809a1310,collector,7
ActPlane,3dae89cd06ae,19,dbfbe6394f293129,bpf;collector,7
ActPlane,3dae89cd06ae,20,9b18751774e023a7,collector,8
ActPlane,3dae89cd06ae,21,4dae85685b3ac8f2,bpf;collector,8
ActPlane,3dae89cd06ae,22,ae91c198368bdbfa,bpf,9
ActPlane,3dae89cd06ae,449,3977bc296187bb1b,bpf;docs,131
ActPlane,3dae89cd06ae,450,923d939d3f3826d4,docs,132
ActPlane,8cdcec3acc9e,1,50ecf369134c2412,bpf,1
ActPlane,8cdcec3acc9e,10,be635ef74d64b527,bpf;docs,3
ActPlane,8cdcec3acc9e,12,fb9fdbb7cfd4d57a,bpf,4
ActPlane,8cdcec3acc9e,34,b9132fd99b2c602d,bpf;collector,14
ActPlane,8cdcec3acc9e,35,6e30c05d3d179c1f,collector,15
ActPlane,8cdcec3acc9e,50,ec2a47bf9dd3b742,bpf;collector,15
ActPlane,8cdcec3acc9e,51,a8df7071ccbf1be7,bpf,16
ActPlane,8cdcec3acc9e,52,8b4c64aa21baa94d,bpf;collector,16
ActPlane,8cdcec3acc9e,54,60836ecd09ed65a5,bpf,17
academic-writing-skills,4725c74bf420,1,e9f7857a7be768bc,repo-root-files,1
academic-writing-skills,4725c74bf420,2,9575c6571c11b75a,docs;repo-root-files,1
academic-writing-skills,4725c74bf420,3,72588544c0a6b730,docs;repo-root-files;skills,1
academic-writing-skills,4725c74bf420,4,57b56323d98a3491,skills,2
agentsight,b5bc34dabe6a,1,a5f53946c71509c8,docs,1
agentsight,b5bc34dabe6a,6,fdc337ed3fec5764,agentpprof;docs,3
agentsight,b5bc34dabe6a,7,27253a27e936550d,agentpprof,4
agentsight,b5bc34dabe6a,88,09d1c17c32ed4700,agentpprof;docs,40
agentsight,b5bc34dabe6a,89,9da0c73c69601e9c,docs,41
agentsight,e58fce112c6e,1,c5b9bc57365f5d69,repo-root-files,1
agentsight,e58fce112c6e,2,ee4b2044f374adf4,bpf;collector;frontend;repo-root-files;script,1
agentsight,e58fce112c6e,3,4cb2505cec7cd7ae,bpf,2
agentsight,e58fce112c6e,6,b5dadb6a3e9c3b99,bpf;frontend,3
agentsight,e58fce112c6e,7,23a8e08f64479c0c,frontend,4
agentsight,e58fce112c6e,11,7fbdd03a32515e26,collector;frontend,6
agentsight,e58fce112c6e,12,8d5a24b4a87a9a0e,collector,7
agentsight,e58fce112c6e,15664,f6481f1c029209ab,collector;docs,6981
agentsight,e58fce112c6e,15665,2c5f8c8209545f24,docs,6982
agentsight,e58fce112c6e,19388,7bcc190bcc39f64c,collector;docs,8140
agentsight,e58fce112c6e,19391,690d860f43e295c2,collector,8141
agentsight,f2407a7d66d5,1,00cd96d17eb16c43,docs,1
agentskill-observability-paper,4cfc7c676cf9,1,c0240b3e415acc88,docs,1
bpf-developer-tutorial,a192f642f3ee,1,e98bbdb9633f852b,scripts,1
bpf-developer-tutorial,a192f642f3ee,2,f70a0d5121f56d06,scripts;src,1
bpf-developer-tutorial,a192f642f3ee,3,080de8fd6af3b05a,src,2
eunomia.dev,30e8a01e495d,1,f4e6179ac6bae14e,app,1
eunomia.dev,da5c4a85644b,1,6df82fcc9c1c932e,.agents,1
