project,worktree_id,module,action_units,read_units,mutation_units,resolved_calls,sessions,first_event_index,last_event_index,first_ts_ms,last_ts_ms
ActPlane,3dae89cd06ae,.actplane,21,20,1,19,6,665,65434,1779576055963,1784348017614
ActPlane,3dae89cd06ae,.claude,42,16,26,39,8,6034,54707,1780193799162,1781854696135
ActPlane,3dae89cd06ae,.codex,14,4,10,13,2,474,9631,1779572001647,1780291973120
ActPlane,3dae89cd06ae,.git,2,0,2,2,1,9046,9052,1780287103185,1780287148413
ActPlane,3dae89cd06ae,.github,64,40,24,60,12,63,62592,1779516172628,1784257311661
ActPlane,3dae89cd06ae,anomalyco__opencode,1,1,0,1,1,2110,2110,1779965827771,1779965827771
ActPlane,3dae89cd06ae,bpf,4398,2998,1400,3948,63,19,66233,1779515852380,1784364062631
ActPlane,3dae89cd06ae,collector,2592,1653,939,2461,27,20,53482,1779515852380,1781572376503
ActPlane,3dae89cd06ae,crates,778,585,193,706,30,53485,66221,1781572389540,1784363889684
ActPlane,3dae89cd06ae,docs,16115,8938,7177,15079,92,18,65793,1779515852379,1784356343411
ActPlane,3dae89cd06ae,libbpf,1,1,0,1,1,57607,57607,1782181791213,1782181791213
ActPlane,3dae89cd06ae,policies,13,6,7,13,3,595,5081,1779575570524,1780117257878
ActPlane,3dae89cd06ae,policy,15,6,9,15,3,3462,5082,1780005561341,1780117261178
ActPlane,3dae89cd06ae,repo-root-files,476,282,194,458,42,2,66226,1779512202876,1784363982153
ActPlane,3dae89cd06ae,script,255,128,127,247,17,430,65765,1779571544905,1784355409743
ActPlane,3dae89cd06ae,target,58,13,45,27,2,47834,66144,1781401276524,1784360392817
ActPlane,3dae89cd06ae,test,31,25,6,30,8,53509,64577,1781572564526,1784323284434
ActPlane,3dae89cd06ae,vmlinux,10,10,0,10,4,75,57607,1779517246756,1782181791213
ActPlane,8cdcec3acc9e,bpf,23,5,18,23,1,5768,5845,1780169242516,1780169542695
ActPlane,8cdcec3acc9e,collector,19,3,16,19,1,5771,5850,1780169244420,1780169555537
ActPlane,8cdcec3acc9e,docs,21,8,13,21,1,5775,5884,1780169252373,1780169688363
ActPlane,8cdcec3acc9e,policies,2,1,1,2,1,5858,5863,1780169588044,1780169597586
ActPlane,8cdcec3acc9e,policy,2,1,1,2,1,5857,5861,1780169587162,1780169594711
ActPlane,8cdcec3acc9e,repo-root-files,8,1,7,8,1,5773,5820,1780169250603,1780169460150
ActPlane,8cdcec3acc9e,script,7,3,4,7,1,5774,5886,1780169251066,1780169692072
academic-writing-skills,4725c74bf420,docs,10,7,3,10,5,1,733,1781367141380,1783905139485
academic-writing-skills,4725c74bf420,repo-root-files,9,7,2,9,7,0,109,1781367137782,1781652571096
academic-writing-skills,4725c74bf420,skills,376,127,249,365,15,4,945,1781367150060,1784170756340
academic-writing-skills,4725c74bf420,third_party,67,67,0,66,2,450,709,1783764109644,1783902433137
agentsight,b5bc34dabe6a,.agentsight,658,616,42,375,2,58583,97137,1783915216421,1784703806809
agentsight,b5bc34dabe6a,.github,2,2,0,2,1,89838,89908,1784528686090,1784529135726
agentsight,b5bc34dabe6a,agent-session,52,14,38,47,1,80366,96625,1784166228147,1784684298691
agentsight,b5bc34dabe6a,agentpprof,769,519,250,618,6,39419,97308,1782015725314,1784705113483
agentsight,b5bc34dabe6a,collector,4,4,0,3,2,68511,89642,1784034499992,1784527275105
agentsight,b5bc34dabe6a,docs,12124,7766,4358,9214,20,39379,97582,1782015611552,1784708537912
agentsight,b5bc34dabe6a,frontend,62,36,26,33,1,89548,89883,1784526843401,1784528971635
agentsight,b5bc34dabe6a,frontend-preview,5,1,4,2,1,89727,89817,1784527876238,1784528600680
agentsight,b5bc34dabe6a,paper,1,0,1,1,1,45244,45244,1783382228458,1783382228458
agentsight,b5bc34dabe6a,references,1,1,0,1,1,91834,91834,1784554581546,1784554581546
agentsight,b5bc34dabe6a,repo-root-files,102,85,17,102,3,40523,96647,1782104949952,1784684440441
agentsight,b5bc34dabe6a,script,2095,1627,468,1747,3,52060,97571,1783813610000,1784708402529
agentsight,b5bc34dabe6a,scripts,1,1,0,1,1,95034,95034,1784601788495,1784601788495
agentsight,b5bc34dabe6a,skills,3,3,0,2,1,90506,90508,1784536008412,1784536018107
agentsight,b5bc34dabe6a,tmp,1,1,0,1,1,86805,86805,1784295442343,1784295442343
agentsight,e58fce112c6e,.agentsight,31,27,4,22,2,22088,96058,1781431744136,1784628415904
agentsight,e58fce112c6e,.artifacts,96,86,10,63,3,66367,83254,1784020595292,1784244388660
agentsight,e58fce112c6e,.git,8,7,1,5,4,6158,45197,1780464064462,1783050388207
agentsight,e58fce112c6e,.github,135,104,31,130,22,1367,90715,1779893304583,1784537843611
agentsight,e58fce112c6e,agent-session,335,264,71,318,25,31455,84585,1781651488201,1784254361150
agentsight,e58fce112c6e,agentflame,228,134,94,202,6,21929,31313,1781430330986,1781641124625
agentsight,e58fce112c6e,agentpprof,548,337,211,520,14,31267,88768,1781634282871,1784516561200
agentsight,e58fce112c6e,agentprof,10,1,9,4,1,45117,45145,1783048129029,1783048884979
agentsight,e58fce112c6e,bpf,664,453,211,550,25,5,84739,1772761756264,1784255647289
agentsight,e58fce112c6e,collector,9223,6564,2659,8429,93,5,88338,1772761756264,1784507808210
agentsight,e58fce112c6e,data,1,1,0,1,1,96948,96948,1784692785534,1784692785534
agentsight,e58fce112c6e,docs,8943,5575,3368,8175,95,9,89543,1772761795038,1784526798517
agentsight,e58fce112c6e,frontend,651,490,161,592,22,5,89541,1772761756264,1784526779300
agentsight,e58fce112c6e,package,126,90,36,91,6,76076,78830,1784117509456,1784156480756
agentsight,e58fce112c6e,repo-root-files,433,288,145,409,41,3,89541,1772761756092,1784526779300
agentsight,e58fce112c6e,run_configs,1,1,0,1,1,96948,96948,1784692785534,1784692785534
agentsight,e58fce112c6e,script,194,118,76,168,17,5,88731,1772761756264,1784516014919
agentsight,e58fce112c6e,skills,625,406,219,470,18,38921,88351,1781930299766,1784509382272
agentsight,e58fce112c6e,skills-example,27,19,8,27,2,43530,44236,1782269987964,1782449052017
agentsight,e58fce112c6e,vis-gallery,31,25,6,17,1,77908,79873,1784128294569,1784163433543
agentsight,e58fce112c6e,workdir:,2,2,0,2,1,68263,87135,1784032506906,1784299849408
agentsight,f2407a7d66d5,agent-session,5,5,0,4,1,88409,88772,1784511835181,1784516592676
agentsight,f2407a7d66d5,agentvis,20,19,1,18,1,88409,90615,1784511835181,1784537110512
agentsight,f2407a7d66d5,docs,116,112,4,75,1,88386,97317,1784511260267,1784705197233
agentskill-observability-paper,4cfc7c676cf9,docs,438,242,196,438,8,6,989,1783829855067,1783842124390
bpf-developer-tutorial,a192f642f3ee,.agents,12,8,4,12,2,1399,1547,1784508787629,1784693477753
bpf-developer-tutorial,a192f642f3ee,.github,9,6,3,9,4,438,1200,1784364335236,1784506682504
bpf-developer-tutorial,a192f642f3ee,repo-root-files,14,10,4,12,3,22,1187,1772858905794,1784506553739
bpf-developer-tutorial,a192f642f3ee,scripts,20,20,0,20,9,0,1546,1768125090460,1784693476844
bpf-developer-tutorial,a192f642f3ee,src,786,452,334,735,33,1,1663,1768125090460,1784695567024
eunomia.dev,30e8a01e495d,.agents,90,52,38,48,2,10228,12776,1784415403593,1784671163448
eunomia.dev,30e8a01e495d,.claude,158,86,72,136,13,8458,10164,1784189245298,1784414591470
eunomia.dev,30e8a01e495d,.git,1,0,1,1,1,10580,10580,1784420568278,1784420568278
eunomia.dev,30e8a01e495d,.github,115,69,46,107,12,654,12010,1779422859267,1784493842016
eunomia.dev,30e8a01e495d,actplane,4,4,0,4,2,6890,8630,1782448983084,1784191537251
eunomia.dev,30e8a01e495d,agents,2,0,2,1,1,10183,10183,1784414759639,1784414759639
eunomia.dev,30e8a01e495d,agentsight,23,23,0,20,5,8621,8806,1784191512191,1784192970427
eunomia.dev,30e8a01e495d,app,1477,1117,360,1303,30,15,9747,1772861233870,1784411057931
eunomia.dev,30e8a01e495d,bpftime,10,10,0,10,2,8750,8838,1784192262576,1784193237089
eunomia.dev,30e8a01e495d,cuda-exp,16,12,4,11,1,11468,11543,1784436615713,1784437170560
eunomia.dev,30e8a01e495d,cupti-exp,1,1,0,1,1,8631,8631,1784191539176,1784191539176
eunomia.dev,30e8a01e495d,docs,1057,482,575,900,28,191,11466,1772950112604,1784436607509
eunomia.dev,30e8a01e495d,draft,128,56,72,126,5,4927,9319,1779662310140,1784252360561
eunomia.dev,30e8a01e495d,material,10,10,0,10,3,178,379,1772950103129,1772950289767
eunomia.dev,30e8a01e495d,nvbit-tutorial,1,1,0,1,1,8625,8625,1784191522419,1784191522419
eunomia.dev,30e8a01e495d,repo-root-files,249,180,69,245,24,176,11991,1772950102958,1784493487530
eunomia.dev,30e8a01e495d,test,79,56,23,73,9,242,9473,1772950148023,1784407785288
eunomia.dev,da5c4a85644b,.agents,1,0,1,1,1,12903,12903,1784682745478,1784682745478
