project,family,scope,stratum,category,numerator,denominator,value,fractional_numerator,fractional_denominator
agentsight,allocation,all,read,test,479,25804,0.018563013486281196,420.6666666666667,21336.0
agentsight,allocation,all,read,paper/docs,14267,25804,0.5528987753836615,11449.304761904761,21336.0
agentsight,allocation,all,read,config/build,389,25804,0.01507518214230352,331.8333333333333,21336.0
agentsight,allocation,all,read,data/input,285,25804,0.011044799255929313,125.29285714285714,21336.0
agentsight,allocation,all,read,result/figure/log,302,25804,0.011703611843125097,272.8102564102564,21336.0
agentsight,allocation,all,read,source,9740,25804,0.37746085878158425,8493.982600732601,21336.0
agentsight,allocation,all,read,other,342,25804,0.013253759107115176,242.1095238095238,21336.0
agentsight,allocation,all,mutation,test,382,12529,0.030489264905419425,301.90503663003665,10530.0
agentsight,allocation,all,mutation,paper/docs,8033,12529,0.6411525261393567,6693.524206349206,10530.0
agentsight,allocation,all,mutation,config/build,130,12529,0.010375927847394046,95.9062271062271,10530.0
agentsight,allocation,all,mutation,data/input,18,12529,0.0014366669327160987,11.75,10530.0
agentsight,allocation,all,mutation,result/figure/log,106,12529,0.008460371937105915,84.325,10530.0
agentsight,allocation,all,mutation,source,3704,12529,0.295634128821135,3250.4847680097682,10530.0
agentsight,allocation,all,mutation,other,156,12529,0.012451113416872855,92.1047619047619,10530.0
agentsight,allocation,ok,read,test,477,25774,0.018507022580895476,420.0833333333333,21312.0
agentsight,allocation,ok,read,paper/docs,14264,25774,0.553425933110887,11446.304761904761,21312.0
agentsight,allocation,ok,read,config/build,387,25774,0.01501513152789633,329.8333333333333,21312.0
agentsight,allocation,ok,read,data/input,284,25774,0.011018856211686195,124.29285714285714,21312.0
agentsight,allocation,ok,read,result/figure/log,298,25774,0.011562039264374952,268.8102564102564,21312.0
agentsight,allocation,ok,read,source,9730,25774,0.3775122216186855,8488.565934065935,21312.0
agentsight,allocation,ok,read,other,334,25774,0.01295879568557461,234.1095238095238,21312.0
agentsight,allocation,ok,mutation,test,147,6568,0.022381242387332523,105.95,5479.0
agentsight,allocation,ok,mutation,paper/docs,4920,6568,0.7490864799025578,4043.4166666666665,5479.0
agentsight,allocation,ok,mutation,config/build,33,6568,0.0050243605359317906,27.583333333333332,5479.0
agentsight,allocation,ok,mutation,data/input,16,6568,0.00243605359317905,11.083333333333334,5479.0
agentsight,allocation,ok,mutation,result/figure/log,67,6568,0.010200974421437272,55.208333333333336,5479.0
agentsight,allocation,ok,mutation,source,1310,6568,0.1994518879415347,1183.0916666666667,5479.0
agentsight,allocation,ok,mutation,other,75,6568,0.011419001218026796,52.666666666666664,5479.0
agentsight,transition,all,,same_artifact,12316,31834,0.38688195011622795,,
agentsight,transition,all,,same_module,15393,31834,0.4835396117358799,,
agentsight,transition,all,,cross_module,4125,31834,0.1295784381478922,,
agentsight,transition,singleton_only,,same_artifact,10630,25643,0.4145380805677963,,
agentsight,transition,singleton_only,,same_module,12334,25643,0.48098896384978357,,
agentsight,transition,singleton_only,,cross_module,2679,25643,0.10447295558242016,,
agentsight,module_return,observed,,distance,4641,4641,3.0,47.0,157352.0
agentsight,module_return,right_censored,,distance,35,35,62.0,2180.0,179566277.0
ActPlane,allocation,all,read,test,312,14748,0.02115541090317331,300.3333333333333,13789.0
ActPlane,allocation,all,read,paper/docs,9203,14748,0.6240168158394358,8713.65,13789.0
ActPlane,allocation,all,read,config/build,258,14748,0.017493897477624084,222.45,13789.0
ActPlane,allocation,all,read,data/input,2,14748,0.00013561160835367508,0.6666666666666666,13789.0
ActPlane,allocation,all,read,result/figure/log,1,14748,6.780580417683754e-05,1.0,13789.0
ActPlane,allocation,all,read,source,4815,14748,0.32648494711147275,4407.566666666667,13789.0
ActPlane,allocation,all,read,other,157,14748,0.010645511255763494,143.33333333333334,13789.0
ActPlane,allocation,all,mutation,test,286,10220,0.027984344422700588,177.03147963147964,9243.0
ActPlane,allocation,all,mutation,paper/docs,7424,10220,0.7264187866927593,6785.696825396825,9243.0
ActPlane,allocation,all,mutation,config/build,106,10220,0.010371819960861057,84.50311355311355,9243.0
ActPlane,allocation,all,mutation,data/input,0,10220,0.0,0,9243.0
ActPlane,allocation,all,mutation,result/figure/log,0,10220,0.0,0,9243.0
ActPlane,allocation,all,mutation,source,2217,10220,0.21692759295499023,2069.5716117216116,9243.0
ActPlane,allocation,all,mutation,other,187,10220,0.018297455968688845,126.1969696969697,9243.0
ActPlane,allocation,ok,read,test,312,14738,0.021169765232731712,300.3333333333333,13779.0
ActPlane,allocation,ok,read,paper/docs,9201,14738,0.6243045189306554,8711.65,13779.0
ActPlane,allocation,ok,read,config/build,258,14738,0.017505767403989687,222.45,13779.0
ActPlane,allocation,ok,read,data/input,2,14738,0.00013570362328674176,0.6666666666666666,13779.0
