project,worktree_id,module,origin_event_id,end_event_id,observed,distance_calls,distance_ms,same_session
agentsight,b5bc34dabe6a,docs,9c7acff9a71c73ac,531f7ff04d66e1ea,True,15,4869841,True
agentsight,b5bc34dabe6a,agentpprof,a5f0faca74efed1b,5aa0c4d3894ddd91,True,4,6366692,True
agentsight,b5bc34dabe6a,docs,2e05c667d30a380d,520e35b1247b92f3,True,23,81166097,True
agentsight,b5bc34dabe6a,docs,15ea211fa3be3d2b,2d34dd8e248f952c,True,1,10090,True
agentsight,b5bc34dabe6a,repo-root-files,bbd90d23c57fc954,4a326c393cd89453,True,1,12313,True
agentsight,b5bc34dabe6a,agentpprof,4e7fa523cc5855c8,62d5e25416d78458,True,8,719887,True
agentsight,b5bc34dabe6a,repo-root-files,4a326c393cd89453,ded095869b49c31c,True,1,1024645,True
agentsight,b5bc34dabe6a,agentpprof,62d5e25416d78458,bbccedb0eb312074,True,2,1087449,True
agentsight,b5bc34dabe6a,docs,2d34dd8e248f952c,3bbcb38d2799f3b4,True,9,1280197258,False
agentsight,b5bc34dabe6a,agentpprof,bbccedb0eb312074,0d3c9e5818f83096,True,1059,1469745619,False
agentsight,b5bc34dabe6a,docs,b67d10d820ecd03d,ea0287bf65edaab4,True,1,62917,False
agentsight,b5bc34dabe6a,agentpprof,0d3c9e5818f83096,4a7d2bd2b2bc8d91,True,116,2901353,True
agentsight,b5bc34dabe6a,agentpprof,4a7d2bd2b2bc8d91,78d5933da172e082,True,11,41691,True
agentsight,b5bc34dabe6a,docs,5b4f20a775aa3e8b,5e07ac983d0a7860,True,1,2566,False
agentsight,b5bc34dabe6a,agentpprof,78d5933da172e082,1f8e480ba573c0b5,True,1,1,True
agentsight,b5bc34dabe6a,docs,5e07ac983d0a7860,e043e3b7b5266551,True,1,1903,False
agentsight,b5bc34dabe6a,agentpprof,1f8e480ba573c0b5,c8d8f78c7a518b78,True,2,10437,True
agentsight,b5bc34dabe6a,docs,4cc07ccfc2b909e5,1d65c04c1c934e75,True,1,2879,False
agentsight,b5bc34dabe6a,agentpprof,c8d8f78c7a518b78,e0005c710cf78c56,True,1,11141,True
agentsight,b5bc34dabe6a,docs,1d65c04c1c934e75,2f6abfd7400b3e5e,True,4,18319,False
agentsight,b5bc34dabe6a,agentpprof,3102c47f34cbb630,0d6b3698287f6644,True,1,8302,True
agentsight,b5bc34dabe6a,docs,2f6abfd7400b3e5e,567121cba8c7e90a,True,1,1133,False
agentsight,b5bc34dabe6a,agentpprof,0d6b3698287f6644,9cd8ddaa51b8fc96,True,2,135,True
agentsight,b5bc34dabe6a,docs,b0712bbaa1569519,8b2f9e686183daf4,True,1,279,False
agentsight,b5bc34dabe6a,agentpprof,9cd8ddaa51b8fc96,2f7e71fdd25ee1ea,True,9,89609,True
agentsight,b5bc34dabe6a,docs,b68b5eb57deb77cd,c8b8612b824dab77,True,6,21359,True
agentsight,b5bc34dabe6a,agentpprof,3564688674c30a74,f3bf44158a9046e9,True,597,141946735,False
agentsight,b5bc34dabe6a,docs,dc86cf199c832419,fe60063b569389ca,True,1,30657,True
agentsight,b5bc34dabe6a,agentpprof,f3bf44158a9046e9,365f71b88549f3a7,True,4,26206496,True
agentsight,b5bc34dabe6a,docs,070fb89a9ceb0ca9,cc263bac342ea40f,True,2,27635970,True
agentsight,b5bc34dabe6a,agentpprof,a5a1677bc853f6db,51eb7f648a42f578,True,2,1976112,True
agentsight,b5bc34dabe6a,docs,3288d8d75da6e9b7,cb9658fb94526d9f,True,1,1078220,True
agentsight,b5bc34dabe6a,repo-root-files,460109009462cd60,e5a1ff5c3d6c9c32,True,1866,431463518,False
agentsight,b5bc34dabe6a,docs,b6ca359c741b3bfa,54068494032d275d,True,1,10503,True
agentsight,b5bc34dabe6a,repo-root-files,e5a1ff5c3d6c9c32,845d13797cb63741,True,4,43076,True
agentsight,b5bc34dabe6a,docs,845d13797cb63741,96a430587b7351e2,True,3,34590,True
agentsight,b5bc34dabe6a,script,a3314631f93b9c72,6cd9e0a7730af9a4,True,2,17588,True
agentsight,b5bc34dabe6a,docs,1978f003914704c0,1d5323b6f77d5c8e,True,1,4713,True
