action_class,objective_rows,tasks,median_gain_over_default,max_gain_over_default,example_tasks
drill_down_fixed_session,7,3,0.6021,16.0,agentreward_side_effect; osworld_group_start; satraj_unsafe
keep_default_operation_stack,9,5,0.0,0.0,agentnet_incorrect_step; agentnet_redundant_step; agentreward_looping; agentreward_side_effect; satraj_unsafe
retune_operation_stack_ranker,2,2,0.0655,0.127,agentnet_redundant_step; osworld_group_start
use_dataset_native_hierarchy,5,3,0.2723,61.0,agentreward_looping; osworld_group_start; satraj_unsafe
use_flat_full_recall_counterpoint,7,6,141.0,288.0,agentnet_incorrect_step; agentnet_redundant_step; agentreward_looping; agentreward_side_effect; osworld_group_start; satraj_unsafe
use_raw_action_mapping_counterpoint,6,3,1.1022,185.0,agentnet_incorrect_step; agentnet_redundant_step; agentreward_looping
