task,dataset,query_family,operations,positives,prevalence,operation_stack_ap,fixed_session_ap,flat_ap,raw_action_ap,oracle_ap,operation_stack_ndcg,operation_stack_top5_precision,operation_stack_top5_recall,operation_stack_top5_f1,operation_stack_top5_work,fixed_session_top5_precision,fixed_session_top5_recall,fixed_session_top5_work,flat_top1_precision,flat_top1_recall,flat_top1_work,operation_stack_budget30_recall,fixed_session_budget30_recall,operation_stack_work_to_first_positive,fixed_session_work_to_first_positive,operation_stack_groups,fixed_session_groups,raw_action_groups
agentreward_looping,agent-reward-bench,failure-looping,729,504,0.6914,0.8808,0.8672,0.6914,0.7512,0.9428,0.9687,0.9111,0.6508,0.7593,0.4938,0.8,0.2381,0.2058,0.6914,1.0,1.0,0.3988,0.3611,0.2058,0.0412,40,29,14
agentreward_side_effect,agent-reward-bench,failure-side-effect,729,202,0.2771,0.3979,0.4606,0.2771,0.3273,0.8087,0.4445,0.217,0.1139,0.1494,0.1454,0.0,0.0,0.1948,0.2771,1.0,1.0,0.3812,0.0,0.0645,0.3471,40,29,14
satraj_unsafe,satraj-os-safety,safety,4285,622,0.1452,0.4875,0.5059,0.1452,0.5988,0.9992,0.653,0.9056,0.2621,0.4065,0.042,0.5455,0.0579,0.0154,0.1452,1.0,1.0,0.8376,0.865,0.0112,0.0037,142,250,24
agentnet_incorrect_step,agentnet,step-quality,14718,874,0.0594,0.0886,0.0799,0.0594,0.066,0.148,0.3594,0.1429,0.0034,0.0067,0.0014,0.1341,0.0126,0.0056,0.0594,1.0,1.0,0.4382,0.4062,0.0007,0.0017,289,835,25
agentnet_redundant_step,agentnet,step-quality,10067,733,0.0728,0.0875,0.0788,0.0728,0.0817,0.1486,0.4055,0.1444,0.0177,0.0316,0.0089,0.1034,0.0123,0.0086,0.0728,1.0,1.0,0.3533,0.3302,0.0051,0.0013,260,549,25
osworld_group_start,osworld-human,human-boundary,4011,764,0.1905,0.2254,0.2345,0.1905,0.2214,0.3898,0.7954,0.1812,0.3874,0.2469,0.4074,0.3768,0.034,0.0172,0.1905,1.0,1.0,0.2971,0.3508,0.1311,0.005,173,320,27
