task,dataset,query_family,best_visible_policy,best_visible_top5_f1,operation_stack_top5_precision,operation_stack_top5_recall,operation_stack_top5_work,fixed_session_top5_recall,fixed_session_top5_work,mapping_gain_top5_f1_vs_raw_action,query_aware_ap_gain_vs_width,oracle_ap_gap,fixed_session_first_positive_work_advantage,useful_stack_fields,recommendation,optimization_action
agentreward_looping,agent-reward-bench,failure-looping,dataset_native:query_aware,0.8175,0.9111,0.6508,0.4938,0.2381,0.2058,0.5731,0.1154,0.0621,0.1646,"analysis_task,dataset,benchmark,phase,action,repeat_signal,status",fixed_session finds the first positive with less work; use it as drilldown; phase/repeat/environment mapping improves top-5 localization over raw action/status; query-aware visible ranking improves AP over flamegraph-width ranking; flat summary finds prevalent positives only by inspecting the whole task,"Keep repeat_signal in the stack, but add prevalence-aware ranking because looping positives are common."
agentreward_side_effect,agent-reward-bench,failure-side-effect,fixed_session:width,0.8129,0.217,0.1139,0.1454,0.0,0.1948,-0.2591,0.0318,0.4108,-0.2826,"analysis_task,dataset,benchmark,phase,action,repeat_signal,status",raw action/status beats the current mapped stack; tune stack depth for this query; query-aware visible ranking improves AP over flamegraph-width ranking; oracle upper bound leaves substantial ranker headroom; flat summary finds prevalent positives only by inspecting the whole task,Increase weight on write/input actions or use a deeper side-effect mapping before ranking.
satraj_unsafe,satraj-os-safety,safety,operation_stack:query_aware,0.4065,0.9056,0.2621,0.042,0.0579,0.0154,0.0261,0.3872,0.5117,0.0075,"analysis_task,dataset,environment,phase,action,repeat_signal,status",operation_stack is the best visible top-5 F1 policy for this task; phase/repeat/environment mapping improves top-5 localization over raw action/status; query-aware visible ranking improves AP over flamegraph-width ranking; oracle upper bound leaves substantial ranker headroom; flat summary finds prevalent positives only by inspecting the whole task,Use environment + phase + action stack fields; prioritize risky environments and write actions.
agentnet_incorrect_step,agentnet,step-quality,raw_action_stack:width,0.1123,0.1429,0.0034,0.0014,0.0126,0.0056,-0.0121,0.0199,0.0594,-0.001,"analysis_task,dataset,environment,phase,action,repeat_signal,status",mapping and raw action stack are close; ranker choice matters more than fields; flat summary finds prevalent positives only by inspecting the whole task,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples."
agentnet_redundant_step,agentnet,step-quality,raw_action_stack:width,0.1419,0.1444,0.0177,0.0089,0.0123,0.0086,-0.049,0.0012,0.0612,0.0038,"analysis_task,dataset,environment,phase,action,repeat_signal,status",fixed_session finds the first positive with less work; use it as drilldown; raw action/status beats the current mapped stack; tune stack depth for this query; flat summary finds prevalent positives only by inspecting the whole task,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples."
osworld_group_start,osworld-human,human-boundary,flat:width,0.32,0.1812,0.3874,0.4074,0.034,0.0172,-0.0058,0.0037,0.1644,0.1262,"analysis_task,dataset,app,phase,action,repeat_signal,status",fixed_session finds the first positive with less work; use it as drilldown; mapping and raw action stack are close; ranker choice matters more than fields; oracle upper bound leaves substantial ranker headroom; flat summary finds prevalent positives only by inspecting the whole task,Use group-depth or boundary-derived fields for higher recall; action-depth alone fragments starts.
