source,work_budget,default_policy,baseline_policy,metric,metric_description,direction,wins,ties,losses,median_delta_default_minus_baseline,mean_delta_default_minus_baseline,median_ratio_default_over_baseline
R333,0.2,operation_stack:query_aware,flat:width,groups_inspected,groups inspected under the same work budget,lower,0,0,6,24.5,38.5,inf
R333,0.3,operation_stack:query_aware,flat:width,groups_inspected,groups inspected under the same work budget,lower,0,0,6,39.5,47.8333,inf
R333,0.2,operation_stack:query_aware,flat:width,best_recall,best recall under the same work budget,higher,6,0,0,0.2763,0.2994,inf
R333,0.3,operation_stack:query_aware,flat:width,best_recall,best recall under the same work budget,higher,6,0,0,0.39,0.451,inf
R333,0.2,operation_stack:query_aware,flat:width,best_f1,best F1 under the same work budget,higher,6,0,0,0.2797,0.2701,inf
R333,0.3,operation_stack:query_aware,flat:width,best_f1,best F1 under the same work budget,higher,6,0,0,0.2988,0.3306,inf
R333,0.2,operation_stack:query_aware,flat:width,best_work,actual work consumed under the same budget,lower,0,0,6,0.2,0.1971,inf
R333,0.3,operation_stack:query_aware,flat:width,best_work,actual work consumed under the same budget,lower,0,0,6,0.2999,0.2996,inf
R333,0.2,operation_stack:query_aware,fixed_session:query_aware,groups_inspected,groups inspected under the same work budget,lower,4,1,1,-39.5,-31.1667,0.624
R333,0.3,operation_stack:query_aware,fixed_session:query_aware,groups_inspected,groups inspected under the same work budget,lower,5,0,1,-54.0,-48.6667,0.5352
R333,0.2,operation_stack:query_aware,fixed_session:query_aware,best_recall,best recall under the same work budget,higher,5,0,1,0.0316,0.0321,1.1337
R333,0.3,operation_stack:query_aware,fixed_session:query_aware,best_recall,best recall under the same work budget,higher,4,0,2,0.0275,0.0655,1.0744
R333,0.2,operation_stack:query_aware,fixed_session:query_aware,best_f1,best F1 under the same work budget,higher,5,0,1,0.0251,0.043,1.1337
R333,0.3,operation_stack:query_aware,fixed_session:query_aware,best_f1,best F1 under the same work budget,higher,4,0,2,0.0098,0.0632,1.0744
R333,0.2,operation_stack:query_aware,fixed_session:query_aware,best_work,actual work consumed under the same budget,lower,0,4,2,0.0,0.0238,1.0
R333,0.3,operation_stack:query_aware,fixed_session:query_aware,best_work,actual work consumed under the same budget,lower,0,5,1,0.0,0.043,1.0
R333,0.2,operation_stack:query_aware,dataset_native:query_aware,groups_inspected,groups inspected under the same work budget,lower,0,0,6,15.0,29.6667,5.3519
R333,0.3,operation_stack:query_aware,dataset_native:query_aware,groups_inspected,groups inspected under the same work budget,lower,0,0,6,31.5,37.5,3.75
R333,0.2,operation_stack:query_aware,dataset_native:query_aware,best_recall,best recall under the same work budget,higher,3,0,3,0.0132,-0.0291,1.0615
R333,0.3,operation_stack:query_aware,dataset_native:query_aware,best_recall,best recall under the same work budget,higher,5,0,1,0.0292,0.0582,1.1024
R333,0.2,operation_stack:query_aware,dataset_native:query_aware,best_f1,best F1 under the same work budget,higher,3,0,3,0.0072,-0.0175,1.0602
R333,0.3,operation_stack:query_aware,dataset_native:query_aware,best_f1,best F1 under the same work budget,higher,5,0,1,0.0174,0.0228,1.0905
R333,0.2,operation_stack:query_aware,dataset_native:query_aware,best_work,actual work consumed under the same budget,lower,0,0,6,0.0071,0.0359,1.0374
R333,0.3,operation_stack:query_aware,dataset_native:query_aware,best_work,actual work consumed under the same budget,lower,0,0,6,0.0205,0.0755,1.0774
R333,0.2,operation_stack:query_aware,raw_action_stack:query_aware,groups_inspected,groups inspected under the same work budget,lower,1,0,5,11.5,26.1667,2.0
R333,0.3,operation_stack:query_aware,raw_action_stack:query_aware,groups_inspected,groups inspected under the same work budget,lower,2,0,4,27.0,32.1667,2.9524
R333,0.2,operation_stack:query_aware,raw_action_stack:query_aware,best_recall,best recall under the same work budget,higher,3,0,3,0.0029,0.0065,1.0259
R333,0.3,operation_stack:query_aware,raw_action_stack:query_aware,best_recall,best recall under the same work budget,higher,4,1,1,0.1229,0.1068,1.4465
R333,0.2,operation_stack:query_aware,raw_action_stack:query_aware,best_f1,best F1 under the same work budget,higher,3,0,3,-0.0057,-0.037,1.0177
R333,0.3,operation_stack:query_aware,raw_action_stack:query_aware,best_f1,best F1 under the same work budget,higher,4,0,2,0.0418,0.0684,1.4229
R333,0.2,operation_stack:query_aware,raw_action_stack:query_aware,best_work,actual work consumed under the same budget,lower,0,1,5,0.0021,0.0331,1.0104
R333,0.3,operation_stack:query_aware,raw_action_stack:query_aware,best_work,actual work consumed under the same budget,lower,0,2,4,0.0056,0.0229,1.0192
R333,0.2,operation_stack:query_aware,operation_stack:width,groups_inspected,groups inspected under the same work budget,lower,0,0,6,20.5,35.0,6.1667
R333,0.3,operation_stack:query_aware,operation_stack:width,groups_inspected,groups inspected under the same work budget,lower,0,0,6,35.5,43.3333,9.1667
R333,0.2,operation_stack:query_aware,operation_stack:width,best_recall,best recall under the same work budget,higher,5,0,1,0.0465,0.0564,1.1954
R333,0.3,operation_stack:query_aware,operation_stack:width,best_recall,best recall under the same work budget,higher,4,0,2,0.0275,0.0913,1.0784
R333,0.2,operation_stack:query_aware,operation_stack:width,best_f1,best F1 under the same work budget,higher,5,0,1,0.0362,0.0432,1.1958
R333,0.3,operation_stack:query_aware,operation_stack:width,best_f1,best F1 under the same work budget,higher,4,0,2,0.0196,0.0254,1.0784
R333,0.2,operation_stack:query_aware,operation_stack:width,best_work,actual work consumed under the same budget,lower,1,4,1,0.0,0.0142,1.0
R333,0.3,operation_stack:query_aware,operation_stack:width,best_work,actual work consumed under the same budget,lower,0,5,1,0.0,0.0167,1.0
