project,observed_artifacts,mutated_artifacts,zero_episode_artifacts,mutation_episodes,raw_mutation_rows,repeat_episodes,cross_session_repeat_episodes,repeat_rename_episodes,repeat_delete_episodes,repeat_episode_fraction,top_10pct_episode_share,max_episode_load,observation_span_days,birth_confirmed_create,birth_left_censored_existing,birth_unknown_create_status,birth_unknown_rename_source,qualified_curve
agentsight,3267,1666,1601,6556,6588,4890,340,3,41,0.7458816351433801,0.6844722391702257,1084,51.036879525462965,1042,2224,0,1,True
ActPlane,1809,561,1248,5836,5849,5275,322,3,16,0.9038725154215216,0.7759938313913639,558,55.46900087962963,239,1570,0,0,True
bpf-developer-tutorial,170,32,138,283,283,251,36,0,0,0.8869257950530035,0.4204946996466431,39,191.78686385416665,18,152,0,0,True
eunomia.dev,360,128,232,738,739,610,29,0,7,0.8265582655826558,0.713550135501355,165,61.067930902777775,30,330,0,0,True
agentskill-observability-paper,24,21,3,196,196,175,23,0,0,0.8928571428571429,0.8668367346938776,151,0.13987699074074075,18,6,0,0,True
academic-writing-skills,116,23,93,251,251,228,17,0,1,0.9083665338645418,0.5701195219123506,68,32.44783724537037,1,115,0,0,True
