project,source_kind,action_bin,signal_rows,unique_event_ids,unique_sessions
agentsight,skill_tool,0,0,0,0
agentsight,skill_tool,1,0,0,0
agentsight,skill_tool,2,0,0,0
agentsight,skill_tool,3,2,2,1
agentsight,skill_tool,4,0,0,0
agentsight,skill_tool,5,0,0,0
agentsight,skill_tool,6,0,0,0
agentsight,skill_tool,7,0,0,0
agentsight,skill_tool,8,0,0,0
agentsight,skill_tool,9,0,0,0
agentsight,skill_tool,10,0,0,0
agentsight,skill_tool,11,0,0,0
agentsight,skill_tool,12,0,0,0
agentsight,skill_tool,13,0,0,0
agentsight,skill_tool,14,0,0,0
agentsight,skill_tool,15,0,0,0
agentsight,skill_tool,16,0,0,0
agentsight,skill_tool,17,0,0,0
agentsight,skill_tool,18,0,0,0
agentsight,skill_tool,19,1,1,1
agentsight,skill_tool,20,0,0,0
agentsight,skill_tool,21,3,3,2
agentsight,skill_tool,22,0,0,0
agentsight,skill_tool,23,0,0,0
agentsight,skill_tool,24,0,0,0
agentsight,skill_tool,25,0,0,0
agentsight,skill_tool,26,0,0,0
agentsight,skill_tool,27,0,0,0
agentsight,skill_tool,28,0,0,0
agentsight,skill_tool,29,0,0,0
agentsight,skill_tool,30,0,0,0
agentsight,skill_tool,31,0,0,0
agentsight,skill_tool,32,0,0,0
agentsight,skill_tool,33,0,0,0
agentsight,skill_tool,34,10,10,10
agentsight,skill_tool,35,6,6,3
agentsight,skill_tool,36,4,4,3
agentsight,skill_tool,37,0,0,0
agentsight,skill_tool,38,0,0,0
agentsight,skill_tool,39,0,0,0
agentsight,skill_tool,40,1,1,1
agentsight,skill_tool,41,0,0,0
agentsight,skill_tool,42,0,0,0
agentsight,skill_tool,43,0,0,0
agentsight,skill_tool,44,0,0,0
agentsight,skill_tool,45,0,0,0
agentsight,skill_tool,46,0,0,0
agentsight,skill_tool,47,1,1,1
agentsight,skill_tool,48,0,0,0
agentsight,skill_tool,49,0,0,0
agentsight,skill_tool,50,0,0,0
agentsight,skill_tool,51,0,0,0
agentsight,skill_tool,52,0,0,0
agentsight,skill_tool,53,0,0,0
agentsight,skill_tool,54,0,0,0
agentsight,skill_tool,55,0,0,0
agentsight,skill_tool,56,0,0,0
agentsight,skill_tool,57,0,0,0
agentsight,skill_tool,58,0,0,0
agentsight,skill_tool,59,0,0,0
agentsight,instruction_read,0,1,1,1
agentsight,instruction_read,1,0,0,0
agentsight,instruction_read,2,18,18,1
agentsight,instruction_read,3,0,0,0
agentsight,instruction_read,4,15,10,2
agentsight,instruction_read,5,12,11,4
agentsight,instruction_read,6,0,0,0
agentsight,instruction_read,7,13,13,3
agentsight,instruction_read,8,6,6,2
agentsight,instruction_read,9,1,1,1
agentsight,instruction_read,10,0,0,0
agentsight,instruction_read,11,0,0,0
agentsight,instruction_read,12,0,0,0
agentsight,instruction_read,13,0,0,0
agentsight,instruction_read,14,0,0,0
agentsight,instruction_read,15,0,0,0
agentsight,instruction_read,16,1,1,1
agentsight,instruction_read,17,10,9,3
agentsight,instruction_read,18,4,2,2
agentsight,instruction_read,19,94,89,29
agentsight,instruction_read,20,1,1,1
agentsight,instruction_read,21,28,27,3
agentsight,instruction_read,22,0,0,0
agentsight,instruction_read,23,0,0,0
agentsight,instruction_read,24,0,0,0
agentsight,instruction_read,25,0,0,0
agentsight,instruction_read,26,0,0,0
agentsight,instruction_read,27,0,0,0
agentsight,instruction_read,28,0,0,0
agentsight,instruction_read,29,0,0,0
agentsight,instruction_read,30,0,0,0
agentsight,instruction_read,31,0,0,0
agentsight,instruction_read,32,0,0,0
agentsight,instruction_read,33,2,2,1
agentsight,instruction_read,34,2,2,1
agentsight,instruction_read,35,5,4,1
agentsight,instruction_read,36,0,0,0
agentsight,instruction_read,37,0,0,0
agentsight,instruction_read,38,3,3,3
agentsight,instruction_read,39,2,2,1
