project,vendor,source_kind,status,signal_rows,unique_event_ids,unique_sessions,source_call_id_present,source_call_id_missing,first_ts_ms,last_ts_ms
agentsight,ALL,skill_tool,ok,27,27,21,27,0,1780502563767,1784099203232
agentsight,ALL,skill_tool,observed,0,0,0,0,0,,
agentsight,ALL,skill_tool,fail,1,1,1,1,0,1780510803903,1780510803903
agentsight,ALL,instruction_read,ok,424,378,118,424,0,1779831145260,1784671260396
agentsight,ALL,instruction_read,observed,0,0,0,0,0,,
agentsight,ALL,instruction_read,fail,0,0,0,0,0,,
agentsight,ALL,instruction_mutation,ok,43,43,9,43,0,1780620239988,1784671250623
agentsight,ALL,instruction_mutation,observed,70,56,10,70,0,1780467556558,1784115074679
agentsight,ALL,instruction_mutation,fail,0,0,0,0,0,,
agentsight,claude,skill_tool,ok,27,27,21,27,0,1780502563767,1784099203232
agentsight,claude,skill_tool,observed,0,0,0,0,0,,
agentsight,claude,skill_tool,fail,1,1,1,1,0,1780510803903,1780510803903
agentsight,claude,instruction_read,ok,77,76,29,77,0,1780619874237,1784190191241
agentsight,claude,instruction_read,observed,0,0,0,0,0,,
agentsight,claude,instruction_read,fail,0,0,0,0,0,,
agentsight,claude,instruction_mutation,ok,33,33,6,33,0,1780620239988,1782457084572
agentsight,claude,instruction_mutation,observed,0,0,0,0,0,,
agentsight,claude,instruction_mutation,fail,0,0,0,0,0,,
agentsight,codex,skill_tool,ok,0,0,0,0,0,,
agentsight,codex,skill_tool,observed,0,0,0,0,0,,
agentsight,codex,skill_tool,fail,0,0,0,0,0,,
agentsight,codex,instruction_read,ok,347,302,89,347,0,1779831145260,1784671260396
agentsight,codex,instruction_read,observed,0,0,0,0,0,,
agentsight,codex,instruction_read,fail,0,0,0,0,0,,
agentsight,codex,instruction_mutation,ok,10,10,3,10,0,1781930299766,1784671250623
agentsight,codex,instruction_mutation,observed,70,56,10,70,0,1780467556558,1784115074679
agentsight,codex,instruction_mutation,fail,0,0,0,0,0,,
agentsight,gemini,skill_tool,ok,0,0,0,0,0,,
agentsight,gemini,skill_tool,observed,0,0,0,0,0,,
agentsight,gemini,skill_tool,fail,0,0,0,0,0,,
agentsight,gemini,instruction_read,ok,0,0,0,0,0,,
agentsight,gemini,instruction_read,observed,0,0,0,0,0,,
agentsight,gemini,instruction_read,fail,0,0,0,0,0,,
agentsight,gemini,instruction_mutation,ok,0,0,0,0,0,,
agentsight,gemini,instruction_mutation,observed,0,0,0,0,0,,
agentsight,gemini,instruction_mutation,fail,0,0,0,0,0,,
ActPlane,ALL,skill_tool,ok,23,23,16,23,0,1780118736818,1784340191855
ActPlane,ALL,skill_tool,observed,0,0,0,0,0,,
ActPlane,ALL,skill_tool,fail,0,0,0,0,0,,
ActPlane,ALL,instruction_read,ok,564,518,116,564,0,1779571544858,1784359039059
ActPlane,ALL,instruction_read,observed,3,2,2,3,0,1779964223449,1784252789187
ActPlane,ALL,instruction_read,fail,0,0,0,0,0,,
ActPlane,ALL,instruction_mutation,ok,52,50,10,52,0,1780114378567,1784322838667
ActPlane,ALL,instruction_mutation,observed,10,8,3,10,0,1780284106313,1782451193965
ActPlane,ALL,instruction_mutation,fail,0,0,0,0,0,,
ActPlane,claude,skill_tool,ok,23,23,16,23,0,1780118736818,1784340191855
ActPlane,claude,skill_tool,observed,0,0,0,0,0,,
ActPlane,claude,skill_tool,fail,0,0,0,0,0,,
ActPlane,claude,instruction_read,ok,370,344,69,370,0,1779961795160,1784359039059
ActPlane,claude,instruction_read,observed,1,1,1,1,0,1779964223449,1779964223449
ActPlane,claude,instruction_read,fail,0,0,0,0,0,,
ActPlane,claude,instruction_mutation,ok,45,43,9,45,0,1780114378567,1781855684087
ActPlane,claude,instruction_mutation,observed,0,0,0,0,0,,
ActPlane,claude,instruction_mutation,fail,0,0,0,0,0,,
ActPlane,codex,skill_tool,ok,0,0,0,0,0,,
ActPlane,codex,skill_tool,observed,0,0,0,0,0,,
ActPlane,codex,skill_tool,fail,0,0,0,0,0,,
ActPlane,codex,instruction_read,ok,194,174,47,194,0,1779571544858,1784357319880
ActPlane,codex,instruction_read,observed,2,1,1,2,0,1784252789187,1784252789187
ActPlane,codex,instruction_read,fail,0,0,0,0,0,,
ActPlane,codex,instruction_mutation,ok,7,7,1,7,0,1784257193315,1784322838667
ActPlane,codex,instruction_mutation,observed,10,8,3,10,0,1780284106313,1782451193965
ActPlane,codex,instruction_mutation,fail,0,0,0,0,0,,
bpf-developer-tutorial,ALL,skill_tool,ok,3,3,3,3,0,1784508313335,1784682066699
bpf-developer-tutorial,ALL,skill_tool,observed,0,0,0,0,0,,
bpf-developer-tutorial,ALL,skill_tool,fail,0,0,0,0,0,,
bpf-developer-tutorial,ALL,instruction_read,ok,9,8,4,9,0,1784506677604,1784706678108
