project,vendor,session_id,event_index,event_id,source_call_id,ts_ms,status,source_kind,action_ordinal,operation,path,previous_path
agentsight,codex,codex:rollout-2026-05-26T14-31-06-019e6632-cfcb-7dd3-878d-3ce797b571f4,83,codex:rollout-2026-05-26T14-31-06-019e6632-cfcb-7dd3-878d-3ce797b571f4:12,call_nNh39ySod7h3k44NBbR4N2dW,1779831145260,ok,instruction_read,0,read,CLAUDE.md,
agentsight,codex,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5,5596,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5:927,call_Sbxbz33QueNtgqgNKwiqGWw5,1780467146207,ok,instruction_read,0,read,CLAUDE.md,
agentsight,codex,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5,5602,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5:933,call_aXWxZqaz7pgRDLH7TSHJFuQh,1780467186765,ok,instruction_read,0,read,CLAUDE.md,
agentsight,codex,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5,5603,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5:934,call_xoqyhbl3iDc9rWA6NLiCFTF4,1780467186768,ok,instruction_read,0,read,CLAUDE.md,
agentsight,codex,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5,5604,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5:935,call_hRroAx4OpdHdxoisdESXuFZn,1780467186826,ok,instruction_read,0,read,CLAUDE.md,
agentsight,codex,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5,5610,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5:941,call_f5AM6XeyNmiC01A174L9CzOI,1780467200642,ok,instruction_read,0,read,CLAUDE.md,
agentsight,codex,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5,5631,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5:962,call_7cjhH356Mcps0AUztimr7BTu,1780467502780,ok,instruction_read,0,read,CLAUDE.md,
agentsight,codex,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5,5636,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5:967,call_wQE7Qsv0So2lpfiRUMzwGGwh,1780467556558,observed,instruction_mutation,0,write,CLAUDE.md,
agentsight,codex,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5,5638,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5:969,call_wE2wsiLYkxjJyBFnoUv5VSK8,1780467564713,ok,instruction_read,0,read,CLAUDE.md,
agentsight,codex,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5,5642,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5:973,call_j8CYnt19RoHN3Z1Bkp94VKsE,1780467591887,ok,instruction_read,0,read,CLAUDE.md,
agentsight,codex,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5,5644,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5:975,call_wWChLhXH4w7EcTBDedA4qxrL,1780467600893,ok,instruction_read,0,read,CLAUDE.md,
agentsight,codex,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5,5648,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5:979,call_OOViINrRXxGWCUUkmLGaxHQH,1780467619012,ok,instruction_read,0,read,CLAUDE.md,
agentsight,codex,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5,5649,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5:980,call_nN2szxQ4oeKdRpmvNw6KCjZq,1780467619013,ok,instruction_read,0,read,CLAUDE.md,
agentsight,codex,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5,5654,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5:985,call_OtgmtIYCWVBYqJ97xRhjWesw,1780467646035,ok,instruction_read,0,read,CLAUDE.md,
agentsight,codex,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5,5655,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5:986,call_maQJzXCgfsZyVyQCbdY3DnWE,1780467646037,ok,instruction_read,0,read,CLAUDE.md,
agentsight,codex,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5,5661,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5:992,call_lsHMGkOjL6p0s8ROwMRRy8PW,1780467698309,ok,instruction_read,0,read,CLAUDE.md,
agentsight,codex,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5,5683,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5:1014,call_Mag0GADwyXEuhLG8T4tJcsK8,1780467857445,ok,instruction_read,0,read,CLAUDE.md,
agentsight,codex,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5,5693,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5:1024,call_JQ9QoJBwvOaydsLO0DTdZlSp,1780467924535,ok,instruction_read,0,read,CLAUDE.md,
agentsight,codex,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5,5704,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5:1035,call_HUrUWrU5iAXEbpCMcfmKhn0w,1780467993169,ok,instruction_read,0,read,CLAUDE.md,
agentsight,codex,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5,5774,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5:1105,call_bllgvldjFED2oa990QSiI6ZK,1780468834181,ok,instruction_read,0,read,CLAUDE.md,
agentsight,claude,claude:0796efe9-9a09-4b20-9851-99186e85b086,6505,claude:0796efe9-9a09-4b20-9851-99186e85b086:2,toolu_018qRJTEotXPQFMSjrid2Msy,1780502563767,ok,skill_tool,,,,
agentsight,claude,claude:0796efe9-9a09-4b20-9851-99186e85b086,7212,claude:0796efe9-9a09-4b20-9851-99186e85b086:33,toolu_01XJsW7t2hW3Lb6Ge7ij3LVw,1780510803903,fail,skill_tool,,,,
agentsight,codex,codex:rollout-2026-06-03T16-00-24-019e8fb7-7101-7252-a326-594a3daabb00,9014,codex:rollout-2026-06-03T16-00-24-019e8fb7-7101-7252-a326-594a3daabb00:52,call_tyrHRNOy3orHrhQmoSAPhjgL,1780527755209,ok,instruction_read,0,read,docs/agents.md,
agentsight,codex,codex:rollout-2026-06-03T16-00-24-019e8fb7-7101-7252-a326-594a3daabb00,9015,codex:rollout-2026-06-03T16-00-24-019e8fb7-7101-7252-a326-594a3daabb00:53,call_JYhxkQdjATO0YeUU9O6CxSnd,1780527755220,ok,instruction_read,0,read,CLAUDE.md,
agentsight,codex,codex:rollout-2026-06-03T16-00-24-019e8fb7-7101-7252-a326-594a3daabb00,9015,codex:rollout-2026-06-03T16-00-24-019e8fb7-7101-7252-a326-594a3daabb00:53,call_JYhxkQdjATO0YeUU9O6CxSnd,1780527755220,ok,instruction_read,5,read,docs/agents.md,
agentsight,codex,codex:rollout-2026-06-03T11-21-42-019e8eb8-4aa8-74b0-af35-f251ed73079b,9119,codex:rollout-2026-06-03T11-21-42-019e8eb8-4aa8-74b0-af35-f251ed73079b:1277,call_3DVU8dd2KCukBnneWTdW6FrV,1780528501267,ok,instruction_read,0,read,CLAUDE.md,
agentsight,codex,codex:rollout-2026-06-03T11-21-42-019e8eb8-4aa8-74b0-af35-f251ed73079b,9121,codex:rollout-2026-06-03T11-21-42-019e8eb8-4aa8-74b0-af35-f251ed73079b:1279,call_RimztiDTj92oOCWq0n1XdkNb,1780528512906,ok,instruction_read,0,read,docs/agents.md,
agentsight,codex,codex:rollout-2026-06-03T11-21-42-019e8eb8-4aa8-74b0-af35-f251ed73079b,9122,codex:rollout-2026-06-03T11-21-42-019e8eb8-4aa8-74b0-af35-f251ed73079b:1280,call_uuEvYdwaQYO7JWsEhx1c005U,1780528512908,ok,instruction_read,0,read,CLAUDE.md,
agentsight,codex,codex:rollout-2026-06-03T11-21-42-019e8eb8-4aa8-74b0-af35-f251ed73079b,9125,codex:rollout-2026-06-03T11-21-42-019e8eb8-4aa8-74b0-af35-f251ed73079b:1283,call_KiJYn18HeDtMo533PXrGVxQ3,1780528523827,observed,instruction_mutation,0,write,docs/agents.md,
agentsight,codex,codex:rollout-2026-06-03T11-21-42-019e8eb8-4aa8-74b0-af35-f251ed73079b,9126,codex:rollout-2026-06-03T11-21-42-019e8eb8-4aa8-74b0-af35-f251ed73079b:1284,call_8AcsGLICAenuWlIigjgc2jM6,1780528531019,observed,instruction_mutation,0,write,CLAUDE.md,
agentsight,codex,codex:rollout-2026-06-03T11-21-42-019e8eb8-4aa8-74b0-af35-f251ed73079b,9135,codex:rollout-2026-06-03T11-21-42-019e8eb8-4aa8-74b0-af35-f251ed73079b:1288,call_LRS9PUNXuP3XqE9X8HDifeYP,1780528549596,ok,instruction_read,0,read,CLAUDE.md,
agentsight,codex,codex:rollout-2026-06-03T11-21-42-019e8eb8-4aa8-74b0-af35-f251ed73079b,9135,codex:rollout-2026-06-03T11-21-42-019e8eb8-4aa8-74b0-af35-f251ed73079b:1288,call_LRS9PUNXuP3XqE9X8HDifeYP,1780528549596,ok,instruction_read,5,read,docs/agents.md,
agentsight,codex,codex:rollout-2026-06-03T11-21-42-019e8eb8-4aa8-74b0-af35-f251ed73079b,9147,codex:rollout-2026-06-03T11-21-42-019e8eb8-4aa8-74b0-af35-f251ed73079b:1292,call_BLvN9h7gNufaBWZA7KsUwGqS,1780528586159,ok,instruction_read,0,read,CLAUDE.md,
agentsight,codex,codex:rollout-2026-06-03T11-21-42-019e8eb8-4aa8-74b0-af35-f251ed73079b,9147,codex:rollout-2026-06-03T11-21-42-019e8eb8-4aa8-74b0-af35-f251ed73079b:1292,call_BLvN9h7gNufaBWZA7KsUwGqS,1780528586159,ok,instruction_read,5,read,docs/agents.md,
agentsight,codex,codex:rollout-2026-06-03T11-21-42-019e8eb8-4aa8-74b0-af35-f251ed73079b,9185,codex:rollout-2026-06-03T11-21-42-019e8eb8-4aa8-74b0-af35-f251ed73079b:1313,call_f9mYZs01ZdegPYbd2FKMJ4XH,1780529192421,ok,instruction_read,0,read,CLAUDE.md,
agentsight,codex,codex:rollout-2026-06-03T11-21-42-019e8eb8-4aa8-74b0-af35-f251ed73079b,9280,codex:rollout-2026-06-03T11-21-42-019e8eb8-4aa8-74b0-af35-f251ed73079b:1408,call_PJfVjEJU6MLihudefjSQHcIn,1780529702185,ok,instruction_read,0,read,CLAUDE.md,
agentsight,codex,codex:rollout-2026-06-03T11-21-42-019e8eb8-4aa8-74b0-af35-f251ed73079b,9280,codex:rollout-2026-06-03T11-21-42-019e8eb8-4aa8-74b0-af35-f251ed73079b:1408,call_PJfVjEJU6MLihudefjSQHcIn,1780529702185,ok,instruction_read,2,read,docs/agents.md,
agentsight,codex,codex:rollout-2026-06-03T11-21-42-019e8eb8-4aa8-74b0-af35-f251ed73079b,9294,codex:rollout-2026-06-03T11-21-42-019e8eb8-4aa8-74b0-af35-f251ed73079b:1422,call_9rL1OcAVqsOx4oQNqZgBEwFr,1780529756965,ok,instruction_read,0,read,CLAUDE.md,
agentsight,codex,codex:rollout-2026-06-03T11-21-42-019e8eb8-4aa8-74b0-af35-f251ed73079b,9294,codex:rollout-2026-06-03T11-21-42-019e8eb8-4aa8-74b0-af35-f251ed73079b:1422,call_9rL1OcAVqsOx4oQNqZgBEwFr,1780529756965,ok,instruction_read,2,read,docs/agents.md,
