task,dataset,groups,positives,width_ap,rank_ap,delta_ap,width_ap_at_20,rank_ap_at_20,delta_ap_at_20,width_top5_recall,rank_top5_recall,delta_top5_recall,width_top5_lift,rank_top5_lift,delta_top5_lift,width_first_positive_work,rank_first_positive_work
agentreward_looping,agent-reward-bench,40,504,0.7653,0.8242,0.0589,0.7542,0.8157,0.0615,0.6508,0.6508,0.0,1.0359,1.0359,0.0,0.2058,0.2058
agentreward_side_effect,agent-reward-bench,40,202,0.3661,0.3459,-0.0202,0.3605,0.3403,-0.0202,0.6634,0.7129,0.0495,1.0559,1.4722,0.4163,0.2058,0.0645
satraj_unsafe,satraj-os-safety,142,622,0.1,0.0962,-0.0038,0.0458,0.035,-0.0108,0.0,0.0,0.0,0.0,0.0,0.0,0.6366,0.6376
agentnet_incorrect_step,agentnet,289,874,0.0687,0.0748,0.0061,0.0514,0.0566,0.0052,0.3284,0.3261,-0.0023,1.1075,1.1518,0.0443,0.0821,0.0435
agentnet_redundant_step,agentnet,260,733,0.0863,0.09,0.0037,0.066,0.0709,0.0049,0.3588,0.3793,0.0205,1.1159,1.2727,0.1568,0.0948,0.0605
osworld_group_start,osworld-human,173,764,0.2218,0.2308,0.009,0.184,0.1889,0.0049,0.5903,0.5903,0.0,1.0417,1.0417,0.0,0.1331,0.1311
