project,vendor,tool_events,status_ok_events,status_observed_events,status_fail_events,worktree_attributed_tool_events,source_action_rows,non_scope_action_rows,retained_non_scope_action_rows,scope_action_rows,scope_only_tool_events,no_resolved_path_tool_events,failed_without_resolved_path,failed_status_action_rows,path_resolved_units,ok_units,observed_units,identity_unknown_units,resolved_event_ids,resolved_worktree_calls,worktrees,module_names,module_keys,eligible_transitions,observed_returns,allocation_qualified,transition_qualified,revisit_qualified
agentsight,ALL,126476,100900,22176,3400,96982,65658,57652,57652,8006,3877,82222,3400,0,57652,51352,6300,0,40377,40381,3,41,54,40378,6663,True,True,True
agentsight,claude,11807,11475,4,328,11807,7377,6525,6525,852,736,4912,328,0,6525,6523,2,0,6159,6159,2,26,29,5657,703,False,False,False
agentsight,codex,114642,89400,22172,3070,85148,58271,51117,51117,7154,3141,77293,3070,0,51117,44819,6298,0,34208,34212,3,28,41,33706,5955,False,False,False
agentsight,gemini,27,25,0,2,27,10,10,10,0,0,17,2,0,10,10,0,0,10,10,1,4,4,8,5,False,False,False
ActPlane,ALL,65699,50782,12845,2072,65473,36194,32389,32389,3805,2677,36217,2072,0,32388,27962,4426,0,26805,26805,2,40,47,26803,3699,True,True,True
ActPlane,claude,17455,16966,24,465,17455,11416,10866,10866,550,483,6591,465,0,10866,10864,2,0,10381,10381,2,37,44,9960,702,False,False,False
ActPlane,codex,48244,33816,12821,1607,48018,24778,21523,21523,3255,2194,29626,1607,0,21522,17098,4424,0,16424,16424,1,15,15,16003,2997,False,False,False
bpf-developer-tutorial,ALL,1865,1663,89,113,1865,1206,1148,1148,58,43,846,113,0,1148,1086,62,0,976,976,3,6,9,973,60,True,True,True
bpf-developer-tutorial,claude,1198,1118,0,80,1198,892,871,871,21,18,396,80,0,871,871,0,0,784,784,2,6,7,781,36,False,False,False
bpf-developer-tutorial,codex,595,475,89,31,595,282,245,245,37,25,410,31,0,245,183,62,0,160,160,1,5,5,158,24,False,False,False
bpf-developer-tutorial,gemini,72,70,0,2,72,32,32,32,0,0,40,2,0,32,32,0,0,32,32,2,3,4,30,0,False,False,False
eunomia.dev,ALL,10560,6533,3753,274,10193,3420,2906,2906,514,216,8204,274,0,2906,2388,518,0,2140,2140,2,14,15,2138,498,True,True,True
eunomia.dev,codex,10560,6533,3753,274,10193,3420,2906,2906,514,216,8204,274,0,2906,2388,518,0,2140,2140,2,14,15,2138,498,False,False,False
agentskill-observability-paper,ALL,991,948,0,43,991,470,463,463,7,7,521,43,0,463,463,0,0,463,463,1,2,2,462,3,True,True,False
agentskill-observability-paper,claude,991,948,0,43,991,470,463,463,7,7,521,43,0,463,463,0,0,463,463,1,2,2,462,3,False,False,False
academic-writing-skills,ALL,658,620,7,31,658,606,554,554,52,29,144,31,0,554,549,5,0,485,485,1,6,6,484,36,True,True,True
academic-writing-skills,claude,658,620,7,31,658,606,554,554,52,29,144,31,0,554,549,5,0,485,485,1,6,6,484,36,False,False,False
