project,family,scope,stratum,category,numerator,denominator,value,fractional_numerator,fractional_denominator
agentsight,allocation,all,read,test,736,44923,0.016383589697927563,535.8328685203685,29679.0
agentsight,allocation,all,read,paper/docs,26846,44923,0.5976003383567438,16591.091915029414,29679.0
agentsight,allocation,all,read,config/build,578,44923,0.012866460387774637,435.5258658008658,29679.0
agentsight,allocation,all,read,data/input,522,44923,0.01161988291075841,193.234126984127,29679.0
agentsight,allocation,all,read,result/figure/log,528,44923,0.011753444783295862,427.1039682539683,29679.0
agentsight,allocation,all,read,source,14478,44923,0.32228479843287405,10734.132683982683,29679.0
agentsight,allocation,all,read,other,1235,44923,0.027491485430625736,762.0785714285714,29679.0
agentsight,allocation,all,mutation,test,386,12729,0.030324455966690235,307.98836996336996,10727.0
agentsight,allocation,all,mutation,paper/docs,8157,12729,0.6408201744049022,6853.024206349206,10727.0
agentsight,allocation,all,mutation,config/build,133,12729,0.010448581978160107,98.9062271062271,10727.0
agentsight,allocation,all,mutation,data/input,10,12729,0.0007856076675308351,5.366666666666666,10727.0
agentsight,allocation,all,mutation,result/figure/log,104,12729,0.008170319742320685,84.48525641025641,10727.0
agentsight,allocation,all,mutation,source,3768,12729,0.29601696912561865,3285.8578449328447,10727.0
agentsight,allocation,all,mutation,other,171,12729,0.01343389111477728,91.37142857142857,10727.0
agentsight,allocation,ok,read,test,734,44870,0.016358368620459102,535.2995351870352,29639.0
agentsight,allocation,ok,read,paper/docs,26835,44870,0.5980610652997549,16582.591915029414,29639.0
agentsight,allocation,ok,read,config/build,576,44870,0.012837084911967908,433.5258658008658,29639.0
agentsight,allocation,ok,read,data/input,518,44870,0.011544461778471139,189.234126984127,29639.0
agentsight,allocation,ok,read,result/figure/log,523,44870,0.01165589480722086,422.1039682539683,29639.0
agentsight,allocation,ok,read,source,14465,44870,0.32237575217294406,10726.616017316017,29639.0
agentsight,allocation,ok,read,other,1219,44870,0.027167372409182083,749.6285714285714,29639.0
agentsight,allocation,ok,mutation,test,141,6482,0.02175254551064486,102.28333333333333,5371.0
agentsight,allocation,ok,mutation,paper/docs,4879,6482,0.7526997840172787,4020.4166666666665,5371.0
agentsight,allocation,ok,mutation,config/build,33,6482,0.005091021289725393,27.583333333333332,5371.0
agentsight,allocation,ok,mutation,data/input,8,6482,0.001234186979327368,4.666666666666667,5371.0
agentsight,allocation,ok,mutation,result/figure/log,66,6482,0.010182042579450786,55.53525641025641,5371.0
agentsight,allocation,ok,mutation,source,1271,6482,0.19608145634063562,1114.7147435897436,5371.0
agentsight,allocation,ok,mutation,other,84,6482,0.012958963282937365,45.8,5371.0
agentsight,transition,all,,same_artifact,17170,40378,0.4252315617415424,,
agentsight,transition,all,,same_module,17831,40378,0.441601862400317,,
agentsight,transition,all,,cross_module,5377,40378,0.13316657585814057,,
agentsight,transition,singleton_only,,same_artifact,12391,28379,0.4366256739138095,,
agentsight,transition,singleton_only,,same_module,12987,28379,0.4576271186440678,,
agentsight,transition,singleton_only,,cross_module,3001,28379,0.1057472074421227,,
agentsight,module_return,observed,,distance,6663,6663,3.0,38.0,102416.0
agentsight,module_return,right_censored,,distance,51,51,786.0,12695.0,438424384.0
ActPlane,allocation,all,read,test,482,22205,0.021706822787660437,372.1067587641117,17632.0
ActPlane,allocation,all,read,paper/docs,13861,22205,0.6242287773024093,11328.36398225957,17632.0
ActPlane,allocation,all,read,config/build,384,22205,0.01729340238684981,271.3535714285714,17632.0
ActPlane,allocation,all,read,data/input,3,22205,0.00013510470614726413,1.1666666666666665,17632.0
ActPlane,allocation,all,read,result/figure/log,2,22205,9.006980409817609e-05,2.0,17632.0
ActPlane,allocation,all,read,source,7322,22205,0.32974555280342266,5528.139973262032,17632.0
ActPlane,allocation,all,read,other,151,22205,0.0068002702094122945,128.86904761904762,17632.0
ActPlane,allocation,all,mutation,test,285,10183,0.027987822841991555,177.04158064158065,9257.0
ActPlane,allocation,all,mutation,paper/docs,7408,10183,0.7274869881174506,6806.696825396825,9257.0
ActPlane,allocation,all,mutation,config/build,111,10183,0.010900520475301973,87.50311355311355,9257.0
ActPlane,allocation,all,mutation,data/input,0,10183,0.0,0,9257.0
ActPlane,allocation,all,mutation,result/figure/log,0,10183,0.0,0,9257.0
ActPlane,allocation,all,mutation,source,2223,10183,0.21830501816753412,2070.0716117216116,9257.0
ActPlane,allocation,all,mutation,other,156,10183,0.015319650397721693,115.68686868686869,9257.0
ActPlane,allocation,ok,read,test,482,22193,0.021718559906276753,372.1067587641117,17621.0
ActPlane,allocation,ok,read,paper/docs,13857,22193,0.6243860676789978,11325.36398225957,17621.0
ActPlane,allocation,ok,read,config/build,384,22193,0.017302753120353266,271.3535714285714,17621.0
ActPlane,allocation,ok,read,data/input,3,22193,0.0001351777587527599,1.1666666666666665,17621.0
ActPlane,allocation,ok,read,result/figure/log,2,22193,9.011850583517325e-05,2.0,17621.0
ActPlane,allocation,ok,read,source,7321,22193,0.3298787906096517,5527.139973262032,17621.0
ActPlane,allocation,ok,read,other,144,22193,0.006488532420132474,121.86904761904762,17621.0
ActPlane,allocation,ok,mutation,test,26,5769,0.004506846940544288,9.313131313131313,5508.0
ActPlane,allocation,ok,mutation,paper/docs,4929,5769,0.8543941757670307,4814.721428571429,5508.0
ActPlane,allocation,ok,mutation,config/build,65,5769,0.011267117351360722,58.09285714285714,5508.0
ActPlane,allocation,ok,mutation,data/input,0,5769,0.0,0,5508.0
ActPlane,allocation,ok,mutation,result/figure/log,0,5769,0.0,0,5508.0
ActPlane,allocation,ok,mutation,source,621,5769,0.10764430577223089,533.6857142857143,5508.0
ActPlane,allocation,ok,mutation,other,128,5769,0.02218755416883342,92.18686868686869,5508.0
ActPlane,transition,all,,same_artifact,13215,26803,0.4930418236764541,,
ActPlane,transition,all,,same_module,10706,26803,0.3994328993023169,,
ActPlane,transition,all,,cross_module,2882,26803,0.10752527702122897,,
ActPlane,transition,singleton_only,,same_artifact,10961,22218,0.4933387343595283,,
ActPlane,transition,singleton_only,,same_module,9084,22218,0.4088576829597624,,
ActPlane,transition,singleton_only,,cross_module,2173,22218,0.09780358268070934,,
ActPlane,module_return,observed,,distance,3699,3699,4.0,42.0,88636.0
ActPlane,module_return,right_censored,,distance,45,45,12205.0,25705.0,3306498597.0
bpf-developer-tutorial,allocation,all,read,test,35,803,0.043586550435865505,33.285714285714285,686.0
bpf-developer-tutorial,allocation,all,read,paper/docs,491,803,0.6114570361145704,390.7142857142857,686.0
bpf-developer-tutorial,allocation,all,read,config/build,70,803,0.08717310087173101,63.48809523809524,686.0
bpf-developer-tutorial,allocation,all,read,data/input,0,803,0.0,0,686.0
bpf-developer-tutorial,allocation,all,read,result/figure/log,0,803,0.0,0,686.0
bpf-developer-tutorial,allocation,all,read,source,199,803,0.24782067247820672,190.51190476190476,686.0
bpf-developer-tutorial,allocation,all,read,other,8,803,0.009962640099626401,8.0,686.0
bpf-developer-tutorial,allocation,all,mutation,test,0,345,0.0,0,290.0
bpf-developer-tutorial,allocation,all,mutation,paper/docs,307,345,0.8898550724637682,278.12380952380954,290.0
bpf-developer-tutorial,allocation,all,mutation,config/build,8,345,0.02318840579710145,1.2428571428571429,290.0
bpf-developer-tutorial,allocation,all,mutation,data/input,0,345,0.0,0,290.0
bpf-developer-tutorial,allocation,all,mutation,result/figure/log,0,345,0.0,0,290.0
bpf-developer-tutorial,allocation,all,mutation,source,27,345,0.0782608695652174,10.333333333333334,290.0
bpf-developer-tutorial,allocation,all,mutation,other,3,345,0.008695652173913044,0.3,290.0
bpf-developer-tutorial,allocation,ok,read,test,35,803,0.043586550435865505,33.285714285714285,686.0
bpf-developer-tutorial,allocation,ok,read,paper/docs,491,803,0.6114570361145704,390.7142857142857,686.0
bpf-developer-tutorial,allocation,ok,read,config/build,70,803,0.08717310087173101,63.48809523809524,686.0
