project,worktree_id,call_rank,event_id,leaders,cumulative_call_count
ActPlane,3dae89cd06ae,1,codex:rollout-2026-05-22T21-55-55-019e5330-9be0-7382-a97a-4c877af56b82:2,repo-root-files,1
ActPlane,3dae89cd06ae,13,codex:rollout-2026-05-22T22-57-00-019e5368-8831-7241-a4e7-0bd2214170fe:11,bpf;repo-root-files,5
ActPlane,3dae89cd06ae,14,codex:rollout-2026-05-22T22-57-00-019e5368-8831-7241-a4e7-0bd2214170fe:12,bpf,6
ActPlane,3dae89cd06ae,18,codex:rollout-2026-05-22T22-57-00-019e5368-8831-7241-a4e7-0bd2214170fe:16,bpf;collector,6
ActPlane,3dae89cd06ae,19,codex:rollout-2026-05-22T22-57-00-019e5368-8831-7241-a4e7-0bd2214170fe:17,collector,7
ActPlane,3dae89cd06ae,21,codex:rollout-2026-05-22T22-57-00-019e5368-8831-7241-a4e7-0bd2214170fe:20,bpf;collector,8
ActPlane,3dae89cd06ae,22,codex:rollout-2026-05-22T22-57-00-019e5368-8831-7241-a4e7-0bd2214170fe:21,collector,9
ActPlane,3dae89cd06ae,23,codex:rollout-2026-05-22T22-57-00-019e5368-8831-7241-a4e7-0bd2214170fe:22,bpf;collector,9
ActPlane,3dae89cd06ae,24,codex:rollout-2026-05-22T22-57-00-019e5368-8831-7241-a4e7-0bd2214170fe:27,bpf,10
ActPlane,3dae89cd06ae,512,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:3,bpf;docs,159
ActPlane,3dae89cd06ae,513,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:4,docs,160
ActPlane,8cdcec3acc9e,1,claude:agent-a32ae6d0a8dbd25db:0,bpf,1
ActPlane,8cdcec3acc9e,11,claude:agent-a32ae6d0a8dbd25db:12,bpf;docs,3
ActPlane,8cdcec3acc9e,13,claude:agent-a32ae6d0a8dbd25db:16,bpf,4
ActPlane,8cdcec3acc9e,35,claude:agent-a32ae6d0a8dbd25db:39,bpf;collector,14
ActPlane,8cdcec3acc9e,36,claude:agent-a32ae6d0a8dbd25db:40,collector,15
ActPlane,8cdcec3acc9e,54,claude:agent-a32ae6d0a8dbd25db:59,bpf;collector,16
ActPlane,8cdcec3acc9e,55,claude:agent-a32ae6d0a8dbd25db:60,collector,17
ActPlane,8cdcec3acc9e,57,claude:agent-a32ae6d0a8dbd25db:62,bpf;collector,17
ActPlane,8cdcec3acc9e,58,claude:agent-a32ae6d0a8dbd25db:63,bpf,18
academic-writing-skills,4725c74bf420,1,claude:0dc25b6c-b2a5-43fe-bd7c-21d9372355bd:0,repo-root-files,1
academic-writing-skills,4725c74bf420,2,claude:0dc25b6c-b2a5-43fe-bd7c-21d9372355bd:1,docs;repo-root-files,1
academic-writing-skills,4725c74bf420,3,claude:0dc25b6c-b2a5-43fe-bd7c-21d9372355bd:4,docs;repo-root-files;skills,1
academic-writing-skills,4725c74bf420,4,claude:0dc25b6c-b2a5-43fe-bd7c-21d9372355bd:5,skills,2
agentsight,b5bc34dabe6a,1,codex:rollout-2026-06-13T11-24-41-019ec23a-9d01-7981-aaa4-1be1af89ba69:14724,docs,1
agentsight,b5bc34dabe6a,8,codex:rollout-2026-06-13T11-24-41-019ec23a-9d01-7981-aaa4-1be1af89ba69:14751,agentpprof;docs,4
agentsight,b5bc34dabe6a,9,codex:rollout-2026-06-13T11-24-41-019ec23a-9d01-7981-aaa4-1be1af89ba69:14752,agentpprof,5
agentsight,b5bc34dabe6a,109,codex:rollout-2026-07-06T17-02-11-019f39e1-def3-7e90-83c2-2db89f5d68aa:31,agentpprof;docs,49
agentsight,b5bc34dabe6a,110,codex:rollout-2026-07-06T17-02-11-019f39e1-def3-7e90-83c2-2db89f5d68aa:32,docs,50
agentsight,e58fce112c6e,1,codex:rollout-2026-03-05T17-48-25-019cc0d4-edae-7e81-92e2-239691fed904:0,repo-root-files,1
agentsight,e58fce112c6e,2,codex:rollout-2026-03-05T17-48-25-019cc0d4-edae-7e81-92e2-239691fed904:4,docs;repo-root-files,1
agentsight,e58fce112c6e,3,codex:rollout-2026-03-05T17-48-25-019cc0d4-edae-7e81-92e2-239691fed904:5,bpf;collector;docs;frontend;repo-root-files;script,1
agentsight,e58fce112c6e,4,codex:rollout-2026-03-05T17-48-25-019cc0d4-edae-7e81-92e2-239691fed904:7,bpf,2
agentsight,e58fce112c6e,7,codex:rollout-2026-03-05T17-48-25-019cc0d4-edae-7e81-92e2-239691fed904:12,bpf;docs;frontend,3
agentsight,e58fce112c6e,8,codex:rollout-2026-03-05T17-48-25-019cc0d4-edae-7e81-92e2-239691fed904:16,frontend,4
agentsight,e58fce112c6e,13,codex:rollout-2026-03-05T17-48-25-019cc0d4-edae-7e81-92e2-239691fed904:58,collector;frontend,6
agentsight,e58fce112c6e,14,codex:rollout-2026-03-05T17-48-25-019cc0d4-edae-7e81-92e2-239691fed904:59,collector,7
agentsight,e58fce112c6e,18189,codex:rollout-2026-06-13T11-24-41-019ec23a-9d01-7981-aaa4-1be1af89ba69:12529,collector;docs,8073
agentsight,e58fce112c6e,18192,codex:rollout-2026-06-13T11-24-41-019ec23a-9d01-7981-aaa4-1be1af89ba69:12534,docs,8074
agentsight,f2407a7d66d5,1,codex:rollout-2026-07-19T18-34-01-019f7d28-9e15-7b32-a4fb-041046b42aa0:0,docs,1
agentskill-observability-paper,4cfc7c676cf9,1,claude:c1b3765c-1398-44ff-8649-bf1f9784e38b:6,docs,1
agentskill-observability-paper,4cfc7c676cf9,2,claude:c1b3765c-1398-44ff-8649-bf1f9784e38b:7,docs;repo-root-files,1
agentskill-observability-paper,4cfc7c676cf9,3,claude:c1b3765c-1398-44ff-8649-bf1f9784e38b:10,docs,2
bpf-developer-tutorial,a192f642f3ee,1,gemini:session-2026-01-11T09-49-bc17b2e8:0,scripts,1
bpf-developer-tutorial,a192f642f3ee,2,gemini:session-2026-01-11T09-49-bc17b2e8:1,scripts;src,1
bpf-developer-tutorial,a192f642f3ee,3,gemini:session-2026-01-11T09-49-bc17b2e8:2,src,2
bpf-developer-tutorial,b447bbe99f61,1,claude:1afff652-6c39-4e18-8d53-d9ac2bb0e43b:7,src,1
bpf-developer-tutorial,d325e701d7b6,1,gemini:session-2026-07-22T07-49-b819aa25:5,src,1
eunomia.dev,30e8a01e495d,1,codex:rollout-2026-03-06T21-26-57-019cc6c3-5c66-7a83-b7bf-45527b0cf692:4,app,1
eunomia.dev,da5c4a85644b,1,codex:rollout-2026-07-18T21-49-07-019f78b4-e182-7af3-990d-919173e3fe24:645,.agents,1
