project,worktree_id,module,action_units,read_units,mutation_units,resolved_calls,sessions,first_event_index,last_event_index,first_ts_ms,last_ts_ms
ActPlane,3dae89cd06ae,.actplane,34,27,7,29,9,665,64895,1779576055963,1784348017614
ActPlane,3dae89cd06ae,.claude,49,23,26,46,9,6034,54168,1780193799162,1781854696135
ActPlane,3dae89cd06ae,.codex,18,7,11,17,3,474,53474,1779572001647,1781628795703
ActPlane,3dae89cd06ae,.github,68,44,24,65,14,63,62053,1779516172628,1784257311661
ActPlane,3dae89cd06ae,ChromeDevTools__chrome-devtools-mcp,2,2,0,2,1,2007,2008,1779964547191,1779964554702
ActPlane,3dae89cd06ae,Donchitos__Claude-Code-Game-Studios,1,1,0,1,1,2077,2077,1779965469023,1779965469023
ActPlane,3dae89cd06ae,OpenPipe__ART,3,3,0,3,1,2007,2055,1779964547191,1779965191239
ActPlane,3dae89cd06ae,Panniantong__Agent-Reach,3,3,0,3,1,1941,2061,1779962766106,1779965242022
ActPlane,3dae89cd06ae,abhigyanpatwari__GitNexus,1,1,0,1,1,1917,1917,1779961795160,1779961795160
ActPlane,3dae89cd06ae,aden-hive__hive,2,2,0,2,1,1941,2025,1779962766106,1779964703045
ActPlane,3dae89cd06ae,alibaba__OpenSandbox,1,1,0,1,1,2100,2100,1779965726420,1779965726420
ActPlane,3dae89cd06ae,anomalyco__opencode,4,4,0,4,1,2110,2118,1779965827771,1779965880090
ActPlane,3dae89cd06ae,bpf,6170,4768,1402,4936,113,19,65698,1779515852380,1784364131461
ActPlane,3dae89cd06ae,browser-use__browser-harness,4,4,0,4,1,2007,2052,1779964547191,1779965165527
ActPlane,3dae89cd06ae,cocoindex-io__cocoindex,1,0,1,1,1,3286,3286,1779995952125,1779995952125
ActPlane,3dae89cd06ae,collector,3332,2401,931,2906,69,20,52943,1779515852380,1781572376503
ActPlane,3dae89cd06ae,corpus,2,2,0,1,1,429,429,1779571544858,1779571544858
ActPlane,3dae89cd06ae,crates,1083,879,204,885,36,52946,65683,1781572389540,1784363899133
ActPlane,3dae89cd06ae,czlonkowski__n8n-mcp,1,0,1,1,1,3286,3286,1779995952125,1779995952125
ActPlane,3dae89cd06ae,docs,20115,12950,7165,17573,313,18,65482,1779515852379,1784359039059
ActPlane,3dae89cd06ae,google__adk-python,2,2,0,2,1,1941,2029,1779962766106,1779964741240
ActPlane,3dae89cd06ae,heygen-com__hyperframes,3,3,0,2,1,2094,2095,1779965661292,1779965666974
ActPlane,3dae89cd06ae,hugohe3__ppt-master,1,0,1,1,1,3286,3286,1779995952125,1779995952125
ActPlane,3dae89cd06ae,libbpf,1,1,0,1,1,57068,57068,1782181791213,1782181791213
ActPlane,3dae89cd06ae,luongnv89__claude-howto,2,2,0,2,1,2090,2091,1779965609160,1779965613728
