task,dataset,query_family,policy,view,ranker,unit_depth,unit_kind,claim_role,subtask_eligible,true_subtask_oracle,operations,positives,groups,oracle_units,positive_oracle_units,top5_unit_work,top5_positive_unit_recall,top5_positive_unit_f1,budget30_unit_work,budget30_positive_unit_recall,budget30_positive_unit_f1,budget30_unit_efficiency,budget30_spillover_operation_fraction,budget30_positive_session_without_unit_hit,groups_to_25pct_positive_units,groups_to_50pct_positive_units,operation_work_to_50pct_positive_units,operation_work_to_first_positive_unit,positive_units_median_group_fragmentation,positive_groups_median_units_per_group
agentreward_looping,agent-reward-bench,failure-looping,flat:width,flat,width,session,session,session_anchor,False,False,729,504,1,29,17,1.0,1.0,0.7391,0.0,0.0,0.0,0.0,0.0,0,1,1,1.0,1.0,1.0,29.0
agentreward_looping,agent-reward-bench,failure-looping,fixed_session:query_aware,fixed_session,query_aware,session,session,session_anchor,False,False,729,504,29,29,17,0.1724,0.2353,0.3636,0.3448,0.4118,0.5185,1.1941,0.1651,0,6,10,0.3992,0.0412,1.0,1.0
agentreward_looping,agent-reward-bench,failure-looping,dataset_native:query_aware,dataset_native,query_aware,session,session,session_anchor,False,False,729,504,4,29,17,1.0,1.0,0.7391,0.3793,0.4118,0.5,1.0856,0.089,0,1,3,0.4636,0.1824,1.0,7.5
agentreward_looping,agent-reward-bench,failure-looping,raw_action_stack:query_aware,raw_action_stack,query_aware,session,session,session_anchor,False,False,729,504,14,29,17,0.3103,0.2941,0.3846,0.7586,0.5882,0.5128,0.7754,0.3964,0,4,7,0.155,0.037,3.0,3.0
agentreward_looping,agent-reward-bench,failure-looping,operation_stack:width,operation_stack,width,session,session,session_anchor,False,False,729,504,40,29,17,0.6552,0.8824,0.8333,0.3448,0.4118,0.5185,1.1941,0.1835,0,1,3,0.4595,0.2058,3.0,2.0
agentreward_looping,agent-reward-bench,failure-looping,operation_stack:query_aware,operation_stack,query_aware,session,session,session_anchor,False,False,729,504,40,29,17,0.6552,0.9412,0.8889,0.3448,0.5294,0.6667,1.5353,0.078,0,1,2,0.3128,0.2058,3.0,2.0
agentreward_looping,agent-reward-bench,failure-looping,flat:width,flat,width,operation,operation,operation_anchor,True,False,729,504,1,729,504,1.0,1.0,0.8175,0.0,0.0,0.0,0.0,0.0,0,1,1,1.0,1.0,1.0,729.0
agentreward_looping,agent-reward-bench,failure-looping,fixed_session:query_aware,fixed_session,query_aware,operation,operation,operation_anchor,True,False,729,504,29,729,504,0.2058,0.2381,0.367,0.299,0.3611,0.5042,1.2076,0.1651,0,6,10,0.3992,0.0412,1.0,30.0
agentreward_looping,agent-reward-bench,failure-looping,dataset_native:query_aware,dataset_native,query_aware,operation,operation,operation_anchor,True,False,729,504,4,729,504,1.0,1.0,0.8175,0.262,0.3452,0.5007,1.3177,0.089,0,1,3,0.4636,0.1824,1.0,140.0
agentreward_looping,agent-reward-bench,failure-looping,raw_action_stack:query_aware,raw_action_stack,query_aware,operation,operation,operation_anchor,True,False,729,504,14,729,504,0.1043,0.1071,0.1862,0.2318,0.2024,0.3031,0.873,0.3964,1,8,8,0.7737,0.037,1.0,19.0
agentreward_looping,agent-reward-bench,failure-looping,operation_stack:width,operation_stack,width,operation,operation,operation_anchor,True,False,729,504,40,729,504,0.6283,0.6508,0.6819,0.299,0.3532,0.4931,1.181,0.1835,0,1,4,0.5638,0.2058,1.0,13.0
agentreward_looping,agent-reward-bench,failure-looping,operation_stack:query_aware,operation_stack,query_aware,operation,operation,operation_anchor,True,False,729,504,40,729,504,0.4938,0.6508,0.7593,0.299,0.3988,0.5568,1.3336,0.078,0,1,3,0.417,0.2058,1.0,13.0
agentreward_looping,agent-reward-bench,failure-looping,flat:width,flat,width,positive_run,contiguous_target_positive_run,sub_session_episode_proxy,True,False,729,504,1,155,78,1.0,1.0,0.6695,0.0,0.0,0.0,0.0,0.0,0,1,1,1.0,1.0,1.0,155.0
agentreward_looping,agent-reward-bench,failure-looping,fixed_session:query_aware,fixed_session,query_aware,positive_run,contiguous_target_positive_run,sub_session_episode_proxy,True,False,729,504,29,155,78,0.0323,0.0513,0.0964,0.0645,0.0897,0.1591,1.391,0.1651,0,18,18,0.7709,0.0412,1.0,1.0
agentreward_looping,agent-reward-bench,failure-looping,dataset_native:query_aware,dataset_native,query_aware,positive_run,contiguous_target_positive_run,sub_session_episode_proxy,True,False,729,504,4,155,78,1.0,1.0,0.6695,0.071,0.0897,0.1573,1.2646,0.089,0,4,4,1.0,0.1824,1.0,10.5
agentreward_looping,agent-reward-bench,failure-looping,raw_action_stack:query_aware,raw_action_stack,query_aware,positive_run,contiguous_target_positive_run,sub_session_episode_proxy,True,False,729,504,14,155,78,0.0581,0.0641,0.1149,0.4903,0.5769,0.5844,1.1766,0.3964,1,7,8,0.7737,0.037,1.0,4.0
