left,right,metric,direction,task_depth_rows,improved_rows,worse_rows,tied_rows,median_delta,mean_delta
operation_stack:query_aware,flat:width,top5_unit_work,lower,24,24,0,0,-0.8693,-0.7709
operation_stack:query_aware,flat:width,top5_positive_unit_recall,higher,24,0,22,2,-0.7159,-0.6602
operation_stack:query_aware,flat:width,budget30_positive_unit_recall,higher,24,24,0,0,0.4342,0.5574
operation_stack:query_aware,flat:width,budget30_positive_unit_f1,higher,24,24,0,0,0.4484,0.4153
operation_stack:query_aware,flat:width,budget30_unit_efficiency,higher,24,24,0,0,1.251,1.4526
operation_stack:query_aware,flat:width,groups_to_25pct_positive_units,lower,24,0,17,7,2.5,25.1667
operation_stack:query_aware,flat:width,groups_to_50pct_positive_units,lower,24,0,22,2,26.5,67.7917
operation_stack:query_aware,flat:width,operation_work_to_50pct_positive_units,lower,24,24,0,0,-0.6143,-0.6429
operation_stack:query_aware,flat:width,positive_groups_median_units_per_group,lower,24,24,0,0,-767.0,-3132.7708
operation_stack:query_aware,flat:width,budget30_positive_session_without_unit_hit,lower,24,0,9,15,0.0,5.2083
operation_stack:query_aware,fixed_session:query_aware,top5_unit_work,lower,24,6,18,0,0.0613,0.1593
operation_stack:query_aware,fixed_session:query_aware,top5_positive_unit_recall,higher,24,20,4,0,0.2386,0.2898
operation_stack:query_aware,fixed_session:query_aware,budget30_positive_unit_recall,higher,24,20,4,0,0.0428,0.1835
operation_stack:query_aware,fixed_session:query_aware,budget30_positive_unit_f1,higher,24,18,6,0,0.0213,0.0772
operation_stack:query_aware,fixed_session:query_aware,budget30_unit_efficiency,higher,24,14,10,0,0.0773,0.2503
operation_stack:query_aware,fixed_session:query_aware,groups_to_25pct_positive_units,lower,24,23,1,0,-35.0,-37.4583
operation_stack:query_aware,fixed_session:query_aware,groups_to_50pct_positive_units,lower,24,22,2,0,-45.5,-64.5417
operation_stack:query_aware,fixed_session:query_aware,operation_work_to_50pct_positive_units,lower,24,14,10,0,-0.0041,-0.0423
operation_stack:query_aware,fixed_session:query_aware,positive_groups_median_units_per_group,lower,24,4,20,0,5.0,2.1042
operation_stack:query_aware,fixed_session:query_aware,budget30_positive_session_without_unit_hit,lower,24,0,9,15,0.0,5.2083
