task,dataset,query_family,unit_depth,unit_kind,claim_role,subtask_eligible,positive_oracle_units,best_budget30_unit_policy,best_budget30_positive_unit_f1,operation_stack_budget30_positive_unit_recall,operation_stack_budget30_positive_unit_f1,operation_stack_groups_to_50pct_positive_units,operation_stack_budget30_spillover,operation_stack_depth_gap_sessions,fixed_session_budget30_positive_unit_recall,raw_action_budget30_positive_unit_recall,positive_groups_median_units_per_group,action
agentreward_looping,agent-reward-bench,failure-looping,session,session,session_anchor,False,17,operation_stack:query_aware,0.6667,0.5294,0.6667,2,0.078,0,0.4118,0.5882,2.0,Operation-stack improves oracle-unit recall over fixed-session for this depth.
agentreward_looping,agent-reward-bench,failure-looping,operation,operation,operation_anchor,True,504,operation_stack:query_aware,0.5568,0.3988,0.5568,3,0.078,0,0.3611,0.2024,13.0,Operation-stack improves oracle-unit recall over fixed-session for this depth.
agentreward_looping,agent-reward-bench,failure-looping,positive_run,contiguous_target_positive_run,sub_session_episode_proxy,True,78,operation_stack:query_aware,0.7049,0.5513,0.7049,2,0.078,0,0.0897,0.5769,2.0,Operation-stack improves oracle-unit recall over fixed-session for this depth.
agentreward_looping,agent-reward-bench,failure-looping,agentreward_turn,turn,middle_unit_proxy,False,474,operation_stack:query_aware,0.558,0.4008,0.558,3,0.078,0,0.384,0.2321,13.0,Operation-stack improves oracle-unit recall over fixed-session for this depth.
agentreward_side_effect,agent-reward-bench,failure-side-effect,session,session,session_anchor,False,2,operation_stack:width,0.3636,1.0,0.1429,1,0.6468,0,0.0,1.0,3.0,Operation-stack improves oracle-unit recall over fixed-session for this depth.
agentreward_side_effect,agent-reward-bench,failure-side-effect,operation,operation,operation_anchor,True,202,raw_action_stack:query_aware,0.3684,0.3812,0.3667,17,0.6468,0,0.0,0.3812,20.0,Operation-stack improves oracle-unit recall over fixed-session for this depth.
agentreward_side_effect,agent-reward-bench,failure-side-effect,positive_run,contiguous_target_positive_run,sub_session_episode_proxy,True,2,operation_stack:width,0.3636,1.0,0.1429,1,0.6468,0,0.0,1.0,3.0,Operation-stack improves oracle-unit recall over fixed-session for this depth.
agentreward_side_effect,agent-reward-bench,failure-side-effect,agentreward_turn,turn,middle_unit_proxy,False,60,raw_action_stack:query_aware,0.3887,0.8,0.3855,10,0.6468,0,0.0,0.8,19.0,Operation-stack improves oracle-unit recall over fixed-session for this depth.
satraj_unsafe,satraj-os-safety,safety,session,session,session_anchor,False,88,dataset_native:query_aware,0.9362,1.0,0.6308,13,0.5946,0,0.9318,1.0,4.0,Operation-stack improves oracle-unit recall over fixed-session for this depth.
satraj_unsafe,satraj-os-safety,safety,operation,operation,operation_anchor,True,622,dataset_native:query_aware,0.873,0.8376,0.5464,38,0.5946,0,0.865,0.5209,11.0,Preserve baseline counterpoint; operation-stack is an explanation view here.
