policy,unit_depth,rows,tasks,median_top5_unit_work,median_top5_positive_unit_recall,median_budget30_positive_unit_recall,median_budget30_positive_unit_f1,median_groups_to_50pct_positive_units,median_budget30_spillover_operation_fraction,median_budget30_positive_session_without_unit_hit
dataset_native:query_aware,agentnet_step,2,2,0.0227,0.0223,0.375,0.134,27.5,0.9183,0.0
dataset_native:query_aware,agentreward_turn,2,2,1.0,1.0,0.1835,0.2617,2.0,0.5445,0.0
dataset_native:query_aware,operation,6,6,0.8539,0.8665,0.3377,0.1719,2.5,0.8742,0.0
dataset_native:query_aware,osworld_human_group,1,1,0.7031,0.733,0.2618,0.293,2.0,0.8315,0.0
dataset_native:query_aware,positive_run,6,6,0.8511,0.8665,0.2953,0.3339,3.0,0.8742,0.0
dataset_native:query_aware,satraj_step,1,1,1.0,1.0,1.0,0.873,1.0,0.2254,0.0
dataset_native:query_aware,session,6,6,0.7359,0.75,0.414,0.5176,4.0,0.8742,0.0
fixed_session:query_aware,agentnet_step,2,2,0.0071,0.0124,0.3682,0.1316,299.0,0.9197,0.0
fixed_session:query_aware,agentreward_turn,2,2,0.2535,0.1266,0.192,0.263,8.5,0.5826,0.0
fixed_session:query_aware,operation,6,6,0.0163,0.0233,0.3559,0.2034,81.5,0.8484,0.0
fixed_session:query_aware,osworld_human_group,1,1,0.0178,0.034,0.3508,0.4061,107.0,0.7772,0.0
fixed_session:query_aware,positive_run,6,6,0.0261,0.0235,0.3411,0.3704,83.0,0.8484,0.0
fixed_session:query_aware,satraj_step,1,1,0.0154,0.0579,0.865,0.5642,56.0,0.5813,0.0
fixed_session:query_aware,session,6,6,0.0178,0.016,0.323,0.4563,95.5,0.8484,0.0
flat:width,agentnet_step,2,2,1.0,1.0,0.0,0.0,1.0,0.0,0.0
flat:width,agentreward_turn,2,2,1.0,1.0,0.0,0.0,1.0,0.0,0.0
flat:width,operation,6,6,1.0,1.0,0.0,0.0,1.0,0.0,0.0
flat:width,osworld_human_group,1,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0
flat:width,positive_run,6,6,1.0,1.0,0.0,0.0,1.0,0.0,0.0
flat:width,satraj_step,1,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0
flat:width,session,6,6,1.0,1.0,0.0,0.0,1.0,0.0,0.0
operation_stack:query_aware,agentnet_step,2,2,0.0052,0.0106,0.3958,0.1414,171.5,0.9137,6.0
operation_stack:query_aware,agentreward_turn,2,2,0.3941,0.4886,0.6004,0.4718,6.5,0.3624,0.0
operation_stack:query_aware,operation,6,6,0.0937,0.188,0.39,0.2987,50.0,0.729,1.0
operation_stack:query_aware,osworld_human_group,1,1,0.373,0.5942,0.5,0.6035,3.0,0.8113,5.0
operation_stack:query_aware,positive_run,6,6,0.2257,0.3358,0.4908,0.3753,37.5,0.729,1.0
operation_stack:query_aware,satraj_step,1,1,0.042,0.2621,0.8376,0.5464,38.0,0.5946,0.0
operation_stack:query_aware,session,6,6,0.1783,0.2916,0.4737,0.5475,12.0,0.729,0.0
operation_stack:width,agentnet_step,2,2,0.309,0.3436,0.3372,0.1218,9.0,0.9255,14.5
operation_stack:width,agentreward_turn,2,2,0.6667,0.8544,0.546,0.4215,2.5,0.4495,0.0
operation_stack:width,operation,6,6,0.5424,0.4746,0.3372,0.2148,6.0,0.8236,5.5
operation_stack:width,osworld_human_group,1,1,0.5937,0.6636,0.4712,0.4483,3.0,0.7307,3.0
operation_stack:width,positive_run,6,6,0.5328,0.4747,0.384,0.3547,6.0,0.8236,5.5
operation_stack:width,satraj_step,1,1,0.5181,0.0,0.1125,0.0734,16.0,0.9455,0.0
operation_stack:width,session,6,6,0.4352,0.3957,0.3912,0.4619,7.0,0.8236,0.0
raw_action_stack:query_aware,agentnet_step,2,2,0.0477,0.0487,0.2728,0.0996,16.5,0.939,298.0
raw_action_stack:query_aware,agentreward_turn,2,2,0.1927,0.457,0.516,0.3695,5.5,0.52,0.0
raw_action_stack:query_aware,operation,6,6,0.1507,0.2442,0.3325,0.3127,8.0,0.7422,48.0
raw_action_stack:query_aware,osworld_human_group,1,1,0.4998,0.8377,0.6806,0.6943,2.0,0.7365,7.0
raw_action_stack:query_aware,positive_run,6,6,0.3983,0.2796,0.4959,0.3214,7.5,0.7422,48.0
raw_action_stack:query_aware,satraj_step,1,1,0.1972,0.4486,0.5209,0.3398,8.0,0.7479,0.0
raw_action_stack:query_aware,session,6,6,0.5664,0.6232,0.9817,0.6513,4.0,0.7422,0.0
