rank,weight,share_pct,session,prompt,process,effect,baseline_key,short_stack
1,6004,3.268,refactor,refactor,tool:tool,process,process:tool:tool;effect:process;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/tool;effect:process;status:ok
2,4115,2.24,refactor,refactor,tool:tool,process,process:tool:tool;effect:process;status:observed,agent:codex;session:refactor;prompt:refactor;call:tool/tool;effect:process;status:observed
3,1648,0.897,refactor,refactor,sed,read,process:sed;effect:read;status:ok;path:module/x86,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:sed;effect:read;path:module/x86;status:ok
4,1349,0.734,refactor,design,tool:tool,process,process:tool:tool;effect:process;status:ok,agent:codex;session:refactor;prompt:design;call:tool/tool;effect:process;status:ok
5,1349,0.734,refactor,review,tool:tool,process,process:tool:tool;effect:process;status:ok,agent:codex;session:refactor;prompt:review;call:tool/tool;effect:process;status:ok
6,1212,0.66,analyze,analyze,docker,process,process:docker;effect:process;status:ok,agent:codex;session:analyze;prompt:analyze;call:tool/shell;process:docker;effect:process;status:ok
7,1042,0.567,refactor,refactor,rg,read,process:rg;effect:read;status:ok;path:micro/programs,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;path:micro/programs;status:ok
8,926,0.504,refactor,refactor,sed,read,process:sed;effect:read;status:ok;path:native-sim/libnativeloader,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:sed;effect:read;path:native-sim/libnativeloader;status:ok
9,907,0.494,refactor,refactor,tool:tool,process,process:tool:tool;effect:process;status:fail,agent:codex;session:refactor;prompt:refactor;call:tool/tool;effect:process;status:fail
10,896,0.488,refactor,refactor,sed,read,process:sed;effect:read;status:ok;path:micro/programs,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:sed;effect:read;path:micro/programs;status:ok
11,860,0.468,refactor,design,tool:tool,process,process:tool:tool;effect:process;status:observed,agent:codex;session:refactor;prompt:design;call:tool/tool;effect:process;status:observed
12,814,0.443,refactor,refactor,sed,read,process:sed;effect:read;status:ok;path:vendor/linux-framework,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:sed;effect:read;path:vendor/linux-framework;status:ok
