task,dataset,baseline,metric,metric_family,direction,operation_stack_query_aware,baseline_value,delta_default_minus_baseline,advantage,result
agentnet_incorrect_step,agentnet,flat_width,average_precision,AP/AUPRC-style ranking,higher,0.0886,0.0594,0.0292,0.0292,win
agentnet_redundant_step,agentnet,flat_width,average_precision,AP/AUPRC-style ranking,higher,0.0875,0.0728,0.0147,0.0147,win
agentreward_looping,agent-reward-bench,flat_width,average_precision,AP/AUPRC-style ranking,higher,0.8808,0.6914,0.1894,0.1894,win
agentreward_side_effect,agent-reward-bench,flat_width,average_precision,AP/AUPRC-style ranking,higher,0.3979,0.2771,0.1208,0.1208,win
osworld_group_start,osworld-human,flat_width,average_precision,AP/AUPRC-style ranking,higher,0.2254,0.1905,0.0349,0.0349,win
satraj_unsafe,satraj-os-safety,flat_width,average_precision,AP/AUPRC-style ranking,higher,0.4875,0.1452,0.3423,0.3423,win
agentnet_incorrect_step,agentnet,flat_width,ndcg,nDCG,higher,0.3594,1.0,-0.6406,-0.6406,loss
agentnet_redundant_step,agentnet,flat_width,ndcg,nDCG,higher,0.4055,1.0,-0.5945,-0.5945,loss
agentreward_looping,agent-reward-bench,flat_width,ndcg,nDCG,higher,0.9687,1.0,-0.0313,-0.0313,loss
agentreward_side_effect,agent-reward-bench,flat_width,ndcg,nDCG,higher,0.4445,1.0,-0.5555,-0.5555,loss
osworld_group_start,osworld-human,flat_width,ndcg,nDCG,higher,0.7954,1.0,-0.2046,-0.2046,loss
satraj_unsafe,satraj-os-safety,flat_width,ndcg,nDCG,higher,0.653,1.0,-0.347,-0.347,loss
agentnet_incorrect_step,agentnet,flat_width,top5_precision,precision@5,higher,0.1429,0.0594,0.0835,0.0835,win
agentnet_redundant_step,agentnet,flat_width,top5_precision,precision@5,higher,0.1444,0.0728,0.0716,0.0716,win
agentreward_looping,agent-reward-bench,flat_width,top5_precision,precision@5,higher,0.9111,0.6914,0.2197,0.2197,win
agentreward_side_effect,agent-reward-bench,flat_width,top5_precision,precision@5,higher,0.217,0.2771,-0.0601,-0.0601,loss
osworld_group_start,osworld-human,flat_width,top5_precision,precision@5,higher,0.1812,0.1905,-0.0093,-0.0093,loss
satraj_unsafe,satraj-os-safety,flat_width,top5_precision,precision@5,higher,0.9056,0.1452,0.7604,0.7604,win
agentnet_incorrect_step,agentnet,flat_width,top5_recall,recall@5,higher,0.0034,1.0,-0.9966,-0.9966,loss
agentnet_redundant_step,agentnet,flat_width,top5_recall,recall@5,higher,0.0177,1.0,-0.9823,-0.9823,loss
agentreward_looping,agent-reward-bench,flat_width,top5_recall,recall@5,higher,0.6508,1.0,-0.3492,-0.3492,loss
agentreward_side_effect,agent-reward-bench,flat_width,top5_recall,recall@5,higher,0.1139,1.0,-0.8861,-0.8861,loss
osworld_group_start,osworld-human,flat_width,top5_recall,recall@5,higher,0.3874,1.0,-0.6126,-0.6126,loss
satraj_unsafe,satraj-os-safety,flat_width,top5_recall,recall@5,higher,0.2621,1.0,-0.7379,-0.7379,loss
agentnet_incorrect_step,agentnet,flat_width,top5_f1,F1@5,higher,0.0067,0.1121,-0.1054,-0.1054,loss
agentnet_redundant_step,agentnet,flat_width,top5_f1,F1@5,higher,0.0316,0.1357,-0.1041,-0.1041,loss
agentreward_looping,agent-reward-bench,flat_width,top5_f1,F1@5,higher,0.7593,0.8175,-0.0582,-0.0582,loss
agentreward_side_effect,agent-reward-bench,flat_width,top5_f1,F1@5,higher,0.1494,0.4339,-0.2845,-0.2845,loss
osworld_group_start,osworld-human,flat_width,top5_f1,F1@5,higher,0.2469,0.32,-0.0731,-0.0731,loss
satraj_unsafe,satraj-os-safety,flat_width,top5_f1,F1@5,higher,0.4065,0.2535,0.153,0.153,win
agentnet_incorrect_step,agentnet,flat_width,budget30_recall,recall@30% work,higher,0.4382,0.0,0.4382,0.4382,win
agentnet_redundant_step,agentnet,flat_width,budget30_recall,recall@30% work,higher,0.3533,0.0,0.3533,0.3533,win
agentreward_looping,agent-reward-bench,flat_width,budget30_recall,recall@30% work,higher,0.3988,0.0,0.3988,0.3988,win
