run_id,key,actual,expected,status,source,paper_token
R320,profiler_abstractions,"['operation', 'operation stack']","['operation', 'operation stack']",pass,report.profiler_abstractions,operation stack
R320,dataset_sync,none,none,pass,report.input_policy.dataset_sync,sync
R320,dataset_creation,none,none,pass,report.input_policy.dataset_creation,create
R320,network_access_required,False,False,pass,report.reproducibility.network_access_required,network
R333,profiler_abstractions,"['operation', 'operation stack']","['operation', 'operation stack']",pass,report.profiler_abstractions,operation stack
R333,dataset_sync,none,none,pass,report.input_policy.dataset_sync,sync
R333,dataset_creation,none,none,pass,report.input_policy.dataset_creation,create
R333,network_access_required,False,False,pass,report.reproducibility.network_access_required,network
R334,profiler_abstractions,"['operation', 'operation stack']","['operation', 'operation stack']",pass,report.profiler_abstractions,operation stack
R334,dataset_sync,none,none,pass,report.input_policy.dataset_sync,sync
R334,sync,none,none,pass,report.input_policy.sync,sync
R334,dataset_creation,none,none,pass,report.input_policy.dataset_creation,create
R334,create,none,none,pass,report.input_policy.create,create
R334,dataset_relabeling,none,none,pass,report.input_policy.dataset_relabeling,relabel
R334,relabel,none,none,pass,report.input_policy.relabel,relabel
R334,network_access_required,False,False,pass,report.network_access_required,network
R335,profiler_abstractions,"['operation', 'operation stack']","['operation', 'operation stack']",pass,report.profiler_abstractions,operation stack
R335,sync,none,none,pass,report.input_policy.sync,sync
R335,create,none,none,pass,report.input_policy.create,create
R335,relabel,none,none,pass,report.input_policy.relabel,relabel
R335,network_access_required,False,False,pass,report.network_access_required,network
R336,profiler_abstractions,"['operation', 'operation stack']","['operation', 'operation stack']",pass,report.profiler_abstractions,operation stack
R336,sync,none,none,pass,report.input_policy.sync,sync
R336,create,none,none,pass,report.input_policy.create,create
R336,relabel,none,none,pass,report.input_policy.relabel,relabel
R336,network_access_required,False,False,pass,report.network_access_required,network
R337,profiler_abstractions,"['operation', 'operation stack']","['operation', 'operation stack']",pass,report.profiler_abstractions,operation stack
R337,sync,none,none,pass,report.input_policy.sync,sync
R337,create,none,none,pass,report.input_policy.create,create
R337,relabel,none,none,pass,report.input_policy.relabel,relabel
R337,network_access_required,False,False,pass,report.network_access_required,network
R339,profiler_abstractions,"['operation', 'operation stack']","['operation', 'operation stack']",pass,report.profiler_abstractions,operation stack
R339,network_access_required,False,False,pass,report.summary.network_access_required,network
R339,hidden_labels_used_only_for_scoring,True,True,pass,report.summary.hidden_labels_used_only_for_scoring,hidden labels only for scoring
R339,source_artifacts_tracked_clean,True,True,pass,report.summary.source_artifacts_tracked_clean,tracked clean
R340,profiler_abstractions,"['operation', 'operation stack']","['operation', 'operation stack']",pass,report.profiler_abstractions,operation stack
R340,dataset_sync,none,none,pass,report.input_policy.dataset_sync,sync
R340,dataset_creation,none,none,pass,report.input_policy.dataset_creation,create
R340,dataset_relabeling,none,none,pass,report.input_policy.dataset_relabeling,relabel
R340,network_access_required,False,False,pass,report.summary.network_access_required,network
R340,source_artifacts_tracked_clean,True,True,pass,report.summary.source_artifacts_tracked_clean,tracked clean
R341,profiler_abstractions,"['operation', 'operation stack']","['operation', 'operation stack']",pass,report.profiler_abstractions,operation stack
R341,dataset_sync,none,none,pass,report.input_policy.dataset_sync,sync
R341,dataset_creation,none,none,pass,report.input_policy.dataset_creation,create
R341,dataset_relabeling,none,none,pass,report.input_policy.dataset_relabeling,relabel
R342,profiler_abstractions,"['operation', 'operation stack']","['operation', 'operation stack']",pass,report.profiler_abstractions,operation stack
R342,dataset_sync,none,none,pass,report.input_policy.dataset_sync,sync
R342,dataset_creation,none,none,pass,report.input_policy.dataset_creation,create
R342,dataset_relabeling,none,none,pass,report.input_policy.dataset_relabeling,relabel
R344,profiler_abstractions,"['operation', 'operation stack']","['operation', 'operation stack']",pass,report.profiler_abstractions,operation stack
R344,network_access_required,False,False,pass,report.summary.network_access_required,network
R345,profiler_abstractions,"['operation', 'operation stack']","['operation', 'operation stack']",pass,report.profiler_abstractions,operation stack
R345,dataset_sync,none,none,pass,report.input_policy.dataset_sync,sync
R345,dataset_creation,none,none,pass,report.input_policy.dataset_creation,create
R345,dataset_relabeling,none,none,pass,report.input_policy.dataset_relabeling,relabel
R345,network_access_required,False,False,pass,report.summary.network_access_required,network
R346,profiler_abstractions,"['operation', 'operation stack']","['operation', 'operation stack']",pass,report.profiler_abstractions,operation stack
R346,network_access_required,False,False,pass,report.summary.network_access_required,network
R347,profiler_abstractions,"['operation', 'operation stack']","['operation', 'operation stack']",pass,report.profiler_abstractions,operation stack
R347,dataset_sync,none,none,pass,report.input_policy.dataset_sync,sync
R347,dataset_creation,none,none,pass,report.input_policy.dataset_creation,create
R347,dataset_relabeling,none,none,pass,report.input_policy.dataset_relabeling,relabel
R347,network_access_required,False,False,pass,report.summary.network_access_required,network
R348,profiler_abstractions,"['operation', 'operation stack']","['operation', 'operation stack']",pass,report.profiler_abstractions,operation stack
R348,dataset_sync,none,none,pass,report.input_policy.dataset_sync,sync
R348,dataset_creation,none,none,pass,report.input_policy.dataset_creation,create
R348,dataset_relabeling,none,none,pass,report.input_policy.dataset_relabeling,relabel
R348,network_access_required,False,False,pass,report.summary.network_access_required,network
