project,path,audit_reason,assigned_type,ok_plus_observed_actions
ActPlane,collector/test/policies/invalid/06_ambiguous_domain.yaml,test_path_with_noncode_extension,config,1
ActPlane,collector/test/policies/invalid/07_empty_rule_body.yaml,test_path_with_noncode_extension,config,1
ActPlane,docs/OctoBench/actplane_feedback_hook.py,docs_path_with_code_extension,code,7
ActPlane,docs/OctoBench/compare_guardrail_metrics.py,docs_path_with_code_extension,code,1
ActPlane,docs/OctoBench/evaluate_with_llama.py,docs_path_with_code_extension,code,30
ActPlane,docs/OctoBench/extract_actplane_metrics.py,docs_path_with_code_extension,code,9
ActPlane,docs/OctoBench/extras/guardrail-comparison/compare_guardrail_metrics.py,docs_path_with_code_extension,code,1
ActPlane,docs/OctoBench/extras/guardrail-comparison/run_bypass_probe.py,docs_path_with_code_extension,code,1
ActPlane,docs/OctoBench/extras/guardrail-comparison/run_guardrail_case.py,docs_path_with_code_extension,code,1
ActPlane,docs/OctoBench/extras/guardrail-comparison/run_guardrail_isolated.py,docs_path_with_code_extension,code,1
ActPlane,docs/OctoBench/mini-vela/benchmark_runner.py,docs_path_with_code_extension,code,3
ActPlane,docs/OctoBench/mini-vela/evaluate.py,docs_path_with_code_extension,code,1
ActPlane,docs/OctoBench/mini-vela/proxy/start_proxy.py,docs_path_with_code_extension,code,1
ActPlane,docs/OctoBench/mini-vela/proxy/trajectory_logger.py,docs_path_with_code_extension,code,2
ActPlane,docs/OctoBench/mini-vela/scaffolds.py,docs_path_with_code_extension,code,1
ActPlane,docs/OctoBench/mini-vela/scaffolds/__init__.py,docs_path_with_code_extension,code,1
ActPlane,docs/OctoBench/mini-vela/scaffolds/base.py,docs_path_with_code_extension,code,1
ActPlane,docs/OctoBench/mini-vela/scaffolds/claudecode.py,docs_path_with_code_extension,code,2
ActPlane,docs/OctoBench/run_actplane_case.py,docs_path_with_code_extension,code,6
ActPlane,docs/OctoBench/run_actplane_isolated.py,docs_path_with_code_extension,code,6
ActPlane,docs/OctoBench/run_bypass_probe.py,docs_path_with_code_extension,code,4
ActPlane,docs/OctoBench/run_cases.py,docs_path_with_code_extension,code,116
ActPlane,docs/OctoBench/run_guardrail_case.py,docs_path_with_code_extension,code,4
ActPlane,docs/OctoBench/run_guardrail_isolated.py,docs_path_with_code_extension,code,4
ActPlane,docs/OctoBench/run_official_isolated.py,docs_path_with_code_extension,code,7
ActPlane,docs/OctoBench/tool_regex_hook.py,docs_path_with_code_extension,code,10
ActPlane,docs/OpenAgentSafety/OpenAgentSafety/workspaces/tasks/safety-analytics/utils/evaluator.py,docs_path_with_code_extension,code,1
ActPlane,docs/OpenAgentSafety/scripts/generate_remaining_description_policies.py,docs_path_with_code_extension,code,2
ActPlane,docs/OpenAgentSafety/scripts/run_selected.py,docs_path_with_code_extension,code,2
ActPlane,docs/OpenAgentSafety/scripts/summarize_os_effect_results.py,docs_path_with_code_extension,code,1
ActPlane,docs/OpenAgentSafety/scripts/summarize_remaining_sweep.py,docs_path_with_code_extension,code,2
ActPlane,docs/artifact/verify_results.py,docs_path_with_code_extension,code,17
ActPlane,docs/corpus-evaluated/Alishahryar1__free-claude-code/repo/config/logging_config.py,docs_path_with_code_extension,code,1
ActPlane,docs/corpus-evaluated/Alishahryar1__free-claude-code/repo/config/settings.py,docs_path_with_code_extension,code,1
ActPlane,docs/corpus-evaluated/Alishahryar1__free-claude-code/repo/core/trace.py,docs_path_with_code_extension,code,1
ActPlane,docs/corpus-evaluated/Alishahryar1__free-claude-code/repo/tests/api/test_safe_logging.py,docs_path_with_code_extension,test,1
ActPlane,docs/corpus-evaluated/Alishahryar1__free-claude-code/repo/tests/config/test_config.py,docs_path_with_code_extension,test,1
ActPlane,docs/corpus-evaluated/Alishahryar1__free-claude-code/repo/tests/core/test_trace.py,docs_path_with_code_extension,test,1
ActPlane,docs/corpus-evaluated/ChromeDevTools__chrome-devtools-mcp/repo/eslint.config.mjs,docs_path_with_code_extension,code,1
ActPlane,docs/corpus-evaluated/ChromeDevTools__chrome-devtools-mcp/repo/scripts/eslint_rules/check-license-rule.js,docs_path_with_code_extension,code,1
ActPlane,docs/corpus-evaluated/ChromeDevTools__chrome-devtools-mcp/repo/scripts/eslint_rules/enforce-zod-schema-rule.js,docs_path_with_code_extension,code,2
ActPlane,docs/corpus-evaluated/ChromeDevTools__chrome-devtools-mcp/repo/scripts/eslint_rules/local-plugin.js,docs_path_with_code_extension,code,1
ActPlane,docs/corpus-evaluated/ChromeDevTools__chrome-devtools-mcp/repo/scripts/eslint_rules/no-direct-third-party-imports-rule.js,docs_path_with_code_extension,code,2
ActPlane,docs/corpus-evaluated/ChromeDevTools__chrome-devtools-mcp/repo/src/McpResponse.ts,docs_path_with_code_extension,code,1
ActPlane,docs/corpus-evaluated/ChromeDevTools__chrome-devtools-mcp/repo/src/ToolHandler.ts,docs_path_with_code_extension,code,1
ActPlane,docs/corpus-evaluated/ChromeDevTools__chrome-devtools-mcp/repo/src/browser.ts,docs_path_with_code_extension,code,1
ActPlane,docs/corpus-evaluated/ChromeDevTools__chrome-devtools-mcp/repo/src/third_party/index.ts,docs_path_with_code_extension,code,2
ActPlane,docs/corpus-evaluated/ChromeDevTools__chrome-devtools-mcp/repo/src/tools/ToolDefinition.ts,docs_path_with_code_extension,code,2
ActPlane,docs/corpus-evaluated/ChromeDevTools__chrome-devtools-mcp/repo/src/tools/console.ts,docs_path_with_code_extension,code,1
ActPlane,docs/corpus-evaluated/ChromeDevTools__chrome-devtools-mcp/repo/src/tools/input.ts,docs_path_with_code_extension,code,1
ActPlane,docs/corpus-evaluated/ChromeDevTools__chrome-devtools-mcp/repo/src/tools/network.ts,docs_path_with_code_extension,code,2
ActPlane,docs/corpus-evaluated/ChromeDevTools__chrome-devtools-mcp/repo/src/tools/pages.ts,docs_path_with_code_extension,code,1
ActPlane,docs/corpus-evaluated/ChromeDevTools__chrome-devtools-mcp/repo/src/tools/screenshot.ts,docs_path_with_code_extension,code,2
ActPlane,docs/corpus-evaluated/ChromeDevTools__chrome-devtools-mcp/repo/src/utils/check-for-updates.ts,docs_path_with_code_extension,code,1
ActPlane,docs/corpus-evaluated/NVIDIA__NemoClaw/repo/bin/nemoclaw.js,docs_path_with_code_extension,code,1
ActPlane,docs/corpus-evaluated/NVIDIA__NemoClaw/repo/nemoclaw/src/runtime-context.test.ts,docs_path_with_code_extension,test,1
ActPlane,docs/corpus-evaluated/NVIDIA__NemoClaw/repo/scripts/check-node-version.js,docs_path_with_code_extension,code,1
ActPlane,docs/corpus-evaluated/NousResearch__hermes-agent/repo/acp_adapter/tools.py,docs_path_with_code_extension,code,1
ActPlane,docs/corpus-evaluated/NousResearch__hermes-agent/repo/hermes_cli/config.py,docs_path_with_code_extension,code,1
ActPlane,docs/corpus-evaluated/NousResearch__hermes-agent/repo/scripts/run_tests.sh,docs_path_with_code_extension,test,2
ActPlane,docs/corpus-evaluated/NousResearch__hermes-agent/repo/scripts/whatsapp-bridge/allowlist.js,docs_path_with_code_extension,code,1
ActPlane,docs/corpus-evaluated/NousResearch__hermes-agent/repo/scripts/whatsapp-bridge/allowlist.test.mjs,docs_path_with_code_extension,test,1
ActPlane,docs/corpus-evaluated/NousResearch__hermes-agent/repo/tools/file_tools.py,docs_path_with_code_extension,code,1
ActPlane,docs/corpus-evaluated/OpenPipe__ART/repo/examples/openenv_echo.py,docs_path_with_code_extension,code,1
ActPlane,docs/corpus-evaluated/alibaba__OpenSandbox/repo/kubernetes/apis/sandbox/v1alpha1/batchsandbox_types.go,docs_path_with_code_extension,code,1
