project,tool_events,ok_nonscope_read_write_actions,observed_nonscope_read_write_actions,ok_plus_observed_nonscope_read_write_actions,excluded_ok_rename_from_helpers,excluded_observed_rename_from_helpers
agentsight,97586,32342,5991,38333,51,15
ActPlane,66238,20503,4466,24969,22,1
bpf-developer-tutorial,1664,779,62,841,0,0
eunomia.dev,13876,2901,521,3422,4,0
agentskill-observability-paper,991,438,0,438,0,0
academic-writing-skills,948,457,5,462,0,0
