dimension,raw_tag,original_display_tag,preview_display_tag,support,diff_case
llm,abi,abi,abi,3,
llm,ablate,ablate,ablate,1,
llm,ablation,ablation,ablation,1,
llm,abstract,abstract,abstract,5,
llm,abstraction,abstraction,abstraction,1,
llm,activate,activate,activate,1,
llm,actplaned,actplaned,actplaned,1,
llm,adapter,adapter,adapter,1,
llm,add,add,add,3,
llm,addcwd,addcwd,addcwd,1,
llm,addendpoint,addendpoint,addendpoint,1,
llm,addfilter,addfilter,addfilter,1,
llm,addsynthetic,addsynthetic,addsynthetic,1,
llm,adjudicate,adjudicate,adjudicate,3,
llm,adminrights,adminrights,adminrights,1,
llm,admission,admission,admission,1,
llm,agentdef,agentdef,agentdef,4,
llm,agents,agents,agents,1,
llm,agentsightr,agentsightr,agentsightr,1,
llm,aggregate,aggregate,aggregate,2,
llm,alias,alias,alias,1,
llm,align,align,align,16,
llm,alignment,alignment,alignment,1,
llm,alignview,alignview,alignview,11,
llm,allow,allow,allow,1,
llm,analysis,analysis,analysis,10,
llm,analyze,analyze,analyze,18712,
llm,rqanalyze,analyze,analyze,1,
llm,analyzedocs,analyzedocs,analyze,1,accept_reviewed_profile_merge
llm,analyzefs,analyzefs,analyzefs,1,
llm,analyzelog,analyzelog,analyzelog,1,
llm,analyzeverif,analyzeverif,analyzeverif,1,
llm,anchor,anchor,anchor,1,
llm,annotate,annotate,annotate,2,
llm,api,api,api,4,
llm,apiresource,apiresource,apiresource,1,
llm,apiupdate,apiupdate,apiupdate,1,
llm,apply,apply,apply,1,
llm,applyupdate,applyupdate,applyupdate,1,
llm,approve,approve,approve,1,
llm,archdoc,archdoc,archdoc,1,
llm,architect,architect,architect,2,
llm,archive,archive,archive,5,
llm,archplan,archplan,archplan,1,
llm,args,args,args,1,
llm,artifact,artifact,artifact,29,
llm,artifacteval,artifacteval,artifacteval,1,
llm,artifacts,artifacts,artifacts,1,
llm,asan,asan,asan,2,
llm,askquestion,askquestion,askquestion,1,
llm,assemble,assemble,assemble,3,
llm,attach,attach,attach,24,
llm,attachdbg,attachdbg,attachdbg,1,
llm,attacherror,attacherror,attacherror,1,
llm,attachrecro,attachrecro,attachrecro,1,
llm,attribution,attribution,attribution,1,
llm,audit,audit,audit,386,
llm,auditcheck,auditcheck,auditcheck,1,
llm,auditdetail,auditdetail,auditdetail,1,
llm,auditevents,auditevents,auditevents,2,
llm,auditfix,auditfix,auditfix,1,
llm,auditreview,auditreview,auditreview,2,
llm,auth,auth,auth,2,
llm,authmodel,authmodel,authmodel,1,
llm,autostash,autostash,autostash,1,
llm,backend,backend,backend,1,
llm,backfill,backfill,backfill,3,
llm,backfillcmd,backfillcmd,backfillcmd,1,
llm,backtrace,backtrace,backtrace,1,
llm,backup,backup,backup,32,
llm,baseline,baseline,baseline,8,
llm,baselinefind,baselinefind,baselinefind,5,
llm,batch,batch,batch,1,
llm,batchify,batchify,batchify,1,
llm,batchrun,batchrun,batchrun,1,
llm,benchcmp,benchcmp,benchcmp,1,
llm,bencheval,bencheval,bencheval,2,
llm,benchgate,benchgate,benchgate,1,
llm,benchma,benchma,benchma,1,
llm,bench,benchmark,benchmark,26,
llm,benchfix,benchmark,benchmark,1,
llm,benchmark,benchmark,benchmark,175,
llm,benchpress,benchpress,benchpress,1,
llm,benchreplay,benchreplay,benchreplay,1,
llm,benchrun,benchrun,benchrun,2,
llm,benchsmoke,benchsmoke,benchsmoke,1,
llm,bibliography,bibliography,bibliography,1,
llm,bindcheck,bindcheck,bindcheck,1,
llm,blocker,blocker,blocker,1,
llm,blog,blog,blog,4,
llm,blogdraft,blogdraft,blogdraft,1,
llm,boolopt,boolopt,boolopt,1,
llm,boot,boot,boot,3,
llm,bootcheck,bootcheck,bootcheck,1,
llm,bootlog,bootlog,bootlog,1,
llm,bounds,bounds,bounds,1,
llm,boundscheck,boundscheck,boundscheck,1,
llm,boundsproof,boundsproof,boundsproof,1,
llm,bpfanalyze,bpfanalyze,analyze,6,accept_reviewed_llm_regeneration
llm,bpfix,bpfix,bpfix,10,
llm,bpfixfix,bpfixfix,bpfixfix,1,
llm,bpfsetup,bpfsetup,bpfsetup,1,
llm,branch,branch,branch,7,
llm,branching,branching,branching,4,
llm,branchsync,branchsync,branchsync,1,
llm,branding,branding,branding,18,
llm,browserslist,browserslist,browserslist,1,
llm,btf,btf,btf,1,
llm,btfid,btfid,btfid,1,
llm,build,build,build,1432,
llm,builddoc,builddoc,builddoc,1,
llm,buildkit,buildkit,buildkit,2,
llm,buildsync,buildsync,buildsync,1,
llm,buildx,buildx,buildx,1,
llm,bump,bump,bump,2,
llm,bumpcheck,bumpcheck,bumpcheck,1,
llm,bumpversion,bumpversion,bumpversion,2,
llm,bundle,bundle,bundle,1,
llm,cache,cache,cache,10,
llm,cachecheck,cachecheck,cachecheck,1,
llm,cachecontrol,cachecontrol,cachecontrol,1,
llm,cancel,cancel,cancel,2,
llm,capability,capability,capability,2,
llm,capsize,capsize,capsize,1,
llm,capture,capture,capture,3,
llm,cargo,cargo,cargo,1,
llm,catalog,catalog,catalog,1,
llm,cfg,cfg,cfg,1,
llm,chain,chain,chain,1,
llm,challenge,challenge,challenge,2,
llm,challenging,challenging,challenging,1,
llm,characterize,characterize,characterize,3,
llm,chart,chart,chart,1,
llm,chartupd,chartupd,chartupd,1,
llm,chat,chat,chat,2,
llm,check,check,check,294,
llm,checkartefac,checkartefac,checkartefac,3,
llm,checkbounds,checkbounds,checkbounds,1,
llm,checkbuild,checkbuild,checkbuild,1,
llm,checkci,checkci,checkci,1,
llm,checkcode,checkcode,checkcode,1,
llm,checkconsist,checkconsist,checkconsist,2,
llm,checkcookie,checkcookie,checkcookie,1,
llm,checkdaemon,checkdaemon,checkdaemon,1,
llm,checkdb,checkdb,checkdb,3,
llm,checkdep,checkdep,checkdep,1,
llm,checkdeps,checkdeps,checkdeps,1,
llm,checkdir,checkdir,checkdir,1,
llm,checkdisk,checkdisk,checkdisk,3,
llm,checkdoc,checkdoc,checkdoc,2,
llm,checkdump,checkdump,checkdump,1,
llm,checker,checker,checker,4,
llm,checkers,checkers,checkers,1,
llm,checkexport,checkexport,checkexport,1,
llm,checkexports,checkexports,checkexports,1,
llm,checkfields,checkfields,checkfields,1,
llm,checkfiles,checkfiles,checkfiles,2,
llm,checkflow,checkflow,checkflow,1,
llm,checkhash,checkhash,checkhash,1,
llm,checkheaders,checkheaders,checkheaders,1,
llm,checkhtml,checkhtml,checkhtml,1,
llm,checkimports,checkimports,checkimports,3,
llm,checkin,checkin,checkin,1,
llm,checkjson,checkjson,checkjson,1,
llm,checkkernel,checkkernel,checkkernel,1,
llm,checkleak,checkleak,checkleak,1,
llm,checklink,checklink,checklink,1,
llm,checklist,checklist,checklist,4,
llm,checklog,checklog,checklog,1,
llm,checklogin,checklogin,checklogin,1,
llm,checklogs,checklogs,checklogs,2,
llm,checkmake,checkmake,checkmake,1,
llm,checkmatch,checkmatch,checkmatch,1,
llm,checkources,checkources,checkources,1,
llm,checkout,checkout,checkout,2,
llm,checkown,checkown,checkown,1,
llm,checkpdf,checkpdf,checkpdf,1,
llm,checkpoint,checkpoint,checkpoint,1,
llm,checkproc,checkproc,checkproc,1,
llm,checkprs,checkprs,checkprs,1,
llm,checkptr,checkptr,checkptr,1,
llm,checkpub,checkpub,checkpub,1,
llm,checkquota,checkquota,checkquota,1,
llm,checkreadme,checkreadme,checkreadme,1,
llm,checkrelease,checkrelease,checkrelease,2,
llm,checkrs,checkrs,checkrs,1,
llm,checks,checks,checks,3,
llm,checksetup,checksetup,checksetup,2,
llm,checksink,checksink,checksink,1,
llm,checksinkssr,checksinkssr,checksinkssr,1,
llm,checkspace,checkspace,checkspace,1,
llm,checksrc,checksrc,checksrc,1,
llm,checksse,checksse,checksse,1,
llm,checkstamp,checkstamp,checkstamp,1,
llm,checkstat,checkstat,checkstat,1,
llm,checkstruct,checkstruct,checkstruct,3,
llm,checksudo,checksudo,checksudo,1,
llm,checksum,checksum,checksum,2,
llm,checksync,checksync,checksync,2,
llm,checktoken,checktoken,checktoken,1,
llm,checkutils,checkutils,checkutils,1,
llm,checkwarn,checkwarn,checkwarn,2,
llm,chmod,chmod,chmod,2,
llm,chooserule,chooserule,chooserule,1,
llm,chown,chown,chown,1,
llm,ciconfigure,ciconfigure,ciconfigure,1,
llm,cigate,cigate,cigate,1,
llm,ciliumverify,ciliumverify,ciliumverify,1,
llm,cite,cite,cite,1,
llm,ciupdate,ciupdate,ciupdate,1,
llm,ciwait,ciwait,ciwait,1,
llm,ciyaml,ciyaml,ciyaml,1,
llm,ciyncrtns,ciyncrtns,ciyncrtns,1,
llm,claim,claim,claim,8,
llm,claimid,claimid,claimid,5,
llm,claimreview,claimreview,claimreview,1,
llm,claimscan,claimscan,claimscan,1,
llm,clarify,clarify,clarify,2,
llm,classify,classify,classify,2,
llm,claude,claude,claude,3,
llm,clauderesp,clauderesp,clauderesp,32,
llm,clean,clean,clean,27,
