source,path,status,sha256
generator script,script/paper_current_three_plus_one_gate_r398.py,tracked_clean,b73e814405c6195aab4014688556a89caa4d3977df8330d6eacfd2ab803a96da
Chinese paper,docs/visexp/paper/main.tex,tracked_dirty_allowed,94f8249e1c53355b3130d0eddec284410ba5eb3194d76eedd7802ae439a9c914
English paper,docs/agentpprof-paper/main.tex,tracked_clean,d0cdbff3b1bef6b4aee1cd8c43a510785089d82ae8cc5a5f4c2a8b0c006ef969
evaluation ledger,docs/evaluation.md,tracked_clean,132e2ec807b08b33fdcdca421c3ac3de0fe7de051f25f3e6146bdc886c5660bc
idea story,docs/idea-story.md,tracked_dirty_allowed,3a9f7919e43247edf2c17952a05a67dd45d0644b14ad30ecd578d752709ae65d
R395 claim/verdict alignment,docs/visexp/out/paper-main-claim-verdict-alignment-r395/run-result.json,tracked_dirty_allowed,a95d4fcb8ae21def2371b8b5f9ae82a034d2d1a96f8d3e52ad8ae5ffd7614c15
R396 paper build smoke,docs/visexp/out/paper-build-smoke-r396/run-result.json,tracked_clean,0c6bda24862cfbfb09543970a7dcbe6409956df4d469b7b8df4f2753959b4a87
R397 anti-run-ledger,docs/visexp/out/paper-main-body-run-ledger-r397/run-result.json,tracked_dirty_allowed,e3670a30eeb97190a0aab77ce880d1e7223be8adca4add2eb184489cfa8bfebf
R405 English read-only gap audit,docs/visexp/out/paper-english-experiment-gap-audit-r405/english-experiment-gap-audit.json,tracked_clean,67c21b1dbfa2e983438b6615f496977b880371dc261306c574f48519f760c0a0
English paper submodule gitlink,docs/agentpprof-paper,tracked_dirty_allowed,submodule_head=138b7a3ad3b6ae794ebf6c86ea94e8feaf8da86e;parent_index=b6672cbf3e2316af67b5312ca3f1d1dee32b9ab4
