project,tool_actions,shell_events,bare_nonwhitelisted_extension_high_conf_occurrences,bare_nonwhitelisted_extension_high_conf_unique_event_operands,bare_nonwhitelisted_extension_source_edge_matches,bare_nonwhitelisted_extension_action_edge_matches,bare_nonwhitelisted_extension_upper_bound_unmatched_event_operands,long_gt_140_non_sed_high_conf_occurrences,long_gt_140_non_sed_high_conf_unique_event_operands,long_gt_140_non_sed_source_edge_matches,long_gt_140_non_sed_action_edge_matches,long_gt_140_non_sed_upper_bound_unmatched_event_operands
agentsight,97586,73832,234,205,205,162,0,45,44,44,14,0
ActPlane,66238,40994,129,126,126,110,0,104,104,104,0,0
bpf-developer-tutorial,1664,855,1,1,1,1,0,0,0,0,0,0
eunomia.dev,13876,8117,161,154,154,137,0,0,0,0,0,0
agentskill-observability-paper,991,242,14,14,14,14,0,0,0,0,0,0
academic-writing-skills,948,300,4,4,4,4,0,0,0,0,0,0
POOLED,181303,124340,543,504,504,428,0,149,148,148,14,0
