project,config,entity_type,lag_windows,origin_hot_memberships,endpoint_hot_memberships,continuous_hot_memberships,endpoint_retention_fraction,continuous_retention_fraction
agentsight,main_100_50,artifact,1,9006,5034,5034,0.558960692871419,0.558960692871419
agentsight,main_100_50,artifact,2,9003,2952,2549,0.327890703098967,0.2831278462734644
agentsight,main_100_50,artifact,4,8993,2279,1063,0.2534193261425553,0.11820304681418882
agentsight,main_100_50,artifact,8,8973,1674,330,0.18655967903711135,0.0367769976596456
agentsight,main_100_50,module,1,4654,3930,3930,0.8444348947142243,0.8444348947142243
agentsight,main_100_50,module,2,4653,3372,3229,0.7246937459703418,0.6939608854502471
agentsight,main_100_50,module,4,4650,3085,2520,0.6634408602150538,0.5419354838709678
agentsight,main_100_50,module,8,4641,2804,1850,0.6041801335918983,0.398620986856281
agentsight,sensitivity_100_100,artifact,1,4490,1479,1479,0.3293986636971047,0.3293986636971047
agentsight,sensitivity_100_100,artifact,2,4485,1163,690,0.25930880713489407,0.15384615384615385
agentsight,sensitivity_100_100,artifact,4,4475,827,238,0.18480446927374303,0.053184357541899444
agentsight,sensitivity_100_100,artifact,8,4465,701,64,0.15699888017917132,0.01433370660694289
agentsight,sensitivity_100_100,module,1,2315,1674,1674,0.723110151187905,0.723110151187905
agentsight,sensitivity_100_100,module,2,2313,1524,1347,0.6588845654993515,0.582360570687419
agentsight,sensitivity_100_100,module,4,2308,1374,1006,0.5953206239168111,0.4358752166377816
agentsight,sensitivity_100_100,module,8,2303,1271,701,0.55188884064264,0.30438558402084237
ActPlane,main_100_50,artifact,1,5670,3364,3364,0.5932980599647266,0.5932980599647266
ActPlane,main_100_50,artifact,2,5665,2035,1815,0.3592233009708738,0.32038834951456313
ActPlane,main_100_50,artifact,4,5655,1670,943,0.2953138815207781,0.1667550839964633
ActPlane,main_100_50,artifact,8,5635,1348,352,0.23921916592724046,0.06246672582076309
ActPlane,main_100_50,module,1,2656,2284,2284,0.8599397590361446,0.8599397590361446
ActPlane,main_100_50,module,2,2653,2021,1931,0.7617791179796457,0.7278552581982661
ActPlane,main_100_50,module,4,2648,1884,1586,0.7114803625377644,0.5989425981873112
ActPlane,main_100_50,module,8,2631,1778,1233,0.6757886735081718,0.46864310148232613
ActPlane,sensitivity_100_100,artifact,1,2836,1022,1022,0.3603667136812412,0.3603667136812412
ActPlane,sensitivity_100_100,artifact,2,2831,822,569,0.290356764394207,0.20098904980572235
ActPlane,sensitivity_100_100,artifact,4,2821,692,242,0.24530308401276144,0.0857851825593761
ActPlane,sensitivity_100_100,artifact,8,2801,570,86,0.2034987504462692,0.03070332024277044
ActPlane,sensitivity_100_100,module,1,1327,1012,1012,0.7626224566691786,0.7626224566691786
ActPlane,sensitivity_100_100,module,2,1324,938,856,0.7084592145015106,0.6465256797583081
ActPlane,sensitivity_100_100,module,4,1316,893,685,0.6785714285714286,0.520516717325228
ActPlane,sensitivity_100_100,module,8,1300,855,523,0.6576923076923077,0.4023076923076923
bpf-developer-tutorial,main_100_50,artifact,1,149,74,74,0.4966442953020134,0.4966442953020134
bpf-developer-tutorial,main_100_50,artifact,2,144,35,31,0.24305555555555555,0.2152777777777778
bpf-developer-tutorial,main_100_50,artifact,4,134,19,5,0.1417910447761194,0.03731343283582089
bpf-developer-tutorial,main_100_50,artifact,8,120,23,0,0.19166666666666668,0.0
bpf-developer-tutorial,main_100_50,module,1,59,48,48,0.8135593220338984,0.8135593220338984
bpf-developer-tutorial,main_100_50,module,2,56,41,38,0.7321428571428571,0.6785714285714286
bpf-developer-tutorial,main_100_50,module,4,50,32,26,0.64,0.52
bpf-developer-tutorial,main_100_50,module,8,42,24,16,0.5714285714285714,0.38095238095238093
bpf-developer-tutorial,sensitivity_100_100,artifact,1,71,16,16,0.22535211267605634,0.22535211267605634
bpf-developer-tutorial,sensitivity_100_100,artifact,2,66,7,2,0.10606060606060606,0.030303030303030304
bpf-developer-tutorial,sensitivity_100_100,artifact,4,60,12,0,0.2,0.0
bpf-developer-tutorial,sensitivity_100_100,artifact,8,40,2,0,0.05,0.0
bpf-developer-tutorial,sensitivity_100_100,module,1,29,22,22,0.7586206896551724,0.7586206896551724
bpf-developer-tutorial,sensitivity_100_100,module,2,26,16,14,0.6153846153846154,0.5384615384615384
bpf-developer-tutorial,sensitivity_100_100,module,4,22,12,8,0.5454545454545454,0.36363636363636365
bpf-developer-tutorial,sensitivity_100_100,module,8,15,8,4,0.5333333333333333,0.26666666666666666
eunomia.dev,main_100_50,artifact,1,963,503,503,0.5223260643821391,0.5223260643821391
eunomia.dev,main_100_50,artifact,2,963,246,217,0.2554517133956386,0.22533748701973
eunomia.dev,main_100_50,artifact,4,963,175,75,0.181723779854621,0.0778816199376947
eunomia.dev,main_100_50,artifact,8,963,148,15,0.1536863966770509,0.01557632398753894
eunomia.dev,main_100_50,module,1,600,481,481,0.8016666666666666,0.8016666666666666
eunomia.dev,main_100_50,module,2,600,384,364,0.64,0.6066666666666667
eunomia.dev,main_100_50,module,4,600,333,243,0.555,0.405
eunomia.dev,main_100_50,module,8,600,321,112,0.535,0.18666666666666668
eunomia.dev,sensitivity_100_100,artifact,1,478,126,126,0.26359832635983266,0.26359832635983266
eunomia.dev,sensitivity_100_100,artifact,2,478,86,52,0.1799163179916318,0.1087866108786611
eunomia.dev,sensitivity_100_100,artifact,4,478,66,11,0.13807531380753138,0.02301255230125523
eunomia.dev,sensitivity_100_100,artifact,8,478,56,0,0.11715481171548117,0.0
eunomia.dev,sensitivity_100_100,module,1,297,189,189,0.6363636363636364,0.6363636363636364
eunomia.dev,sensitivity_100_100,module,2,297,164,131,0.5521885521885522,0.44107744107744107
eunomia.dev,sensitivity_100_100,module,4,297,154,61,0.5185185185185185,0.2053872053872054
eunomia.dev,sensitivity_100_100,module,8,297,140,18,0.4713804713804714,0.06060606060606061
agentskill-observability-paper,main_100_50,artifact,1,66,47,47,0.7121212121212122,0.7121212121212122
agentskill-observability-paper,main_100_50,artifact,2,63,29,29,0.4603174603174603,0.4603174603174603
agentskill-observability-paper,main_100_50,artifact,4,57,25,23,0.43859649122807015,0.40350877192982454
agentskill-observability-paper,main_100_50,artifact,8,43,11,11,0.2558139534883721,0.2558139534883721
agentskill-observability-paper,main_100_50,module,1,22,20,20,0.9090909090909091,0.9090909090909091
agentskill-observability-paper,main_100_50,module,2,20,17,16,0.85,0.8
agentskill-observability-paper,main_100_50,module,4,17,17,14,1.0,0.8235294117647058
agentskill-observability-paper,main_100_50,module,8,11,11,10,1.0,0.9090909090909091
agentskill-observability-paper,sensitivity_100_100,artifact,1,33,14,14,0.42424242424242425,0.42424242424242425
agentskill-observability-paper,sensitivity_100_100,artifact,2,29,12,11,0.41379310344827586,0.3793103448275862
agentskill-observability-paper,sensitivity_100_100,artifact,4,22,5,5,0.22727272727272727,0.22727272727272727
agentskill-observability-paper,sensitivity_100_100,artifact,8,5,1,1,0.2,0.2
agentskill-observability-paper,sensitivity_100_100,module,1,10,9,9,0.9,0.9
agentskill-observability-paper,sensitivity_100_100,module,2,8,8,7,1.0,0.875
agentskill-observability-paper,sensitivity_100_100,module,4,5,5,5,1.0,1.0
agentskill-observability-paper,sensitivity_100_100,module,8,1,1,1,1.0,1.0
academic-writing-skills,main_100_50,artifact,1,64,43,43,0.671875,0.671875
academic-writing-skills,main_100_50,artifact,2,59,25,24,0.423728813559322,0.4067796610169492
academic-writing-skills,main_100_50,artifact,4,49,17,11,0.3469387755102041,0.22448979591836735
academic-writing-skills,main_100_50,artifact,8,29,7,2,0.2413793103448276,0.06896551724137931
academic-writing-skills,main_100_50,module,1,29,22,22,0.7586206896551724,0.7586206896551724
academic-writing-skills,main_100_50,module,2,28,17,15,0.6071428571428571,0.5357142857142857
academic-writing-skills,main_100_50,module,4,22,14,8,0.6363636363636364,0.36363636363636365
academic-writing-skills,main_100_50,module,8,15,9,2,0.6,0.13333333333333333
academic-writing-skills,sensitivity_100_100,artifact,1,32,14,14,0.4375,0.4375
academic-writing-skills,sensitivity_100_100,artifact,2,27,7,5,0.25925925925925924,0.18518518518518517
academic-writing-skills,sensitivity_100_100,artifact,4,17,4,1,0.23529411764705882,0.058823529411764705
academic-writing-skills,sensitivity_100_100,artifact,8,5,1,0,0.2,0.0
academic-writing-skills,sensitivity_100_100,module,1,16,10,10,0.625,0.625
academic-writing-skills,sensitivity_100_100,module,2,13,7,6,0.5384615384615384,0.46153846153846156
academic-writing-skills,sensitivity_100_100,module,4,9,5,1,0.5555555555555556,0.1111111111111111
academic-writing-skills,sensitivity_100_100,module,8,3,1,0,0.3333333333333333,0.0
