project,event_id,command_name,reason,evidence_class,token,occurrences_in_event,known_artifact_token,source_path_edge_present,in_scope_action_edge_present,upper_bound_unmatched_candidate
agentsight,c5b9bc57365f5d69,sed,bare_nonwhitelisted_extension,production_high_confidence_operand,LICENSE,1,True,True,True,False
agentsight,23a8e08f64479c0c,sed,bare_nonwhitelisted_extension,production_high_confidence_operand,LICENSE,1,True,True,True,False
agentsight,31e8ccb1f9b4e568,sed,bare_nonwhitelisted_extension,production_high_confidence_operand,Makefile,1,True,True,True,False
agentsight,ba021dfe59b94f24,sed,bare_nonwhitelisted_extension,production_high_confidence_operand,.gitignore,1,True,True,True,False
agentsight,cf4fd2885afd9c4b,sed,bare_nonwhitelisted_extension,production_high_confidence_operand,wrangler.jsonc,1,True,True,True,False
agentsight,3d96db8ac6005af0,nl,bare_nonwhitelisted_extension,production_high_confidence_operand,wrangler.jsonc,1,True,True,True,False
agentsight,9ca598443bfff2f6,cat,bare_nonwhitelisted_extension,production_high_confidence_operand,actplane.yaml,1,False,True,False,False
agentsight,efaf49e664f54b32,rm,bare_nonwhitelisted_extension,production_high_confidence_operand,agentsight-test,1,False,True,False,False
agentsight,80d6ef1b0693365d,rm,bare_nonwhitelisted_extension,production_high_confidence_operand,agentsight-new,1,False,True,False,False
agentsight,09b545abb8ab4ecd,rm,bare_nonwhitelisted_extension,production_high_confidence_operand,agentsight-v59,1,False,True,False,False
agentsight,4e2e8e4cd917d5f0,nl,bare_nonwhitelisted_extension,production_high_confidence_operand,Makefile,1,True,True,True,False
agentsight,dcbcde83f79326eb,sed,bare_nonwhitelisted_extension,production_high_confidence_operand,mkdocs.yaml,1,False,True,False,False
agentsight,e45ed2006547f382,sed,bare_nonwhitelisted_extension,production_high_confidence_operand,mkdocs.yaml,1,False,True,False,False
agentsight,dbf42a5185d5cac4,sed,bare_nonwhitelisted_extension,production_high_confidence_operand,mkdocs.yaml,1,False,True,False,False
agentsight,c7ee0ce9e902f457,sed,bare_nonwhitelisted_extension,production_high_confidence_operand,mkdocs.yaml,1,False,True,False,False
