pooling,config,entity_type,lag_windows,projects,origin_hot_memberships,endpoint_hot_memberships,continuous_hot_memberships,endpoint_retention_fraction,continuous_retention_fraction
membership_weighted_micro,main_100_50,artifact,1,6,15918,9065,9065,0.56948109058927,0.56948109058927
project_median,main_100_50,artifact,1,6,15918,9065,9065,0.5761293764180728,0.5761293764180728
membership_weighted_micro,main_100_50,artifact,2,6,15897,5322,4665,0.3347801471975845,0.2934515946404982
project_median,main_100_50,artifact,2,6,15897,5322,4665,0.3435570020349204,0.30175809789401375
membership_weighted_micro,main_100_50,artifact,4,6,15851,4185,2120,0.2640211974007949,0.13374550501545643
project_median,main_100_50,artifact,4,6,15851,4185,2120,0.27436660383166667,0.14247906540532607
membership_weighted_micro,main_100_50,artifact,8,6,15763,3211,710,0.20370487851297342,0.04504218740087547
project_median,main_100_50,artifact,8,6,15763,3211,710,0.21544291629695356,0.049621861740204345
membership_weighted_micro,main_100_50,module,1,6,8020,6785,6785,0.8460099750623441,0.8460099750623441
project_median,main_100_50,module,1,6,8020,6785,6785,0.8289971083740613,0.8289971083740613
membership_weighted_micro,main_100_50,module,2,6,8010,5852,5593,0.7305867665418228,0.6982521847690387
project_median,main_100_50,module,2,6,8010,5852,5593,0.7284183015565995,0.6862661570108379
membership_weighted_micro,main_100_50,module,4,6,7987,5365,4397,0.6717165393764868,0.5505195943408038
project_median,main_100_50,module,4,6,7987,5365,4397,0.6517204301075269,0.5309677419354839
membership_weighted_micro,main_100_50,module,8,6,7940,4947,3223,0.6230478589420655,0.405919395465995
project_median,main_100_50,module,8,6,7940,4947,3223,0.6020900667959491,0.38978668390433097
membership_weighted_micro,sensitivity_100_100,artifact,1,6,7940,2671,2671,0.33639798488664985,0.33639798488664985
project_median,sensitivity_100_100,artifact,1,6,7940,2671,2671,0.34488268868917293,0.34488268868917293
membership_weighted_micro,sensitivity_100_100,artifact,2,6,7916,2097,1329,0.2649065184436584,0.1678878221323901
project_median,sensitivity_100_100,artifact,2,6,7916,2097,1329,0.25928403319707666,0.16951566951566951
membership_weighted_micro,sensitivity_100_100,artifact,4,6,7873,1606,497,0.20398831449256954,0.06312714340149879
project_median,sensitivity_100_100,artifact,4,6,7873,1606,497,0.21363636363636362,0.056003943476832074
membership_weighted_micro,sensitivity_100_100,artifact,8,6,7794,1331,151,0.17077238901719272,0.01937387734154478
project_median,sensitivity_100_100,artifact,8,6,7794,1331,151,0.17849944008958568,0.007166853303471445
membership_weighted_micro,sensitivity_100_100,module,1,6,3994,2916,2916,0.730095142714071,0.730095142714071
project_median,sensitivity_100_100,module,1,6,3994,2916,2916,0.7408654204215387,0.7408654204215387
membership_weighted_micro,sensitivity_100_100,module,2,6,3981,2657,2361,0.6674202461693042,0.5930670685757348
project_median,sensitivity_100_100,module,2,6,3981,2657,2361,0.6371345904419834,0.5604110545744787
membership_weighted_micro,sensitivity_100_100,module,4,6,3957,2443,1766,0.6173869092747031,0.4462977002779884
project_median,sensitivity_100_100,module,4,6,3957,2443,1766,0.5754380897361833,0.39975579013707263
membership_weighted_micro,sensitivity_100_100,module,8,6,3919,2276,1247,0.5807603980607298,0.3181934166879306
project_median,sensitivity_100_100,module,8,6,3919,2276,1247,0.5426110869879867,0.28552612534375454
