candidate,dataset,test_pairs,learned_f1,learned_precision,learned_recall,best_baseline,best_baseline_f1,delta_vs_best_baseline_f1,verdict
osworld_human_group_r297,osworld-human,1036,0.7735,0.74,0.8102,always_boundary,0.709,0.0645,supports_boundary_field_derivation
osworld_human_group,osworld-human,1122,0.6916,0.6531,0.735,always_boundary,0.6706,0.021,supports_backend
agentnet_step_correct,agentnet,4066,0.3197,0.2518,0.4379,always_boundary,0.2155,0.1042,supports_backend
agentnet_step_redundant,agentnet,2881,0.3361,0.3119,0.3645,always_boundary,0.2645,0.0716,supports_backend
agentreward_looping,agentrewardbench,387,0.7833,0.7833,0.7833,repeat_signal_change,1,-0.2167,counterpoint_simple_field_wins
