name,cwd,command,returncode,elapsed_s,stdout_log
english-make,/tmp/agentsight-r396-paper-e3ylu2bn/agentpprof-paper,make,0,1.285,docs/visexp/out/paper-build-smoke-r396/english-make.stdout.log
chinese-xelatex-1,docs/visexp/paper,xelatex -output-directory=/tmp/agentsight-r396-paper-e3ylu2bn/chinese-build -interaction=nonstopmode main.tex,0,0.832,docs/visexp/out/paper-build-smoke-r396/chinese-xelatex-1.stdout.log
chinese-xelatex-2,docs/visexp/paper,xelatex -output-directory=/tmp/agentsight-r396-paper-e3ylu2bn/chinese-build -interaction=nonstopmode main.tex,0,0.839,docs/visexp/out/paper-build-smoke-r396/chinese-xelatex-2.stdout.log
