project,worktree_id,interval_type,start_event_id,end_event_id,start_action_rank,end_action_rank,action_length,duration_ms,distinct_sessions,mutation_rows,mutated_artifacts,failed_attempts,observed_unknown_attempts,ending_co_observed_mutation_rows
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1031,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1032,56404,56405,1,5081,1,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1032,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1033,56405,56406,1,4789,1,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1033,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1034,56406,56407,1,14465,1,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1034,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1056,56407,56466,59,368641,2,0,0,1,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1056,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1072,56466,56482,16,382871,1,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1072,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1079,56482,56489,7,86988,1,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1079,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1080,56489,56490,1,10993,1,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1080,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1095,56490,56539,49,294787,2,1,1,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1095,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1098,56539,56542,3,25221,1,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1098,codex:rollout-2026-06-22T13-23-39-019ef100-c3dd-7b72-a922-001a7b0a570f:1099,56542,56543,1,11016,1,0,0,0,0,0
