metric,metric_label,project,vendor,value,numerator,denominator,n_units,eligible,eligibility_reason,contrast_value,contrast_definition,decisive_coverage,recognized_test_session_coverage,decisive_test_status_coverage,independent_worktrees,source
artifact_reuse_access_share,Stable-identity access reuse,agentsight,claude,0.955382570723372,5032,5267,95,True,>=100 stable-identity touches and >=10 denominator-contributing sessions,,N/A,,,,2,final-HEAD RQ4 accesses
artifact_reuse_access_share,Stable-identity access reuse,agentsight,codex,0.8876121284009193,23946,26978,100,True,>=100 stable-identity touches and >=10 denominator-contributing sessions,,N/A,,,,3,final-HEAD RQ4 accesses
artifact_reuse_access_share,Stable-identity access reuse,agentsight,gemini,1.0,10,10,2,False,10 touches/2 contributing sessions; need 100/10,,N/A,,,,1,final-HEAD RQ4 accesses
artifact_reuse_access_share,Stable-identity access reuse,ActPlane,claude,0.9558475123842344,8876,9286,54,True,>=100 stable-identity touches and >=10 denominator-contributing sessions,,N/A,,,,2,final-HEAD RQ4 accesses
artifact_reuse_access_share,Stable-identity access reuse,ActPlane,codex,0.8761179491720534,9894,11293,67,True,>=100 stable-identity touches and >=10 denominator-contributing sessions,,N/A,,,,1,final-HEAD RQ4 accesses
artifact_reuse_access_share,Stable-identity access reuse,ActPlane,gemini,,0,0,0,False,0 touches/0 contributing sessions; need 100/10,,N/A,,,,0,final-HEAD RQ4 accesses
artifact_reuse_access_share,Stable-identity access reuse,bpf-developer-tutorial,claude,0.8603531300160514,536,623,29,True,>=100 stable-identity touches and >=10 denominator-contributing sessions,,N/A,,,,1,final-HEAD RQ4 accesses
artifact_reuse_access_share,Stable-identity access reuse,bpf-developer-tutorial,codex,0.48936170212765956,69,141,3,False,141 touches/3 contributing sessions; need 100/10,,N/A,,,,1,final-HEAD RQ4 accesses
artifact_reuse_access_share,Stable-identity access reuse,bpf-developer-tutorial,gemini,0.26666666666666666,4,15,1,False,15 touches/1 contributing sessions; need 100/10,,N/A,,,,1,final-HEAD RQ4 accesses
artifact_reuse_access_share,Stable-identity access reuse,eunomia.dev,claude,0.8949454905847374,903,1009,21,True,>=100 stable-identity touches and >=10 denominator-contributing sessions,,N/A,,,,1,final-HEAD RQ4 accesses
