population,distribution,project_or_corpus,vendor_or_stratum,observations,fit_status,n_total,xmin,tail_n,tail_fraction,tail_clusters,power_law_alpha,lognormal_mu,lognormal_sigma,ks_power_law,ks_lognormal,log_likelihood_ratio_pl_minus_ln,vuong_z,vuong_p,vuong_q_bh,cluster_bootstrap_lr_ci95_low,cluster_bootstrap_lr_ci95_high,relative_family_unadjusted,preferred_family,optimizer_success,common_xmin1_power_law_alpha,common_xmin1_lognormal_mu,common_xmin1_lognormal_sigma,common_xmin1_log_likelihood_ratio_pl_minus_ln,common_xmin1_cluster_bootstrap_lr_ci95_low,common_xmin1_cluster_bootstrap_lr_ci95_high,common_xmin1_relative_family_unadjusted
local,unit_call_count,eunomia.dev,claude,24,insufficient_tail,,,,,,,,,,,,,,,,,,,,,,,,,,
local,unit_call_count,eunomia.dev,codex,27,insufficient_tail,,,,,,,,,,,,,,,,,,,,,,,,,,
local,target_access_count,ActPlane,claude,990,fit,990,2.0,639,0.6454545454545455,50,1.6848564280869143,0.4777554063375928,1.8308918432085295,0.0684204435285799,0.02591956608781676,-29.771184027628525,-1.4392995784521865,0.15006566223604462,0.4638393196386834,-74.42678125536776,0.7782399153214573,indistinguishable,indistinguishable,True,1.584064863679324,-0.07459880531748724,2.027308764180149,-47.61886519172899,-120.74354395883579,7.273397562094882,indistinguishable
local,target_access_count,ActPlane,codex,2392,fit,2392,2.0,1099,0.45944816053511706,60,2.0314182086461656,-19.594534891891836,4.662192129984448,0.014595135340865095,0.0190137763011764,0.03875698842108388,0.037836789413320075,0.9698178116525232,0.9698178116525232,-1.776690915756211,2.248022028832768,indistinguishable,indistinguishable,True,1.91363416129093,-3.4296697101283127,2.4465703070526144,-5.212585467065039,-20.73156282561726,12.294077002317662,indistinguishable
local,target_access_count,academic-writing-skills,claude,173,fit,173,1.0,173,1.0,15,2.301601240300325,-20.693147180559944,4.336045311037928,0.08759159547646278,0.07255343865301933,-2.34948870760067,-1.5513970745288757,0.12080655588011328,0.41074228999238516,-5.7069385349308845,-0.14891196112414912,lognormal,indistinguishable,True,2.301601240300325,-20.693147180559944,4.336045311037928,-2.34948870760067,-5.7069385349308845,-0.14891196112414912,lognormal
local,target_access_count,agentsight,claude,1085,fit,1085,5.0,155,0.14285714285714285,26,2.0548905623909786,-18.495922603223725,4.5575684304989155,0.025969360349831883,0.03192874087356268,-0.019586797252792554,-0.04118108140409832,0.9671515357297663,0.9698178116525232,-0.9516898595485407,0.8419063680455916,indistinguishable,indistinguishable,True,1.9377276763350382,-4.240117804334306,2.60118372076046,-2.7523209127831443,-15.130956632995987,8.027245118848986,indistinguishable
local,target_access_count,agentsight,codex,4078,fit,4078,5.0,983,0.24104953408533594,31,2.1425540896240354,-18.495922603223725,4.36690125559548,0.014436089266634977,0.022071140686779844,0.2733763787440946,0.1890408745833867,0.8500607810318488,0.9031895798463393,-2.540243781173218,3.20606207214756,indistinguishable,indistinguishable,True,1.736934993756151,-0.4388761966366269,1.7754808299238103,-131.8588467726418,-306.06305281938404,-16.05537212974326,lognormal
local,target_access_count,agentsight,gemini,10,insufficient_tail,,,,,,,,,,,,,,,,,,,,,,,,,,
local,target_access_count,agentskill-observability-paper,claude,35,insufficient_tail,,,,,,,,,,,,,,,,,,,,,,,,,,
local,target_access_count,bpf-developer-tutorial,claude,237,fit,237,1.0,237,1.0,29,2.120148072283043,-3.4368776619728694,2.1555838405161922,0.015489736903144258,0.01067518287530611,-0.7210179773724159,-0.33494656989445837,0.7376653913758482,0.829762269554032,-5.020553994058672,3.0737570463431547,indistinguishable,indistinguishable,True,2.120148072283043,-3.4368776619728694,2.1555838405161922,-0.7210179773724159,-5.020553994058672,3.0737570463431547,indistinguishable
local,target_access_count,bpf-developer-tutorial,codex,87,insufficient_tail,,,,,,,,,,,,,,,,,,,,,,,,,,
local,target_access_count,bpf-developer-tutorial,gemini,11,insufficient_tail,,,,,,,,,,,,,,,,,,,,,,,,,,
local,target_access_count,eunomia.dev,claude,281,fit,281,1.0,281,1.0,21,2.101938612491477,-15.374201658205074,4.122986952385002,0.0068374106339159635,0.01111170523195626,0.1526961433711147,0.3100171013109238,0.7565479516522057,0.829762269554032,-0.6069369452139548,1.2175249917672608,indistinguishable,indistinguishable,True,2.101938612491477,-15.374201658205074,4.122986952385002,0.1526961433711147,-0.6069369452139548,1.2175249917672608,indistinguishable
local,target_access_count,eunomia.dev,codex,754,fit,754,4.0,112,0.14854111405835543,15,2.4766040095537214,-6.065005644196773,2.422715508001698,0.029989256025149458,0.04219972413308981,-0.22292727777461296,-0.5225586386095237,0.6012814300703514,0.7946861221739603,-1.0304415795057336,0.5440061909313426,indistinguishable,indistinguishable,True,2.106848928337819,-1.736656309274809,1.7094893356866159,-6.272475895083436,-23.277854195820456,8.698198865993529,indistinguishable
local,shell_burst_length,ActPlane,claude,2276,fit,2276,8.0,120,0.05272407732864675,35,3.5747261000556825,-3.5546074284231373,1.56828475034961,0.026301889129599743,0.02785438113402211,-0.1606519691385051,-0.5636720738932357,0.5729773261549019,0.7946861221739603,-0.715379132408988,0.38385226355065083,indistinguishable,indistinguishable,True,1.96114373696511,0.07585672700169588,1.101330589826703,-135.6181012113977,-228.11915177503687,-66.1626025801797,lognormal
local,shell_burst_length,ActPlane,codex,7479,fit,7479,3.0,4076,0.5449926460756785,69,2.3521918304823806,-4.776194845789832,2.3033407139841198,0.022254294791670515,0.020792840013240277,-13.001837869172224,-0.60906449242988,0.542481692011602,0.7946861221739603,-55.0692034630537,27.3419302985753,indistinguishable,indistinguishable,True,1.643932791363402,0.9624113487407053,0.9776008119312123,-1647.5558655573122,-3278.841821857617,-465.48341479380457,lognormal
local,shell_burst_length,academic-writing-skills,claude,111,fit,111,2.0,60,0.5405405405405406,12,2.3848732471797747,-1.005842809318033,1.4245206106087962,0.06046691352590994,0.034058451878896945,-0.7381007677762956,-0.7284742618675598,0.4663233185881066,0.7946861221739603,-2.6926535879317983,1.1529811999962771,indistinguishable,indistinguishable,True,1.9257984472115535,0.18769886466302846,1.0753485694066642,-7.765966471032293,-16.907328738699842,0.15638055298478604,indistinguishable
local,shell_burst_length,agentsight,claude,1864,fit,1864,8.0,168,0.09012875536480687,58,2.754762518941277,-5.309798695664626,2.1911832739527144,0.03507930483509608,0.03202710509564777,-0.2624810729591891,-0.5255318370642504,0.5992135272392182,0.7946861221739603,-1.236958531285972,0.7216771110095994,indistinguishable,indistinguishable,True,1.8546344114844047,0.04724484347038645,1.2835411896457518,-101.07997001651376,-158.69200841490138,-51.663224265439084,lognormal
local,shell_burst_length,agentsight,codex,10686,fit,10686,37.0,211,0.01974546135130077,27,4.821693776140235,2.7217199250211896,0.5922829367101142,0.046449534524735825,0.025153750137412056,-1.938248650130495,-1.7134865073095074,0.08662307352951616,0.3681480625004437,-4.172460493735852,0.07076104675792629,indistinguishable,indistinguishable,True,1.6013938681268713,0.6903051417163169,1.4622615515922215,-1114.1089627794336,-2224.5170803746723,-375.4985425577363,lognormal
local,shell_burst_length,agentsight,gemini,2,insufficient_tail,,,,,,,,,,,,,,,,,,,,,,,,,,
local,shell_burst_length,agentskill-observability-paper,claude,110,insufficient_tail,,,,,,,,,,,,,,,,,,,,,,,,,,
local,shell_burst_length,bpf-developer-tutorial,claude,87,fit,87,2.0,63,0.7241379310344828,17,2.1111944677170986,0.07361100330078316,1.3060438840305433,0.07289422502081955,0.06176594950762515,-1.9513903578624965,-1.1498701042956465,0.25019737574365564,0.6543623673295609,-5.124814631595591,1.2672078982525412,indistinguishable,indistinguishable,True,1.6891557133580515,0.805608042295246,1.021001871469541,-14.936628201113502,-27.19644417581673,-3.053596195841881,lognormal
local,shell_burst_length,bpf-developer-tutorial,codex,80,insufficient_tail,,,,,,,,,,,,,,,,,,,,,,,,,,
local,shell_burst_length,eunomia.dev,claude,401,fit,401,4.0,110,0.2743142144638404,17,2.7307391797400435,-4.996313522478835,2.0698464414519493,0.03947741796066917,0.03888525521348285,-0.20891760666148196,-0.4682458828335622,0.6396087638180015,0.805433258141187,-1.0907675177784464,0.5666931324036871,indistinguishable,indistinguishable,True,1.828456978722695,0.33126815372455987,1.1335213909478732,-33.61313049861115,-68.79190323312848,-7.423671021905152,lognormal
