population,distribution,fit_cells,distinct_local_projects,power_law_wins,lognormal_wins,indistinguishable,decisive_fits,dominant_family,decisive_agreement,decisive_coverage,dominant_parameter_cv,common_support_lognormal_mu_sd,selected_xmin_cv,shape_stable_parameter_drifting
local,shell_burst_length,8,5,0,0,8,0,none,,0.0,,,1.2732253768912072,False
local,target_access_count,8,5,0,0,8,0,none,,0.0,,,0.6734350297014738,False
local,unit_call_count,4,2,0,0,4,0,none,,0.0,,,0.6670536448833594,False
public,shell_burst_length,4,0,0,0,4,0,none,,0.0,,,0.47321495936488733,False
public,target_access_count,5,0,0,2,3,2,none,0.0,0.4,0.49165418074230793,8.35952877770645,1.1666666666666667,False
public,unit_call_count,5,0,0,0,5,0,none,,0.0,,,0.425690714777045,False
