scope,protocol,objective,decisions,selected_action_exact,selected_r348_policy_exact,selected_view_exact,selected_ranker_exact,selected_within_tolerance,selected_beats_default,default_within_tolerance,target_best_nondefault,nondefault_target_action_exact,nondefault_target_within_tolerance,nondefault_target_selected_default_action,median_delta_vs_best
all,all,all,60,7,7,11,27,35,30,26,42,2,24,2,-0.0089
protocol,leave_dataset,all,30,3,3,5,13,17,15,13,21,1,12,1,-0.0096
protocol,leave_task,all,30,4,4,6,14,18,15,13,21,1,12,1,-0.00755
objective,leave_dataset,budget30_recall,6,2,2,3,3,2,0,3,3,0,0,1,-0.0903
objective,leave_dataset,first_positive_work,6,1,1,2,3,3,3,4,4,1,2,0,-0.02015
objective,leave_dataset,groups_to_50pct,6,0,0,0,1,6,6,1,6,0,6,0,0.0
objective,leave_dataset,ranking_fidelity_ap,6,0,0,0,4,2,1,4,3,0,0,0,-0.05935
objective,leave_dataset,top5_localization_f1,6,0,0,0,2,4,5,1,5,0,4,0,-0.0106
objective,leave_task,budget30_recall,6,3,3,4,3,3,0,3,3,0,0,1,-0.0635
objective,leave_task,first_positive_work,6,1,1,2,4,3,3,4,4,1,2,0,-0.0318
objective,leave_task,groups_to_50pct,6,0,0,0,1,6,6,1,6,0,6,0,0.0
objective,leave_task,ranking_fidelity_ap,6,0,0,0,4,2,1,4,3,0,0,0,-0.05935
objective,leave_task,top5_localization_f1,6,0,0,0,2,4,5,1,5,0,4,0,-0.0106
