protocol,task,dataset,query_family,objective,mapped_objective,metric,direction,selected_policy,selected_view,selected_ranker,selected_action_class,selected_target_value,selected_target_rank,best_r340_policy,best_r340_value,best_r348_policy,best_r348_view,best_r348_ranker,best_r348_action_class,best_r348_value,default_value,r340_r348_best_policy_match,selected_visible_non_oracle,best_r348_visible_non_oracle,selected_r340_exact_best,selected_r348_policy_exact,selected_action_exact,selected_view_exact,selected_ranker_exact,selected_within_tolerance,selected_delta_vs_best,selected_delta_vs_default,selected_beats_default,default_within_tolerance,target_best_nondefault,r348_gain_over_default,action_transfer_verdict,r348_optimization_action,r348_counterpoints
leave_task,agentreward_looping,agent-reward-bench,failure-looping,ranking_fidelity_ap,ranking_fidelity_ap,average_precision,higher,dataset_native:query_aware,dataset_native,query_aware,use_dataset_native_hierarchy,0.7989,5,operation_stack:query_aware,0.8808,operation_stack:query_aware,operation_stack,query_aware,keep_default_operation_stack,0.8808,0.8808,True,True,True,False,False,False,False,True,False,-0.0819,-0.0819,False,True,False,0.0,miss,"Keep repeat_signal in the stack, but add prevalence-aware ranking because looping positives are common.",fixed_session_lower_work_to_first_positive; default_operation_stack_not_best_top5_f1
leave_task,agentreward_looping,agent-reward-bench,failure-looping,top5_localization_f1,top5_localization_f1,top5_f1,higher,flat:query_aware,flat,query_aware,use_flat_full_recall_counterpoint,0.8175,4,dataset_native:query_aware,0.8175,dataset_native:query_aware,dataset_native,query_aware,use_dataset_native_hierarchy,0.8175,0.7593,True,True,True,False,False,False,False,True,True,0.0,0.0582,True,False,True,0.0582,metric_within_tolerance,"Keep repeat_signal in the stack, but add prevalence-aware ranking because looping positives are common.",fixed_session_lower_work_to_first_positive; default_operation_stack_not_best_top5_f1
leave_task,agentreward_looping,agent-reward-bench,failure-looping,budget30_operation_recall,budget30_recall,budget30_recall,higher,operation_stack:query_aware,operation_stack,query_aware,keep_default_operation_stack,0.3988,1,operation_stack:query_aware,0.3988,operation_stack:query_aware,operation_stack,query_aware,keep_default_operation_stack,0.3988,0.3988,True,True,True,True,True,True,True,True,True,0.0,0.0,False,True,False,0.0,exact_action,"Keep repeat_signal in the stack, but add prevalence-aware ranking because looping positives are common.",fixed_session_lower_work_to_first_positive; default_operation_stack_not_best_top5_f1
leave_task,agentreward_looping,agent-reward-bench,failure-looping,first_positive_work,first_positive_work,work_to_first_positive,lower,operation_stack:visible_risk,operation_stack,visible_risk,retune_operation_stack_ranker,0.0645,5,raw_action_stack:visible_risk,0.0014,raw_action_stack:visible_risk,raw_action_stack,visible_risk,use_raw_action_mapping_counterpoint,0.0014,0.2058,True,True,True,False,False,False,False,True,False,-0.0631,0.1413,True,False,True,0.2044,beats_default_only,"Keep repeat_signal in the stack, but add prevalence-aware ranking because looping positives are common.",fixed_session_lower_work_to_first_positive; default_operation_stack_not_best_top5_f1
leave_task,agentreward_looping,agent-reward-bench,failure-looping,groups_to_50pct,groups_to_50pct,groups_to_50pct_recall,lower,flat:query_aware,flat,query_aware,use_flat_full_recall_counterpoint,1.0,1,flat:query_aware,1.0,raw_action_stack:width,raw_action_stack,width,use_raw_action_mapping_counterpoint,1.0,3.0,False,True,True,True,False,False,False,False,True,0.0,2.0,True,True,True,2.0,metric_within_tolerance,"Keep repeat_signal in the stack, but add prevalence-aware ranking because looping positives are common.",fixed_session_lower_work_to_first_positive; default_operation_stack_not_best_top5_f1
leave_task,agentreward_side_effect,agent-reward-bench,failure-side-effect,ranking_fidelity_ap,ranking_fidelity_ap,average_precision,higher,dataset_native:query_aware,dataset_native,query_aware,use_dataset_native_hierarchy,0.5166,2,fixed_session:width,1.0,fixed_session:width,fixed_session,width,drill_down_fixed_session,1.0,0.3979,True,True,True,False,False,False,False,False,False,-0.4834,0.1187,True,False,True,0.6021,beats_default_only,Increase weight on write/input actions or use a deeper side-effect mapping before ranking.,raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
leave_task,agentreward_side_effect,agent-reward-bench,failure-side-effect,top5_localization_f1,top5_localization_f1,top5_f1,higher,flat:query_aware,flat,query_aware,use_flat_full_recall_counterpoint,0.4339,6,fixed_session:width,0.8129,fixed_session:width,fixed_session,width,drill_down_fixed_session,0.8129,0.1494,True,True,True,False,False,False,False,False,False,-0.379,0.2845,True,False,True,0.6635,beats_default_only,Increase weight on write/input actions or use a deeper side-effect mapping before ranking.,raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
leave_task,agentreward_side_effect,agent-reward-bench,failure-side-effect,budget30_operation_recall,budget30_recall,budget30_recall,higher,dataset_native:query_aware,dataset_native,query_aware,use_dataset_native_hierarchy,0.0,8,fixed_session:width,1.0,fixed_session:width,fixed_session,width,drill_down_fixed_session,1.0,0.3812,True,True,True,False,False,False,False,False,False,-1.0,-0.3812,False,False,True,0.6188,miss,Increase weight on write/input actions or use a deeper side-effect mapping before ranking.,raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
leave_task,agentreward_side_effect,agent-reward-bench,failure-side-effect,first_positive_work,first_positive_work,work_to_first_positive,lower,fixed_session:query_aware,fixed_session,query_aware,drill_down_fixed_session,0.3471,7,operation_stack:query_aware,0.0645,operation_stack:query_aware,operation_stack,query_aware,keep_default_operation_stack,0.0645,0.0645,True,True,True,False,False,False,False,True,False,-0.2826,-0.2826,False,True,False,0.0,miss,Increase weight on write/input actions or use a deeper side-effect mapping before ranking.,raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
leave_task,agentreward_side_effect,agent-reward-bench,failure-side-effect,groups_to_50pct,groups_to_50pct,groups_to_50pct_recall,lower,flat:query_aware,flat,query_aware,use_flat_full_recall_counterpoint,1.0,4,dataset_native:query_aware,1.0,fixed_session:width,fixed_session,width,drill_down_fixed_session,1.0,17.0,False,True,True,False,False,False,False,False,True,0.0,16.0,True,False,True,16.0,metric_within_tolerance,Increase weight on write/input actions or use a deeper side-effect mapping before ranking.,raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
