source,path,status,sha256
generator script,script/paper_canonical_reviewer_acceptance_r383.py,tracked_dirty_allowed,bc02bb46e836c32804a12f3fcc29c053f81d77007eb4fef15cfbfcf818b05d24
R380 experiment-block gate,docs/visexp/out/paper-experiment-block-consolidation-r380/experiment-block-consolidation-report.json,tracked_clean,f9a7f37df5b9f4480a7f11547ccc51e142adcc2657bfbc64bd3009fc7860d5fa
R381 diagnosis-card gate,docs/visexp/out/paper-diagnosis-card-r381/diagnosis-card-report.json,tracked_clean,2ea642c54068d9ccf1e0abf96268fb0682d8e8278f44c0ef5a4b2a7739149780
R382 canonical three-plus-one gate,docs/visexp/out/paper-canonical-three-plus-one-r382/canonical-three-plus-one-report.json,tracked_clean,4256737a3ac02c2592bacc9bf1e2ee268b469533126d27b9c69fbfdd88ff4e58
idea story,docs/idea-story.md,tracked_clean,005b2bcbf7655a48704a51bb2d0d74abe3ba21ceae3d304680f5cdc1b5863a45
design,docs/design.md,tracked_clean,b9f3f8c3b23287ce2679afa6d76fd233369eb2cd64c9477352a017ed9980d0e6
evaluation ledger,docs/evaluation.md,tracked_dirty_allowed,e4851bad8ba4b766956c531daa4f43476f8dc961e4adb34f5e1e2971ca02cb51
English paper,docs/agentpprof-paper/main.tex,tracked_clean,4f80304a051607cd56ad1093a902b9355b8a994eea3fe3e841d7a602589b9e8c
Chinese paper,docs/visexp/paper/main.tex,tracked_clean,2887494ea0262e006f419a9cd500fa794c6cb895d1846c4f2f23f4c1cf97e2ad
English paper submodule gitlink,docs/agentpprof-paper,tracked_clean,submodule_head=ac9bf9ada16ae4496ec60af476adf3dee4e03109;parent_index=ac9bf9ada16ae4496ec60af476adf3dee4e03109
