metric,metric_label,old_eligible_cells,new_eligible_cells,old_cv,new_cv,old_direction_consistency,new_direction_consistency,old_vendor_ss_share,new_vendor_ss_share,old_classification,new_classification,classification_changed
artifact_reuse_access_share,Stable-identity access reuse,8,8,0.0750731786061615,0.0759326808148689,0.0,0.0,0.6175719967200294,0.547519567291623,vendor-shaped,idiosyncratic,True
top10_session_call_share,Top-10% session call concentration,8,8,0.25113773335754347,0.25113773335754347,0.0,0.0,0.18814469709725073,0.18814469709725073,idiosyncratic,idiosyncratic,False
path_locality_share,Within-session path locality,8,8,0.0884237966621767,0.08842567576616599,1.0,1.0,0.4614708646273036,0.4614907900712279,invariant-candidate,invariant-candidate,False
same_prompt_repeat_read_share,Same-prompt repeated identity reads,8,8,0.6101979962939925,0.6120803542586577,0.0,0.0,0.5426604859813386,0.5426237624508964,vendor-shaped,vendor-shaped,False
shell_share,Shell tool share,8,8,0.3853895572542661,0.3853895572542661,0.0,0.0,0.8331092186670561,0.8331092186670561,vendor-shaped,vendor-shaped,False
shell_shell_bigram_share,Shell→shell bigram share,8,8,0.41997187329306873,0.41997187329306873,1.0,1.0,0.7907163924571511,0.7907163924571511,vendor-shaped,vendor-shaped,False
zero_decisive_validation_session_share,Sessions with zero decisive validation,8,8,0.191534273809416,0.191534273809416,0.0,0.0,0.1555904343151346,0.1555904343151346,idiosyncratic,idiosyncratic,False
startup_extended_excess_median,Startup extended-proxy excess (first 10 − calls 11–20),7,7,1.3316656236958788,1.3316656236958788,0.42857142857142855,0.42857142857142855,0.034482758620689585,0.034482758620689585,idiosyncratic,idiosyncratic,False
late_reread_delta_median,Late-minus-early reread share (median),5,5,0.23109497880720575,0.23109497880720575,1.0,1.0,,,idiosyncratic,idiosyncratic,False
dormant_revival_transition_share,Dormant revival among repeat touches,8,8,0.5940638172827885,0.5951089665414203,0.0,0.0,0.7451242456788384,0.7450475100628117,vendor-shaped,vendor-shaped,False
decisive_failure_rate,Decisive Tool-call failure rate,8,8,0.26777038596862546,0.26777038596862546,0.0,0.0,0.7904351882638597,0.7904351882638597,vendor-shaped,vendor-shaped,False
bigram_entropy_bits,Tool-family bigram entropy,8,8,0.2214425727279058,0.2214425727279058,0.0,0.0,0.9382377954321589,0.9382377954321589,vendor-shaped,vendor-shaped,False
shell_burst_p90,Same-prompt shell-burst p90,8,8,0.38996149918354894,0.38996149918354894,0.0,0.0,0.7132846235444198,0.7132846235444198,vendor-shaped,vendor-shaped,False
module_return_call_share,Within-session module-return call share,8,8,0.7777187023030281,0.7777421091650393,0.0,0.0,0.626089975989619,0.6258123344321489,vendor-shaped,vendor-shaped,False
session_top_path_share_median,Per-session top-path share (median),8,8,0.41889950052371,0.41889950052371,0.0,0.0,0.016085260677033975,0.016085260677033975,idiosyncratic,idiosyncratic,False
