input,bytes,sha256,role
docs/tmp/build-and-evaluate/invariance-v2-20260727/analysis.py,10486,3d48f38c8826b6a41255e04f62247ee78ae95a440bbcaf52f9664476443adaa0,analysis-code
docs/tmp/build-and-evaluate/invariance-v2-20260727/legacy_analysis.py,108186,41335008f8bdb18522c65cc3579562a5d721718fa5fd97aff2c933b911ea4f51,analysis-code
docs/tmp/build-and-evaluate/invariance-v2-20260727/baseline-metric-classification.csv,6520,997c7b2e1a9aa37589a451f9e4244ce56e113c50a4bdd9ffbfc09884d98fa676,old-local-classification-baseline
docs/tmp/build-and-evaluate/toolcall-behavior-20260726/analyze_toolcalls.py,131646,7cb44f89cead840f8cb48b04f8d336a3c6dcfcd45a3b048c768d8ad233a3080b,analysis-code
docs/tmp/build-and-evaluate/session-dynamics-20260726/analysis.py,94716,896097502628c5fe2e1d9fd7ccdcd4ac74bd04178356442ec1ab08d120fbb5ea,analysis-code
docs/tmp/build-and-evaluate/invariance-v2-20260727/baseline-rq6-external-summary.csv,1240,9ef2e175504aebcac7fe6142f8c3ba5a4c8bf9592e8ad0fca06680ddb8cf335a,reused-rq6-public-summary
docs/tmp/build-and-evaluate/rq1-rq4-recompute-v2-20260727/rq2/raw/rq2-trajectory.csv,25243700,5a00038a1826918414e8c0fed609828bfe13315b073b44d228bece58c65156e0,v2-local-input
docs/tmp/build-and-evaluate/rq1-rq4-recompute-v2-20260727/rq4/raw/rq4-accesses.csv,10745143,3703f2d971bcc4da75221e47bbad4af955b852a4c3e49f333ac87ccc30b750dc,v2-local-input
docs/tmp/build-and-evaluate/rq1-rq4-recompute-v2-20260727/extensions/rq1-revivals.csv,2880599,429c7e8f861cdc6c5a40f398ed110539edcb876b9ac0305d162f7d00f3689f2e,v2-local-input
docs/tmp/build-and-evaluate/rq1-rq4-recompute-v2-20260727/extensions/rq1-dormancy-summary.csv,3173,e29f86990e1438ab461e7ade4d9010de9970e0dae75c657381abffd42ffcc81b,v2-local-input
docs/tmp/build-and-evaluate/rq1-rq4-recompute-v2-20260727/rq1-raw/events/ActPlane.json.gz,10002009,eb1a718f5560fab2c723a2a1da92b349498b9ff4b5cbeef4ba67c8c9b00290c8,v2-local-input
docs/tmp/build-and-evaluate/rq1-rq4-recompute-v2-20260727/rq1-raw/events/academic-writing-skills.json.gz,150038,4d5a255679888e1b4e70e1ee6f9626ff700484b2ed1f7bf1d566a396133a50b6,v2-local-input
docs/tmp/build-and-evaluate/rq1-rq4-recompute-v2-20260727/rq1-raw/events/agentsight.json.gz,22406268,29bffeef74683bfb4771c8bc6b4bec659f34bc43183693cd5840de16d435e79b,v2-local-input
docs/tmp/build-and-evaluate/rq1-rq4-recompute-v2-20260727/rq1-raw/events/agentskill-observability-paper.json.gz,143944,4b303eec0880d2d3f28eda803d3db19d88695b8ec7c25930a4296c59218d55f6,v2-local-input
docs/tmp/build-and-evaluate/rq1-rq4-recompute-v2-20260727/rq1-raw/events/bpf-developer-tutorial.json.gz,243576,9e9ded72578a322af86adc582f8e8cd5754f630ad8efc44fd0d5cf3345a3cd92,v2-local-input
docs/tmp/build-and-evaluate/rq1-rq4-recompute-v2-20260727/rq1-raw/events/eunomia-dev.json.gz,2258432,4cde11326722cbdfdbe052e87132d60cd91d420f55046bab4050ebaa5ff892fb,v2-local-input
