metric,mapped_local_metric,anchor,local_eligible_cells,local_modal_direction,local_direction_consistency,public_eligible_strata,public_matching_direction_share,ideatrail_ci_support,openswe_ci_support_strata,external_status,local_range,public_range
top10_unit_call_share,top10_session_call_share,0.0,8,1,1.0,5,1.0,True,4,descriptive_magnitude,0.457224..0.939307,0.14388..0.207337
path_locality_excess,path_locality_share,0.0,8,1,1.0,5,1.0,True,4,replicated_direction,0.494237..0.923712,0.400337..0.640697
module_return_call_share,module_return_call_share,0.0,8,1,1.0,5,1.0,True,4,replicated_presence,0.0246637..0.233489,0.160363..0.334938
path_reuse_share,analogous_only,0.0,10,1,1.0,5,1.0,True,4,replicated_presence,0.382979..0.920091,0.443772..0.70625
repeat_path_read_share,analogous_only,0.0,10,1,1.0,5,1.0,True,4,replicated_presence,0.191176..0.929752,0.368125..0.665199
shell_share,shell_share,0.5,8,1,0.5,5,0.8,False,4,harness-shaped,0.316456..0.7944,0..0.761827
unit_top_path_share_median,session_top_path_share_median,0.0,8,1,1.0,5,1.0,True,4,descriptive_magnitude,0.145809..0.666667,0.133688..0.239139
late_path_reread_delta_median,late_reread_delta_median,0.0,5,1,1.0,5,1.0,True,4,undercovered,0.166667..0.288753,0.1189..0.595726
