source,path,status,sha256
generator script,script/paper_english_induction_sync_audit.py,tracked_dirty_read_only,a1aee1b64e3fd7ba5199063e200285ec2f7311d4b109c34abd9667471fa24ed8
English paper draft,docs/agentpprof-paper/main.tex,tracked_dirty_read_only,90338c150c6514f5381f9f14f746a7b41fe84630b371bbd01266d40b35b5227f
Chinese paper draft,docs/visexp/paper/main.tex,tracked_clean,a7e1f8f434680a9663919fe53a7836d068c920cb9910e4990d0786bad9c0dd7b
evaluation ledger,docs/evaluation.md,tracked_dirty_read_only,7cbfa5b58ce1b993c1309ad5ac5cb5d057d2b749a1584050ef154e26480712cd
R402 run result,docs/visexp/out/rust-task-stack-induction-r402/run-result.json,tracked_clean,b9a8788bae3101ab3bed10b818a89963199aa4883cbf2574d4e7986fb95871aa
R402 summary,docs/visexp/out/rust-task-stack-induction-r402/summary.json,tracked_clean,e17815587358b886521db2ea2b1890c8e599c144be37ce650d8fccf3b089c83d
R402 overview profile,docs/visexp/out/rust-task-stack-induction-r402/agentreward-overview.json,tracked_clean,4696306d9f5406d8e3b8c9cd6c18ea5978f4b17b949680f5d1e70afd7aafb7b5
R403 run result,docs/visexp/out/operation-induced-stack-scoring-r403/run-result.json,tracked_clean,542d3b9a017cf1b181e630839543b97779206930535173504d323ae4da3adf0f
R403 report,docs/visexp/out/operation-induced-stack-scoring-r403/induced-stack-scoring-report.json,tracked_clean,3b460c9a3daf78d66bf007a22373bbbbbc1ce1e59eb7cd7fe9014c873a10b758
R404 run result,docs/visexp/out/operation-induced-depth-sensitivity-r404/run-result.json,tracked_clean,6a868affed20b7a8548ac16011193ebcaca4ccded08026f5f0591a25e9380f27
R404 report,docs/visexp/out/operation-induced-depth-sensitivity-r404/depth-sensitivity-report.json,tracked_clean,762938111f83d8dfe6979c59146acb18745cbfbe26cd5de84178a8aac9ca6555
