policy,label,role,median_ap,median_ndcg,median_top5_precision,median_top5_recall,median_top5_work,median_budget30_recall,median_work_to_first_positive,median_groups,median_groups_to_50pct_recall
operation_stack:query_aware,operation-stack query-aware,proposed operation/operation-stack view,0.3117,0.5487,0.1991,0.188,0.0937,0.39,0.0378,157.5,50.0
flat:width,flat summary,summary baseline,0.1678,1.0,0.1678,1.0,1.0,0.0,1.0,1.0,1.0
fixed_session:query_aware,fixed-session drilldown,trace-tree-shaped baseline,0.3476,0.7642,0.2555,0.0233,0.0163,0.3559,0.0044,285.0,81.5
dataset_native:query_aware,dataset-native hierarchy,native hierarchy baseline,0.3572,0.7445,0.1712,0.8665,0.8539,0.3377,0.0582,7.5,2.5
raw_action_stack:query_aware,raw-action stack,action-tree baseline,0.2744,0.5012,0.2513,0.2442,0.1507,0.3325,0.0374,24.5,8.0
