task,dataset,baseline,operation_stack_ap,baseline_ap,operation_stack_top5_recall,baseline_top5_recall,operation_stack_top5_work,baseline_top5_work,operation_stack_budget30_recall,baseline_budget30_recall,operation_stack_groups,baseline_groups,operation_stack_wtfp,baseline_wtfp
agentnet_incorrect_step,agentnet,flat:width,0.0886,0.0594,0.0034,1.0,0.0014,1.0,0.4382,0.0,289.0,1.0,0.0007,1.0
agentnet_redundant_step,agentnet,flat:width,0.0875,0.0728,0.0177,1.0,0.0089,1.0,0.3533,0.0,260.0,1.0,0.0051,1.0
agentreward_looping,agent-reward-bench,flat:width,0.8808,0.6914,0.6508,1.0,0.4938,1.0,0.3988,0.0,40.0,1.0,0.2058,1.0
agentreward_side_effect,agent-reward-bench,flat:width,0.3979,0.2771,0.1139,1.0,0.1454,1.0,0.3812,0.0,40.0,1.0,0.0645,1.0
osworld_group_start,osworld-human,flat:width,0.2254,0.1905,0.3874,1.0,0.4074,1.0,0.2971,0.0,173.0,1.0,0.1311,1.0
satraj_unsafe,satraj-os-safety,flat:width,0.4875,0.1452,0.2621,1.0,0.042,1.0,0.8376,0.0,142.0,1.0,0.0112,1.0
agentnet_incorrect_step,agentnet,fixed_session:query_aware,0.0886,0.0799,0.0034,0.0126,0.0014,0.0056,0.4382,0.4062,289.0,835.0,0.0007,0.0017
agentnet_redundant_step,agentnet,fixed_session:query_aware,0.0875,0.0788,0.0177,0.0123,0.0089,0.0086,0.3533,0.3302,260.0,549.0,0.0051,0.0013
agentreward_looping,agent-reward-bench,fixed_session:query_aware,0.8808,0.8672,0.6508,0.2381,0.4938,0.2058,0.3988,0.3611,40.0,29.0,0.2058,0.0412
agentreward_side_effect,agent-reward-bench,fixed_session:query_aware,0.3979,0.4606,0.1139,0.0,0.1454,0.1948,0.3812,0.0,40.0,29.0,0.0645,0.3471
osworld_group_start,osworld-human,fixed_session:query_aware,0.2254,0.2345,0.3874,0.034,0.4074,0.0172,0.2971,0.3508,173.0,320.0,0.1311,0.005
satraj_unsafe,satraj-os-safety,fixed_session:query_aware,0.4875,0.5059,0.2621,0.0579,0.042,0.0154,0.8376,0.865,142.0,250.0,0.0112,0.0037
agentnet_incorrect_step,agentnet,dataset_native:query_aware,0.0886,0.0797,0.0034,0.0023,0.0014,0.0091,0.4382,0.4199,289.0,65.0,0.0007,0.0056
agentnet_redundant_step,agentnet,dataset_native:query_aware,0.0875,0.0772,0.0177,0.0423,0.0089,0.0364,0.3533,0.3302,260.0,57.0,0.0051,0.0016
agentreward_looping,agent-reward-bench,dataset_native:query_aware,0.8808,0.7989,0.6508,1.0,0.4938,1.0,0.3988,0.3452,40.0,4.0,0.2058,0.1824
agentreward_side_effect,agent-reward-bench,dataset_native:query_aware,0.3979,0.5166,0.1139,1.0,0.1454,1.0,0.3812,0.0,40.0,4.0,0.0645,0.5364
osworld_group_start,osworld-human,dataset_native:query_aware,0.2254,0.1977,0.3874,0.733,0.4074,0.7078,0.2971,0.2618,173.0,10.0,0.1311,0.0184
satraj_unsafe,satraj-os-safety,dataset_native:query_aware,0.4875,0.7598,0.2621,1.0,0.042,1.0,0.8376,1.0,142.0,5.0,0.0112,0.098
agentnet_incorrect_step,agentnet,raw_action_stack:query_aware,0.0886,0.066,0.0034,0.0114,0.0014,0.013,0.4382,0.2838,289.0,25.0,0.0007,0.0041
agentnet_redundant_step,agentnet,raw_action_stack:query_aware,0.0875,0.0817,0.0177,0.0859,0.0089,0.0824,0.3533,0.2619,260.0,25.0,0.0051,0.0377
agentreward_looping,agent-reward-bench,raw_action_stack:query_aware,0.8808,0.7512,0.6508,0.1071,0.4938,0.1043,0.3988,0.2024,40.0,14.0,0.2058,0.037
agentreward_side_effect,agent-reward-bench,raw_action_stack:query_aware,0.3979,0.3273,0.1139,0.3812,0.1454,0.2401,0.3812,0.3812,40.0,14.0,0.0645,0.1495
osworld_group_start,osworld-human,raw_action_stack:query_aware,0.2254,0.2214,0.3874,0.4725,0.4074,0.5218,0.2971,0.4149,173.0,27.0,0.1311,0.1847
satraj_unsafe,satraj-os-safety,raw_action_stack:query_aware,0.4875,0.5988,0.2621,0.4486,0.042,0.1972,0.8376,0.5209,142.0,24.0,0.0112,0.0285
