left,right,metric,direction,tasks,improved_tasks,worse_tasks,tied_tasks,median_delta,mean_delta,median_ratio
operation_stack:query_aware,flat:width,average_precision,higher,6,6,0,0,0.07785,0.121883,1.35494
operation_stack:query_aware,flat:width,budget30_recall,higher,6,6,0,0,0.39,0.451033,inf
operation_stack:query_aware,flat:width,ndcg,higher,6,0,6,0,-0.45125,-0.395583,0.54875
operation_stack:query_aware,flat:width,top5_f1,higher,6,1,5,0,-0.0886,-0.078717,0.557941
operation_stack:query_aware,flat:width,top5_precision,higher,6,4,2,0,0.07755,0.177633,1.650639
operation_stack:query_aware,flat:width,top5_recall,higher,6,0,6,0,-0.812,-0.760783,0.188
operation_stack:query_aware,flat:width,top5_work,lower,6,6,0,0,-0.9063,-0.81685,0.0937
operation_stack:query_aware,flat:width,work_to_first_positive,lower,6,6,0,0,-0.96215,-0.930267,0.03785
operation_stack:query_aware,flat:width,groups,lower,6,0,6,0,156.5,156.333333,157.5
operation_stack:query_aware,flat:width,groups_to_50pct_recall,lower,6,0,6,0,49.0,76.166667,50.0
operation_stack:query_aware,fixed_session:query_aware,average_precision,higher,6,3,3,0,-0.0002,-0.009867,0.989656
operation_stack:query_aware,fixed_session:query_aware,budget30_recall,higher,6,4,2,0,0.02755,0.065483,1.074368
operation_stack:query_aware,fixed_session:query_aware,ndcg,higher,6,3,3,0,-0.00375,-0.080483,1.011929
operation_stack:query_aware,fixed_session:query_aware,top5_f1,higher,6,5,1,0,0.16695,0.170217,2.975729
operation_stack:query_aware,fixed_session:query_aware,top5_precision,higher,6,5,1,0,0.07605,0.0904,1.267697
operation_stack:query_aware,fixed_session:query_aware,top5_recall,higher,6,5,1,0,0.15905,0.180067,3.630038
operation_stack:query_aware,fixed_session:query_aware,top5_work,lower,6,2,4,0,0.01345,0.108583,1.71715
operation_stack:query_aware,fixed_session:query_aware,work_to_first_positive,lower,6,2,4,0,0.00565,0.003067,3.475052
operation_stack:query_aware,fixed_session:query_aware,groups,lower,6,4,2,0,-127.5,-178.0,0.554312
operation_stack:query_aware,fixed_session:query_aware,groups_to_50pct_recall,lower,6,5,1,0,-31.5,-52.5,0.578323
operation_stack:query_aware,dataset_native:query_aware,average_precision,higher,6,4,2,0,0.0096,-0.0437,1.107092
operation_stack:query_aware,dataset_native:query_aware,budget30_recall,higher,6,5,1,0,0.0292,0.058183,1.102397
operation_stack:query_aware,dataset_native:query_aware,ndcg,higher,6,2,4,0,-0.2189,-0.177533,0.65033
operation_stack:query_aware,dataset_native:query_aware,top5_f1,higher,6,2,4,0,-0.0415,-0.045967,0.861477
operation_stack:query_aware,dataset_native:query_aware,top5_precision,higher,6,4,2,0,0.09385,0.181933,1.511301
operation_stack:query_aware,dataset_native:query_aware,top5_recall,higher,6,1,5,0,-0.3474,-0.390383,0.473476
operation_stack:query_aware,dataset_native:query_aware,top5_work,lower,6,6,0,0,-0.4033,-0.4424,0.199176
operation_stack:query_aware,dataset_native:query_aware,work_to_first_positive,lower,6,3,3,0,-0.0007,-0.070667,0.626645
operation_stack:query_aware,dataset_native:query_aware,groups,lower,6,0,6,0,150.0,133.166667,10.0
operation_stack:query_aware,dataset_native:query_aware,groups_to_50pct_recall,lower,6,0,5,1,48.5,66.833333,12.238095
operation_stack:query_aware,raw_action_stack:query_aware,average_precision,higher,6,5,1,0,0.0142,0.020217,1.121758
operation_stack:query_aware,raw_action_stack:query_aware,budget30_recall,higher,6,4,1,1,0.1229,0.10685,1.446517
operation_stack:query_aware,raw_action_stack:query_aware,ndcg,higher,6,4,2,0,0.03915,0.0894,1.103951
operation_stack:query_aware,raw_action_stack:query_aware,top5_f1,higher,6,2,4,0,-0.00895,0.045533,0.684554
operation_stack:query_aware,raw_action_stack:query_aware,top5_precision,higher,6,5,1,0,0.07965,0.120167,1.59242
operation_stack:query_aware,raw_action_stack:query_aware,top5_recall,higher,6,1,5,0,-0.07665,-0.0119,0.441528
operation_stack:query_aware,raw_action_stack:query_aware,top5_work,lower,6,5,1,0,-0.0841,-0.009983,0.409281
operation_stack:query_aware,raw_action_stack:query_aware,work_to_first_positive,lower,6,5,1,0,-0.02495,-0.00385,0.41221
operation_stack:query_aware,raw_action_stack:query_aware,groups,lower,6,0,6,0,132.0,135.833333,6.162037
operation_stack:query_aware,raw_action_stack:query_aware,groups_to_50pct_recall,lower,6,1,5,0,42.5,66.833333,6.803571
