project,session_id,vendor,slice,calls,repeat_read_share,read_actions,repeat_read_actions,reread_call_share,failure_share,resolved_failure_share,observed_share,recent_reedit_share,edit_calls_per_path,paths_per_edit_call,patch_lines_median,patch_lines_n,edit_share,tool_read_share,tool_edit_share,tool_shell_share,tool_network_share,tool_plan_share,tool_subagent_share,tool_tool_share,length_gate,max_internal_gap_hours,noncomposite_8h
ActPlane,codex:019e5368-8831-7241-a4e7-0bd2214170fe,codex,early,366,0.7307692307692307,104,76,0.7,0.030054644808743168,0.04247104247104247,0.2923497267759563,0.2727272727272727,3.85,0.987012987012987,16.0,77,0.2103825136612022,0.0,0.2103825136612022,0.7076502732240437,0.0,0.02185792349726776,0.0,0.060109289617486336,30,11.914851666666667,False
ActPlane,codex:019e5368-8831-7241-a4e7-0bd2214170fe,codex,middle,366,0.8780487804878049,82,72,0.9102564102564102,0.02185792349726776,0.03137254901960784,0.30327868852459017,0.22580645161290322,2.6956521739130435,1.1935483870967742,10.0,61,0.16939890710382513,0.0,0.16939890710382513,0.6885245901639344,0.0,0.01092896174863388,0.0,0.13114754098360656,30,11.914851666666667,False
ActPlane,codex:019e5368-8831-7241-a4e7-0bd2214170fe,codex,late,366,0.7142857142857143,84,60,0.7435897435897436,0.06284153005464481,0.08013937282229965,0.21584699453551912,0.23529411764705882,1.9615384615384615,1.3137254901960784,17.5,50,0.13934426229508196,0.0,0.13934426229508196,0.7540983606557377,0.0,0.01639344262295082,0.00819672131147541,0.08196721311475409,30,11.914851666666667,False
ActPlane,codex:019e5368-8831-7241-a4e7-0bd2214170fe,codex,early,366,0.7307692307692307,104,76,0.7,0.030054644808743168,0.04247104247104247,0.2923497267759563,0.2727272727272727,3.85,0.987012987012987,16.0,77,0.2103825136612022,0.0,0.2103825136612022,0.7076502732240437,0.0,0.02185792349726776,0.0,0.060109289617486336,60,11.914851666666667,False
ActPlane,codex:019e5368-8831-7241-a4e7-0bd2214170fe,codex,middle,366,0.8780487804878049,82,72,0.9102564102564102,0.02185792349726776,0.03137254901960784,0.30327868852459017,0.22580645161290322,2.6956521739130435,1.1935483870967742,10.0,61,0.16939890710382513,0.0,0.16939890710382513,0.6885245901639344,0.0,0.01092896174863388,0.0,0.13114754098360656,60,11.914851666666667,False
ActPlane,codex:019e5368-8831-7241-a4e7-0bd2214170fe,codex,late,366,0.7142857142857143,84,60,0.7435897435897436,0.06284153005464481,0.08013937282229965,0.21584699453551912,0.23529411764705882,1.9615384615384615,1.3137254901960784,17.5,50,0.13934426229508196,0.0,0.13934426229508196,0.7540983606557377,0.0,0.01639344262295082,0.00819672131147541,0.08196721311475409,60,11.914851666666667,False
ActPlane,codex:019e5368-8831-7241-a4e7-0bd2214170fe,codex,early,366,0.7307692307692307,104,76,0.7,0.030054644808743168,0.04247104247104247,0.2923497267759563,0.2727272727272727,3.85,0.987012987012987,16.0,77,0.2103825136612022,0.0,0.2103825136612022,0.7076502732240437,0.0,0.02185792349726776,0.0,0.060109289617486336,100,11.914851666666667,False
ActPlane,codex:019e5368-8831-7241-a4e7-0bd2214170fe,codex,middle,366,0.8780487804878049,82,72,0.9102564102564102,0.02185792349726776,0.03137254901960784,0.30327868852459017,0.22580645161290322,2.6956521739130435,1.1935483870967742,10.0,61,0.16939890710382513,0.0,0.16939890710382513,0.6885245901639344,0.0,0.01092896174863388,0.0,0.13114754098360656,100,11.914851666666667,False
ActPlane,codex:019e5368-8831-7241-a4e7-0bd2214170fe,codex,late,366,0.7142857142857143,84,60,0.7435897435897436,0.06284153005464481,0.08013937282229965,0.21584699453551912,0.23529411764705882,1.9615384615384615,1.3137254901960784,17.5,50,0.13934426229508196,0.0,0.13934426229508196,0.7540983606557377,0.0,0.01639344262295082,0.00819672131147541,0.08196721311475409,100,11.914851666666667,False
ActPlane,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,claude,early,846,0.6926229508196722,244,169,0.6926229508196722,0.013002364066193853,0.01301775147928994,0.001182033096926714,0.6220472440944882,4.980392156862745,1.0,,0,0.30023640661938533,0.2624113475177305,0.3049645390070922,0.24940898345153664,0.15484633569739953,0.0,0.027186761229314422,0.001182033096926714,30,8.988694444444445,False
ActPlane,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,claude,middle,846,0.8090614886731392,309,250,0.8116883116883117,0.0425531914893617,0.0425531914893617,0.0,0.25333333333333335,1.9736842105263157,1.0,,0,0.08865248226950355,0.31796690307328607,0.09101654846335698,0.5354609929078015,0.0,0.0,0.05555555555555555,0.0,30,8.988694444444445,False
ActPlane,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,claude,late,845,0.8446601941747572,206,174,0.8571428571428571,0.04142011834319527,0.04142011834319527,0.0,0.7552083333333334,6.0,1.0,,0,0.2272189349112426,0.2331360946745562,0.23905325443786982,0.5100591715976331,0.007100591715976331,0.0,0.004733727810650888,0.005917159763313609,30,8.988694444444445,False
ActPlane,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,claude,early,846,0.6926229508196722,244,169,0.6926229508196722,0.013002364066193853,0.01301775147928994,0.001182033096926714,0.6220472440944882,4.980392156862745,1.0,,0,0.30023640661938533,0.2624113475177305,0.3049645390070922,0.24940898345153664,0.15484633569739953,0.0,0.027186761229314422,0.001182033096926714,60,8.988694444444445,False
ActPlane,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,claude,middle,846,0.8090614886731392,309,250,0.8116883116883117,0.0425531914893617,0.0425531914893617,0.0,0.25333333333333335,1.9736842105263157,1.0,,0,0.08865248226950355,0.31796690307328607,0.09101654846335698,0.5354609929078015,0.0,0.0,0.05555555555555555,0.0,60,8.988694444444445,False
ActPlane,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,claude,late,845,0.8446601941747572,206,174,0.8571428571428571,0.04142011834319527,0.04142011834319527,0.0,0.7552083333333334,6.0,1.0,,0,0.2272189349112426,0.2331360946745562,0.23905325443786982,0.5100591715976331,0.007100591715976331,0.0,0.004733727810650888,0.005917159763313609,60,8.988694444444445,False
ActPlane,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,claude,early,846,0.6926229508196722,244,169,0.6926229508196722,0.013002364066193853,0.01301775147928994,0.001182033096926714,0.6220472440944882,4.980392156862745,1.0,,0,0.30023640661938533,0.2624113475177305,0.3049645390070922,0.24940898345153664,0.15484633569739953,0.0,0.027186761229314422,0.001182033096926714,100,8.988694444444445,False
ActPlane,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,claude,middle,846,0.8090614886731392,309,250,0.8116883116883117,0.0425531914893617,0.0425531914893617,0.0,0.25333333333333335,1.9736842105263157,1.0,,0,0.08865248226950355,0.31796690307328607,0.09101654846335698,0.5354609929078015,0.0,0.0,0.05555555555555555,0.0,100,8.988694444444445,False
ActPlane,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,claude,late,845,0.8446601941747572,206,174,0.8571428571428571,0.04142011834319527,0.04142011834319527,0.0,0.7552083333333334,6.0,1.0,,0,0.2272189349112426,0.2331360946745562,0.23905325443786982,0.5100591715976331,0.007100591715976331,0.0,0.004733727810650888,0.005917159763313609,100,8.988694444444445,False
